DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,NPHI,DT,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,RHOB_1,ZLT
1237.5908,4514.0332,4514033.0,nan,10.255,0.5131,151.9093,0.0,nan,62.2586,1.0856,1.0866,1.0809,1237.5908,0.5131,nan,nan,0.221,0.0371,0.0371,14809.8203,2.2497,1.0809,1.1684,226.7813,1.0,1.0,1.0,-1164.1008,81.474,0.0371,2.2497,nan
1237.7432,4536.9702,4536970.5,nan,10.3,0.4997,151.9905,0.0,nan,62.6636,1.081,1.0807,1.0753,1237.7433,0.4997,nan,nan,0.2233,0.04,0.04,14885.0732,2.2624,1.0753,1.1563,226.8473,1.0,1.0,1.0,-1164.2533,79.984,0.04,2.2624,nan
1237.8956,4594.8335,4594833.5,nan,10.3317,0.504,150.9846,0.0,nan,62.4741,1.0971,1.0948,1.0891,1237.8956,0.504,nan,nan,0.2234,0.0402,0.0402,15074.9121,2.2761,1.0891,1.1862,226.9261,1.0,1.0,1.0,-1164.4056,79.927,0.0402,2.2761,nan
1238.048,4733.5225,4733522.5,nan,10.2164,0.5229,148.0889,0.0,nan,62.1719,1.1406,1.1376,1.1309,1238.0481,0.5229,nan,nan,0.222,0.0383,0.0383,15529.9297,2.2998,1.1309,1.279,227.0057,1.0,1.0,1.0,-1164.558,80.849,0.0383,2.2998,nan
1238.2004,4953.3945,4953394.5,nan,10.0156,0.5454,142.9905,0.0,nan,62.4895,1.1923,1.1899,1.1829,1238.2004,0.5454,nan,nan,0.2201,0.0359,0.0359,16251.2939,2.3238,1.1829,1.3993,227.0525,1.0,1.0,1.0,-1164.7104,82.059,0.0359,2.3238,nan
1238.3528,5134.8809,5134881.0,nan,9.9057,0.5577,137.6072,0.0,nan,63.1462,1.2056,1.2043,1.1973,1238.3528,0.5577,nan,nan,0.219,0.0344,0.0344,16846.7227,2.3182,1.1973,1.4336,227.0583,1.0,1.0,1.0,-1164.8628,82.776,0.0344,2.3182,nan
1238.5052,5177.8345,5177834.0,nan,9.8994,0.5465,134.3194,0.0,nan,63.9794,1.1697,1.1701,1.1638,1238.5052,0.5465,nan,nan,0.2188,0.0342,0.0342,16987.6445,2.2818,1.1638,1.3543,227.062,1.0,1.0,1.0,-1165.0153,82.927,0.0342,2.2818,nan
1238.6576,5150.8721,5150872.0,nan,9.8731,0.5289,132.7573,0.0,nan,65.5528,1.1248,1.1271,1.1218,1238.6576,0.5289,nan,nan,0.2188,0.0342,0.0342,16899.1855,2.2435,1.1218,1.2584,227.0932,1.0,1.0,1.0,-1165.1676,82.927,0.0342,2.2435,nan
1238.81,5061.9619,5061962.0,nan,9.808,0.537,133.8716,0.0,nan,66.4461,1.1076,1.11,1.1056,1238.8101,0.537,nan,nan,0.2206,0.0364,0.0364,16607.4863,2.2233,1.1056,1.2224,227.1608,1.0,1.0,1.0,-1165.3201,82.736,0.0364,2.2233,nan
1238.9624,4948.6299,4948630.0,nan,9.7645,0.5667,136.757,0.0,nan,64.9609,1.1329,1.1342,1.1302,1238.9624,0.5667,nan,nan,0.2331,0.0519,0.0519,16235.6621,2.2203,1.1302,1.2774,227.2468,1.0,1.0,1.0,-1165.4724,81.405,0.0519,2.2203,nan
1239.1148,4912.4565,4912456.5,nan,9.755,0.5803,138.0966,0.0,nan,62.967,1.1977,1.1974,1.1934,1239.1149,0.5803,nan,nan,0.2396,0.0599,0.0599,16116.9834,2.2257,1.1934,1.4242,227.2888,1.0,1.0,1.0,-1165.6249,80.719,0.0599,2.2257,nan
1239.2672,4881.9771,4881977.0,nan,9.7402,0.5646,139.4376,0.0,nan,62.7109,1.264,1.261,1.257,1239.2672,0.5646,nan,nan,0.2306,0.0487,0.0487,16016.9854,2.2334,1.257,1.58,227.2627,1.0,1.0,1.0,-1165.7772,81.68,0.0487,2.2334,nan
1239.4196,4849.395,4849395.0,nan,9.7088,0.5461,140.7509,0.0,nan,63.1968,1.2806,1.2746,1.2713,1239.4197,0.5461,nan,nan,0.2211,0.037,0.037,15910.0889,2.2394,1.2713,1.6162,227.2443,1.0,1.0,1.0,-1165.9297,82.679,0.037,2.2394,nan
1239.572,4847.1782,4847178.5,nan,9.7098,0.5463,141.1718,0.0,nan,63.5754,1.2488,1.2411,1.2381,1239.572,0.5463,nan,nan,0.2188,0.0342,0.0342,15902.8164,2.245,1.2381,1.5329,227.2954,1.0,1.0,1.0,-1166.082,82.927,0.0342,2.245,nan
1239.7244,4885.7231,4885723.5,nan,9.7496,0.557,140.516,0.0,nan,65.1476,1.2105,1.2025,1.1995,1239.7245,0.557,nan,nan,0.2188,0.0342,0.0342,16029.2764,2.2524,1.1995,1.4388,227.3895,1.0,1.0,1.0,-1166.2345,82.927,0.0342,2.2524,nan
1239.8768,4994.9146,4994914.5,nan,9.7976,0.5592,137.8507,0.0,nan,68.027,1.1876,1.1796,1.1766,1239.8768,0.5592,nan,nan,0.2188,0.0342,0.0342,16387.5156,2.259,1.1766,1.3843,227.4801,1.0,1.0,1.0,-1166.3868,82.927,0.0342,2.259,nan
1240.0292,5154.6099,5154609.5,nan,9.8621,0.5523,133.7757,0.0,nan,70.1442,1.1746,1.1653,1.1623,1240.0293,0.5523,nan,nan,0.2188,0.0342,0.0342,16911.4492,2.2623,1.1623,1.3509,227.5597,1.0,1.0,1.0,-1166.5392,82.927,0.0342,2.2623,nan
1240.1816,5263.1899,5263190.0,nan,9.9384,0.5435,131.1317,0.0,nan,70.2629,1.1616,1.1509,1.1479,1240.1816,0.5435,nan,nan,0.2188,0.0342,0.0342,17267.6836,2.2643,1.1479,1.3177,227.6421,1.0,1.0,1.0,-1166.6916,82.927,0.0342,2.2643,nan
1240.334,5270.6865,5270686.5,nan,9.9828,0.5471,131.022,0.0,nan,69.6071,1.1509,1.1386,1.1356,1240.334,0.5471,nan,nan,0.2188,0.0342,0.0342,17292.2793,2.2657,1.1356,1.2896,227.7224,1.0,1.0,1.0,-1166.844,82.927,0.0342,2.2657,nan
1240.4864,5297.376,5297376.0,nan,9.9839,0.5762,130.4971,0.0,nan,69.8046,1.148,1.1343,1.1313,1240.4865,0.5762,nan,nan,0.2216,0.0376,0.0376,17379.8438,2.268,1.1313,1.2799,227.7722,1.0,1.0,1.0,-1166.9965,82.628,0.0376,2.268,nan
1240.6388,5279.4854,5279485.5,nan,9.98,0.6115,131.0733,0.0,nan,70.6661,1.1547,1.1401,1.1364,1240.6388,0.6115,nan,nan,0.2332,0.0519,0.0519,17321.1465,2.2703,1.1364,1.2913,227.7773,1.0,1.0,1.0,-1167.1488,81.4,0.0519,2.2703,nan
1240.7912,5215.2261,5215226.0,nan,9.9995,0.627,132.6486,0.0,nan,70.3471,1.1688,1.1531,1.1497,1240.7913,0.627,nan,nan,0.2412,0.0618,0.0618,17110.3223,2.2697,1.1497,1.3219,227.7417,1.0,1.0,1.0,-1167.3013,80.55,0.0618,2.2697,nan
1240.9436,5135.5664,5135566.5,nan,10.0097,0.6306,134.3483,0.0,nan,68.5455,1.1821,1.1667,1.1631,1240.9436,0.6306,nan,nan,0.2462,0.068,0.068,16848.9727,2.2636,1.1631,1.3527,227.6729,1.0,1.0,1.0,-1167.4536,80.019,0.068,2.2636,nan
1241.096,4944.5488,4944549.0,nan,9.9845,0.6233,139.0865,0.0,nan,67.8415,1.1847,1.1703,1.1663,1241.0961,0.6233,nan,nan,0.2459,0.0676,0.0676,16222.2734,2.2563,1.1663,1.3603,227.6013,1.0,1.0,1.0,-1167.6061,80.053,0.0676,2.2563,nan
1241.2484,4816.8877,4816888.0,nan,9.9646,0.5896,142.6696,0.0,nan,69.2995,1.178,1.1639,1.1606,1241.2484,0.5896,nan,nan,0.2298,0.0478,0.0478,15803.4375,2.2547,1.1606,1.3471,227.5656,1.0,1.0,1.0,-1167.7584,81.758,0.0478,2.2547,nan
1241.4008,4828.8242,4828824.5,nan,9.963,0.5526,142.4653,0.0,nan,70.6328,1.175,1.1617,1.158,1241.4009,0.5526,nan,nan,0.22,0.0357,0.0357,15842.5996,2.257,1.158,1.341,227.559,1.0,1.0,1.0,-1167.9109,82.798,0.0357,2.257,nan
1241.5532,4885.0942,4885094.5,nan,9.9553,0.5415,140.8018,0.0,nan,70.2631,1.1844,1.1707,1.1674,1241.5532,0.5415,nan,nan,0.2188,0.0342,0.0342,16027.2129,2.2567,1.1674,1.3628,227.5254,1.0,1.0,1.0,-1168.0632,82.927,0.0342,2.2567,nan
1241.7056,4968.9053,4968905.5,nan,9.9691,0.5484,138.1803,0.0,nan,68.8728,1.1964,1.1824,1.1781,1241.7057,0.5484,nan,nan,0.2188,0.0342,0.0342,16302.1826,2.2526,1.1781,1.3878,227.4344,1.0,1.0,1.0,-1168.2157,82.927,0.0342,2.2526,nan
1241.858,4983.2993,4983299.5,nan,9.9941,0.558,137.7218,0.0,nan,67.4319,1.2,1.186,1.181,1241.858,0.558,nan,nan,0.2188,0.0342,0.0342,16349.4072,2.2517,1.181,1.3948,227.3106,1.0,1.0,1.0,-1168.368,82.927,0.0342,2.2517,nan
1242.0104,4921.7715,4921771.5,nan,9.9657,0.5708,139.755,0.0,nan,67.0005,1.202,1.1867,1.1823,1242.0105,0.5708,nan,nan,0.2215,0.0375,0.0375,16147.5439,2.2567,1.1823,1.3979,227.1874,1.0,1.0,1.0,-1168.5204,82.642,0.0375,2.2567,nan
1242.1628,4847.1807,4847180.5,nan,9.9332,0.5937,142.3037,0.0,nan,67.8122,1.2097,1.1937,1.1897,1242.1628,0.5937,nan,nan,0.2298,0.0477,0.0477,15902.8232,2.263,1.1897,1.4154,227.0815,1.0,1.0,1.0,-1168.6729,81.764,0.0477,2.263,nan
1242.3152,4787.6128,4787613.0,nan,9.9724,0.616,144.1996,0.0,nan,68.8604,1.217,1.201,1.197,1242.3152,0.616,nan,nan,0.2394,0.0596,0.0596,15707.3916,2.265,1.197,1.4329,227.0188,1.0,1.0,1.0,-1168.8252,80.74,0.0596,2.265,nan
1242.4676,4848.7246,4848724.5,nan,10.0514,0.6069,142.171,0.0,nan,69.1797,1.2136,1.1983,1.1943,1242.4677,0.6069,nan,nan,0.2362,0.0556,0.0556,15907.8887,2.2616,1.1943,1.4264,226.9973,1.0,1.0,1.0,-1168.9777,81.084,0.0556,2.2616,nan
1242.62,5012.21,5012210.0,nan,10.0938,0.5688,137.1482,0.0,nan,68.2787,1.2003,1.1859,1.1819,1242.62,0.5688,nan,nan,0.2235,0.0399,0.0399,16444.2578,2.2553,1.1819,1.3969,226.9886,1.0,1.0,1.0,-1169.13,82.431,0.0399,2.2553,nan
1242.7724,5190.7227,5190722.5,nan,10.062,0.5444,132.1779,0.0,nan,67.0657,1.1856,1.1716,1.1676,1242.7725,0.5444,nan,nan,0.2188,0.0342,0.0342,17029.9297,2.251,1.1676,1.3633,226.9981,1.0,1.0,1.0,-1169.2825,82.927,0.0342,2.251,nan
1242.9248,5281.7734,5281773.0,nan,9.9812,0.5431,129.8428,0.0,nan,67.2268,1.175,1.1616,1.1576,1242.9248,0.5431,nan,nan,0.2188,0.0342,0.0342,17328.6523,2.25,1.1576,1.3401,227.0537,1.0,1.0,1.0,-1169.4348,82.927,0.0342,2.25,nan
1243.0772,5256.9448,5256944.5,nan,9.9107,0.5483,130.5337,0.0,nan,68.438,1.1686,1.1556,1.1516,1243.0773,0.5483,nan,nan,0.2188,0.0342,0.0342,17247.1934,2.2513,1.1516,1.3263,227.1499,1.0,1.0,1.0,-1169.5873,82.927,0.0342,2.2513,nan
1243.2296,5181.064,5181064.0,nan,9.8735,0.5401,132.4843,0.0,nan,69.3196,1.163,1.15,1.146,1243.2296,0.5401,nan,nan,0.2188,0.0342,0.0342,16998.2422,2.252,1.146,1.3132,227.2603,1.0,1.0,1.0,-1169.7396,82.927,0.0342,2.252,nan
1243.382,5115.2695,5115269.5,nan,9.8563,0.5011,134.3087,0.0,nan,70.2207,1.1556,1.1426,1.1393,1243.3821,0.5011,nan,nan,0.2231,0.0398,0.0398,16782.3809,2.254,1.1393,1.298,227.3487,1.0,1.0,1.0,-1169.8921,80.104,0.0398,2.254,nan
1243.5344,5153.9941,5153994.0,nan,9.8365,0.4591,133.5563,0.0,nan,71.2335,1.1476,1.1353,1.1316,1243.5344,0.4591,nan,nan,0.2288,0.0472,0.0472,16909.4297,2.2584,1.1316,1.2806,227.3821,1.0,1.0,1.0,-1170.0444,76.384,0.0472,2.2584,nan
1243.6868,5161.9683,5161968.5,nan,9.7611,0.4536,133.3275,0.0,nan,71.2462,1.1376,1.1263,1.1229,1243.6869,0.4536,nan,nan,0.2296,0.0482,0.0482,16935.5918,2.258,1.1229,1.261,227.3726,1.0,1.0,1.0,-1170.1969,75.92,0.0482,2.258,nan
1243.8392,5075.7241,5075724.0,nan,9.6521,0.4719,135.3726,0.0,nan,70.1581,1.1273,1.117,1.114,1243.8392,0.4719,nan,nan,0.2269,0.0446,0.0446,16652.6367,2.2543,1.114,1.2409,227.3727,1.0,1.0,1.0,-1170.3492,77.683,0.0446,2.2543,nan
1243.9916,5005.4121,5005412.0,nan,9.6392,0.4911,137.3174,0.0,nan,69.0066,1.1193,1.1106,1.107,1243.9917,0.4911,nan,nan,0.2243,0.0413,0.0413,16421.9551,2.255,1.107,1.2254,227.4277,1.0,1.0,1.0,-1170.5016,79.369,0.0413,2.255,nan
1244.144,4936.4819,4936482.0,nan,9.7726,0.5265,139.6269,0.0,nan,68.3096,1.1143,1.1063,1.1023,1244.144,0.5265,nan,nan,0.2203,0.0362,0.0362,16195.8066,2.2614,1.1023,1.2151,227.543,1.0,1.0,1.0,-1170.6541,81.925,0.0362,2.2614,nan
1244.2964,4972.5757,4972575.5,nan,9.9227,0.5676,138.4038,0.0,nan,67.6116,1.113,1.1057,1.1017,1244.2964,0.5676,nan,nan,0.2227,0.039,0.039,16314.2246,2.258,1.1017,1.2137,227.6864,1.0,1.0,1.0,-1170.8064,82.51,0.039,2.258,nan
1244.4488,5105.4297,5105429.5,nan,9.9388,0.5775,133.3425,0.0,nan,66.236,1.1291,1.1221,1.1174,1244.4489,0.5775,nan,nan,0.2324,0.0509,0.0509,16750.0977,2.2335,1.1174,1.2487,227.8089,1.0,1.0,1.0,-1170.9589,81.486,0.0509,2.2335,nan
1244.6012,5181.1938,5181193.5,nan,9.8766,0.5578,130.2614,0.0,nan,64.4877,1.1639,1.1569,1.1525,1244.6012,0.5578,nan,nan,0.2319,0.0504,0.0504,16998.666,2.2143,1.1525,1.3284,227.8746,1.0,1.0,1.0,-1171.1112,81.532,0.0504,2.2143,nan
1244.7536,5216.8618,5216861.5,nan,9.8429,0.5318,128.7287,0.0,nan,63.379,1.1925,1.1861,1.1815,1244.7537,0.5318,nan,nan,0.225,0.0417,0.0417,17115.6875,2.2033,1.1815,1.3958,227.885,1.0,1.0,1.0,-1171.2637,82.274,0.0417,2.2033,nan
1244.906,5241.54,5241540.0,nan,9.8118,0.5108,129.0647,0.0,nan,62.8317,1.2061,1.2014,1.1964,1244.906,0.5108,nan,nan,0.2216,0.0377,0.0377,17196.6523,2.2195,1.1964,1.4313,227.8682,1.0,1.0,1.0,-1171.416,81.766,0.0377,2.2195,nan
1245.0584,5162.9399,5162940.0,nan,9.7788,0.5044,133.4955,0.0,nan,62.0897,1.2117,1.2077,1.2027,1245.0585,0.5044,nan,nan,0.2227,0.0393,0.0393,16938.7793,2.2613,1.2027,1.4465,227.8395,1.0,1.0,1.0,-1171.5685,80.371,0.0393,2.2613,nan
1245.2108,5050.8638,5050864.0,nan,9.8375,0.5175,137.489,0.0,nan,61.5531,1.1969,1.1929,1.1879,1245.2108,0.5175,nan,nan,0.2217,0.038,0.038,16571.0762,2.2783,1.1879,1.4111,227.8109,1.0,1.0,1.0,-1171.7208,81.015,0.038,2.2783,nan
1245.3632,4913.2085,4913208.5,nan,10.0141,0.5374,140.632,0.0,nan,61.5187,1.1675,1.1628,1.1578,1245.3633,0.5374,nan,nan,0.2195,0.035,0.035,16119.4502,2.2669,1.1578,1.3406,227.798,1.0,1.0,1.0,-1171.8733,82.484,0.035,2.2669,nan
1245.5156,4719.6924,4719692.0,nan,10.2083,0.5534,145.6258,0.0,nan,61.9671,1.1496,1.1439,1.1389,1245.5156,0.5534,nan,nan,0.2188,0.0342,0.0342,15484.5547,2.255,1.1389,1.2972,227.8067,1.0,1.0,1.0,-1172.0256,82.927,0.0342,2.255,nan
1245.668,4650.9312,4650931.0,nan,10.3167,0.5639,147.8056,0.0,nan,63.5883,1.15,1.1427,1.1384,1245.6681,0.5639,nan,nan,0.2192,0.0346,0.0346,15258.9609,2.2554,1.1384,1.2959,227.8147,1.0,1.0,1.0,-1172.178,82.884,0.0346,2.2554,nan
1245.8204,4692.5522,4692552.0,nan,10.2748,0.5702,146.8194,0.0,nan,66.1843,1.1507,1.142,1.138,1245.8204,0.5702,nan,nan,0.219,0.0344,0.0344,15395.5117,2.2604,1.138,1.295,227.7952,1.0,1.0,1.0,-1172.3304,82.906,0.0344,2.2604,nan
1245.9728,4725.918,4725918.0,nan,10.1409,0.5753,145.7583,0.0,nan,68.3996,1.1386,1.1296,1.1256,1245.9729,0.5753,nan,nan,0.2205,0.0362,0.0362,15504.9795,2.26,1.1256,1.2669,227.7595,1.0,1.0,1.0,-1172.4828,82.749,0.0362,2.26,nan
1246.1252,4745.896,4745896.0,nan,10.0413,0.5879,144.9091,0.0,nan,69.1187,1.1202,1.1112,1.1072,1246.1252,0.5879,nan,nan,0.2272,0.0445,0.0445,15570.5244,2.2563,1.1072,1.226,227.7423,1.0,1.0,1.0,-1172.6353,82.037,0.0445,2.2563,nan
1246.2776,4723.1367,4723136.5,nan,10.0439,0.597,145.4363,0.0,nan,68.6309,1.1066,1.0969,1.0936,1246.2776,0.597,nan,nan,0.2324,0.0509,0.0509,15495.8545,2.2537,1.0936,1.196,227.7528,1.0,1.0,1.0,-1172.7876,81.489,0.0509,2.2537,nan
1246.43,4772.8862,4772886.0,nan,10.0698,0.5818,144.0072,0.0,nan,67.0925,1.101,1.0917,1.088,1246.4301,0.5818,nan,nan,0.2248,0.0416,0.0416,15659.0752,2.255,1.088,1.1837,227.7872,1.0,1.0,1.0,-1172.9401,82.286,0.0416,2.255,nan
1246.5824,5091.3267,5091326.5,nan,10.0189,0.5612,135.26,0.0,nan,65.5267,1.1081,1.0984,1.0944,1246.5824,0.5612,nan,nan,0.2194,0.0349,0.0349,16703.8262,2.2594,1.0944,1.1977,227.8675,1.0,1.0,1.0,-1173.0924,82.862,0.0349,2.2594,nan
1246.7348,5699.8604,5699860.5,nan,9.9084,0.5612,121.1225,0.0,nan,64.7727,1.1369,1.1255,1.1215,1246.7349,0.5612,nan,nan,0.2188,0.0342,0.0342,18700.3301,2.265,1.1215,1.2578,227.9887,1.0,1.0,1.0,-1173.2449,82.927,0.0342,2.265,nan
1246.8872,6286.5869,6286587.0,nan,9.7934,0.5501,110.174,0.0,nan,64.6149,1.1886,1.1753,1.1713,1246.8872,0.5501,nan,nan,0.2188,0.0342,0.0342,20625.2852,2.2724,1.1713,1.3719,228.0871,1.0,1.0,1.0,-1173.3972,82.927,0.0342,2.2724,nan
1247.0396,6308.4316,6308431.5,nan,9.7133,0.5033,110.179,0.0,nan,64.2123,1.2349,1.2202,1.2155,1247.0397,0.5033,nan,nan,0.2241,0.041,0.041,20696.9551,2.2804,1.2155,1.4775,228.1221,1.0,1.0,1.0,-1173.5497,79.492,0.041,2.2804,nan
1247.192,5806.0918,5806091.5,nan,9.6933,0.4641,120.0261,0.0,nan,63.6213,1.242,1.2276,1.2226,1247.192,0.4641,nan,nan,0.2295,0.048,0.048,19048.8574,2.2864,1.2226,1.4948,228.13,1.0,1.0,1.0,-1173.702,75.984,0.048,2.2864,nan
1247.3444,5235.4609,5235461.0,nan,9.7236,0.4633,133.1646,0.0,nan,63.6655,1.2215,1.2089,1.2039,1247.3445,0.4633,nan,nan,0.2296,0.0482,0.0482,17176.709,2.2873,1.2039,1.4493,228.1629,1.0,1.0,1.0,-1173.8545,75.901,0.0482,2.2873,nan
1247.4968,4864.7549,4864755.0,nan,9.7736,0.4829,143.1229,0.0,nan,64.597,1.2016,1.1903,1.1859,1247.4968,0.4829,nan,nan,0.2268,0.0445,0.0445,15960.4814,2.2843,1.1859,1.4064,228.2183,1.0,1.0,1.0,-1174.0068,77.736,0.0445,2.2843,nan
1247.6492,4732.7246,4732724.5,nan,9.8232,0.5082,146.7286,0.0,nan,65.6924,1.1832,1.1736,1.1703,1247.6493,0.5082,nan,nan,0.223,0.0397,0.0397,15527.3115,2.2783,1.1703,1.3695,228.2709,1.0,1.0,1.0,-1174.1592,80.164,0.0397,2.2783,nan
1247.8016,4686.8691,4686869.5,nan,9.8316,0.5301,147.5775,0.0,nan,66.2621,1.1629,1.1546,1.1516,1247.8016,0.5301,nan,nan,0.2198,0.0354,0.0354,15376.8682,2.2693,1.1516,1.3261,228.2957,1.0,1.0,1.0,-1174.3116,82.299,0.0354,2.2693,nan
1247.954,4730.1914,4730191.5,nan,9.7769,0.5362,145.7117,0.0,nan,66.6071,1.1459,1.1386,1.1356,1247.954,0.5362,nan,nan,0.2188,0.0342,0.0342,15519.001,2.2613,1.1356,1.2896,228.2711,1.0,1.0,1.0,-1174.464,82.927,0.0342,2.2613,nan
1248.1064,4973.2783,4973278.5,nan,9.6909,0.5363,138.3664,0.0,nan,67.2874,1.1336,1.1266,1.1236,1248.1064,0.5363,nan,nan,0.2188,0.0342,0.0342,16316.5303,2.2577,1.1236,1.2625,228.2234,1.0,1.0,1.0,-1174.6165,82.927,0.0342,2.2577,nan
1248.2588,5218.9023,5218902.0,nan,9.6455,0.554,132.0511,0.0,nan,68.0101,1.1213,1.1136,1.1113,1248.2588,0.554,nan,nan,0.2188,0.0342,0.0342,17122.3828,2.261,1.1113,1.2349,228.2097,1.0,1.0,1.0,-1174.7688,82.927,0.0342,2.261,nan
1248.4112,5295.1216,5295121.5,nan,9.7065,0.5871,130.4572,0.0,nan,68.099,1.1109,1.1023,1.1003,1248.4113,0.5871,nan,nan,0.225,0.0418,0.0418,17372.4453,2.2664,1.1003,1.2106,228.2318,1.0,1.0,1.0,-1174.9213,82.271,0.0418,2.2664,nan
1248.5636,5182.5913,5182591.5,nan,9.8724,0.6058,133.2674,0.0,nan,67.5079,1.108,1.097,1.0957,1248.5636,0.6058,nan,nan,0.2321,0.0505,0.0505,17003.2539,2.266,1.0957,1.2005,228.2501,1.0,1.0,1.0,-1175.0736,81.519,0.0505,2.266,nan
1248.716,4954.0,4954000.0,nan,9.9995,0.5878,139.3977,0.0,nan,66.7166,1.1201,1.1068,1.1051,1248.7161,0.5878,nan,nan,0.2242,0.0408,0.0408,16253.2812,2.2657,1.1051,1.2212,228.2392,1.0,1.0,1.0,-1175.2261,82.351,0.0408,2.2657,nan
1248.8684,4945.0962,4945096.5,nan,9.9319,0.5534,141.16,0.0,nan,65.1775,1.163,1.1469,1.1443,1248.8684,0.5534,nan,nan,0.2196,0.0351,0.0351,16224.0693,2.2902,1.1443,1.3093,228.1937,1.0,1.0,1.0,-1175.3784,82.545,0.0351,2.2902,nan
1249.0208,5167.0967,5167096.5,nan,9.8195,0.5315,137.2583,0.0,nan,62.2848,1.2274,1.2077,1.2047,1249.0209,0.5315,nan,nan,0.2222,0.0386,0.0386,16952.416,2.3269,1.2047,1.4512,228.1287,1.0,1.0,1.0,-1175.5309,80.709,0.0386,2.3269,nan
1249.1732,5293.3945,5293394.5,nan,9.966,0.5264,134.2955,0.0,nan,59.7896,1.254,1.2324,1.2294,1249.1732,0.5264,nan,nan,0.2231,0.0398,0.0398,17366.7793,2.3323,1.2294,1.5113,228.0731,1.0,1.0,1.0,-1175.6832,80.108,0.0398,2.3323,nan
1249.3256,5208.2358,5208236.0,nan,10.2593,0.5295,135.2378,0.0,nan,59.9135,1.2231,1.2031,1.1994,1249.3257,0.5295,nan,nan,0.2217,0.0379,0.0379,17087.3887,2.3109,1.1994,1.4386,228.0315,1.0,1.0,1.0,-1175.8357,81.069,0.0379,2.3109,nan
