DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,TEMP,VCL,WATER_VOL,ZLT
1172.6324,4800.4238,4800423.5,nan,143.4402,nan,nan,131.3663,1.1187,1.2021,1172.6323,0.6689,-531.6799,nan,nan,nan,nan,15749.4219,2.2591,1.1187,1.2515,84.9278,nan,nan,nan,-1090.1523,145.2919,nan,nan,nan
1172.7848,4587.498,4587498.0,nan,148.2176,nan,nan,129.7749,1.1099,1.1877,1172.7848,0.7172,-531.7543,nan,nan,nan,nan,15050.8457,2.2308,1.1099,1.2319,84.9115,nan,nan,nan,-1090.3048,145.3004,nan,nan,nan
1172.9372,4401.8545,4401854.5,nan,153.0213,nan,nan,128.0665,1.1041,1.1791,1172.9371,0.7467,-531.8286,nan,nan,nan,nan,14441.7793,2.2099,1.1041,1.219,84.9504,nan,nan,nan,-1090.4572,145.3089,nan,nan,nan
1173.0896,4288.7212,4288721.0,nan,156.0416,nan,nan,127.2362,1.1027,1.1785,1173.0896,0.7755,-531.903,nan,nan,nan,nan,14070.6074,2.1956,1.1027,1.2159,85.0228,nan,nan,nan,-1090.6096,145.3174,nan,nan,nan
1173.242,4284.6401,4284640.0,nan,156.2898,nan,nan,127.4569,1.1159,1.1994,1173.2419,0.7531,-531.9772,nan,nan,nan,nan,14057.2188,2.197,1.1159,1.2452,85.2548,nan,nan,nan,-1090.762,145.3258,nan,nan,nan
1173.3944,4363.582,4363582.0,nan,154.5241,nan,nan,127.8748,1.1454,1.2413,1173.3944,0.7393,-532.0516,nan,nan,nan,nan,14316.2139,2.2122,1.1454,1.3119,85.4688,nan,nan,nan,-1090.9144,145.3343,nan,nan,nan
1173.5468,4474.8545,4474854.5,nan,151.2947,nan,nan,127.8012,1.1855,1.2881,1173.5468,0.7201,-532.1259,nan,nan,nan,nan,14681.2812,2.2212,1.1855,1.4054,85.7346,nan,nan,nan,-1091.0668,145.3428,nan,nan,nan
1173.6992,4604.3052,4604305.0,nan,147.5309,nan,nan,127.6747,1.2203,1.3249,1173.6992,0.7254,-532.2003,nan,nan,nan,nan,15105.9883,2.2286,1.2203,1.4891,85.8335,nan,nan,nan,-1091.2191,145.3513,nan,nan,nan
1173.8516,4739.8096,4739809.5,nan,144.3421,nan,nan,128.4474,1.2375,1.3462,1173.8516,0.7028,-532.2745,nan,nan,nan,nan,15550.5566,2.2446,1.2375,1.5314,85.9276,nan,nan,nan,-1091.3716,145.3598,nan,nan,nan
1174.004,4824.1191,4824119.0,nan,142.3818,nan,nan,130.2896,1.2451,1.3623,1174.004,0.6466,-532.3489,nan,nan,nan,nan,15827.1621,2.2535,1.2451,1.5503,85.9731,nan,nan,nan,-1091.5239,145.3683,nan,nan,nan
1174.1564,4871.9409,4871941.0,nan,141.1719,nan,nan,132.4374,1.2499,1.3724,1174.1564,0.594,-532.4232,nan,nan,nan,nan,15984.0586,2.2565,1.2499,1.5623,85.972,nan,nan,nan,-1091.6764,145.3768,nan,nan,nan
1174.3088,4900.2104,4900210.0,nan,140.0838,nan,nan,133.9384,1.2507,1.3706,1174.3087,0.6277,-532.4976,nan,nan,nan,nan,16076.8057,2.2521,1.2507,1.5643,86.0174,nan,nan,nan,-1091.8287,145.3852,nan,nan,nan
1174.4612,4937.8784,4937878.5,nan,139.1942,nan,nan,134.3297,1.242,1.3535,1174.4612,0.6585,-532.5719,nan,nan,nan,nan,16200.3887,2.255,1.242,1.5426,86.0514,nan,nan,nan,-1091.9812,145.3937,nan,nan,nan
1174.6136,4987.0337,4987034.0,nan,138.5923,nan,nan,133.7481,1.2257,1.3271,1174.6135,0.6493,-532.6462,nan,nan,nan,nan,16361.6602,2.2676,1.2257,1.5023,86.188,nan,nan,nan,-1092.1335,145.4022,nan,nan,nan
1174.766,4987.3408,4987341.0,nan,139.1888,nan,nan,132.7403,1.2026,1.2956,1174.766,0.6538,-532.7205,nan,nan,nan,nan,16362.667,2.2775,1.2026,1.4462,86.2187,nan,nan,nan,-1092.286,145.4107,nan,nan,nan
1174.9184,4900.5952,4900595.0,nan,142.1315,nan,nan,132.206,1.1796,1.2695,1174.9183,0.6786,-532.7949,nan,nan,nan,nan,16078.0674,2.2852,1.1796,1.3915,86.2858,nan,nan,nan,-1092.4384,145.4192,nan,nan,nan
1175.0708,4758.8408,4758841.0,nan,146.5702,nan,nan,132.5518,1.1754,1.267,1175.0708,0.696,-532.8692,nan,nan,nan,nan,15612.9951,2.2884,1.1754,1.3816,86.2143,nan,nan,nan,-1092.5908,145.4277,nan,nan,nan
1175.2232,4665.1616,4665161.5,nan,149.2194,nan,nan,133.0675,1.1933,1.2949,1175.2231,0.679,-532.9435,nan,nan,nan,nan,15305.6484,2.2839,1.1933,1.424,86.1406,nan,nan,nan,-1092.7432,145.4362,nan,nan,nan
1175.3756,4659.1587,4659158.5,nan,148.4762,nan,nan,132.8807,1.2139,1.3223,1175.3756,0.6528,-533.0178,nan,nan,nan,nan,15285.9531,2.2696,1.2139,1.4736,86.0784,nan,nan,nan,-1092.8956,145.4446,nan,nan,nan
1175.528,4726.5493,4726549.0,nan,145.9594,nan,nan,132.0702,1.2131,1.3144,1175.528,0.6456,-533.0922,nan,nan,nan,nan,15507.0508,2.2634,1.2131,1.4716,86.0777,nan,nan,nan,-1093.048,145.4531,nan,nan,nan
1175.6804,4809.0977,4809097.5,nan,143.7519,nan,nan,131.2162,1.191,1.2858,1175.6804,0.6801,-533.1665,nan,nan,nan,nan,15777.8799,2.2681,1.191,1.4185,86.1556,nan,nan,nan,-1093.2003,145.4616,nan,nan,nan
1175.8328,4872.6392,4872639.0,nan,142.0462,nan,nan,130.3504,1.1697,1.2652,1175.8328,0.7147,-533.2408,nan,nan,nan,nan,15986.3486,2.2708,1.1697,1.3682,86.139,nan,nan,nan,-1093.3528,145.4701,nan,nan,nan
1175.9852,4936.2329,4936233.0,nan,140.6114,nan,nan,129.3235,1.1557,1.2539,1175.9852,0.6896,-533.3151,nan,nan,nan,nan,16194.9893,2.2772,1.1557,1.3356,86.1856,nan,nan,nan,-1093.5051,145.4786,nan,nan,nan
1176.1376,4966.1382,4966138.0,nan,139.8567,nan,nan,128.6205,1.1457,1.2468,1176.1376,0.6578,-533.3895,nan,nan,nan,nan,16293.1045,2.2787,1.1457,1.3126,86.2294,nan,nan,nan,-1093.6576,145.4871,nan,nan,nan
1176.29,4955.1636,4955163.5,nan,139.7605,nan,nan,128.8508,1.1352,1.2373,1176.2899,0.6345,-533.4638,nan,nan,nan,nan,16257.0986,2.2721,1.1352,1.2887,86.3952,nan,nan,nan,-1093.8099,145.4956,nan,nan,nan
1176.4424,4884.9482,4884948.0,nan,140.8584,nan,nan,129.6988,1.1223,1.2206,1176.4424,0.6402,-533.5381,nan,nan,nan,nan,16026.7334,2.2575,1.1223,1.2596,86.4642,nan,nan,nan,-1093.9624,145.504,nan,nan,nan
1176.5948,4780.3965,4780396.5,nan,142.7404,nan,nan,130.0275,1.1064,1.1962,1176.5947,0.6523,-533.6124,nan,nan,nan,nan,15683.7158,2.2387,1.1064,1.2241,86.5569,nan,nan,nan,-1094.1147,145.5125,nan,nan,nan
1176.7472,4711.6846,4711684.5,nan,144.3304,nan,nan,129.4655,1.0883,1.1689,1176.7472,0.6677,-533.6868,nan,nan,nan,nan,15458.2822,2.2311,1.0883,1.1844,86.5752,nan,nan,nan,-1094.2672,145.521,nan,nan,nan
1176.8996,4684.9458,4684945.5,nan,145.1021,nan,nan,128.8692,1.0744,1.1509,1176.8995,0.6847,-533.7611,nan,nan,nan,nan,15370.5566,2.2303,1.0744,1.1543,86.4976,nan,nan,nan,-1094.4196,145.5295,nan,nan,nan
1177.052,4722.0679,4722068.0,nan,144.7166,nan,nan,128.9969,1.0705,1.1506,1177.052,0.6935,-533.8354,nan,nan,nan,nan,15492.3496,2.242,1.0705,1.146,86.5286,nan,nan,nan,-1094.572,145.538,nan,nan,nan
1177.2044,4806.7368,4806736.5,nan,143.4357,nan,nan,129.5152,1.0741,1.162,1177.2043,0.6732,-533.9098,nan,nan,nan,nan,15770.1328,2.262,1.0741,1.1537,86.5917,nan,nan,nan,-1094.7244,145.5465,nan,nan,nan
1177.3568,4892.0942,4892094.0,nan,141.8302,nan,nan,129.639,1.0838,1.1788,1177.3568,0.6756,-533.9841,nan,nan,nan,nan,16050.1768,2.2764,1.0838,1.1746,86.7566,nan,nan,nan,-1094.8768,145.555,nan,nan,nan
1177.5092,4920.4053,4920405.0,nan,140.8283,nan,nan,129.2537,1.0951,1.1936,1177.5092,0.6803,-534.0584,nan,nan,nan,nan,16143.0615,2.2734,1.0951,1.1992,86.8336,nan,nan,nan,-1095.0292,145.5634,nan,nan,nan
1177.6616,4920.6123,4920612.5,nan,140.6861,nan,nan,128.9861,1.1043,1.2026,1177.6616,0.6929,-534.1328,nan,nan,nan,nan,16143.7412,2.2712,1.1043,1.2195,86.8951,nan,nan,nan,-1095.1815,145.5719,nan,nan,nan
1177.814,4939.3677,4939368.0,nan,140.9109,nan,nan,129.2176,1.1103,1.2073,1177.814,0.6973,-534.2071,nan,nan,nan,nan,16205.2754,2.2835,1.1103,1.2328,86.8085,nan,nan,nan,-1095.334,145.5804,nan,nan,nan
1177.9664,4945.1021,4945102.0,nan,140.8831,nan,nan,129.5091,1.1154,1.2131,1177.9664,0.7073,-534.2814,nan,nan,nan,nan,16224.0879,2.2857,1.1154,1.2441,86.7252,nan,nan,nan,-1095.4863,145.5889,nan,nan,nan
1178.1188,4978.5708,4978571.0,nan,139.9054,nan,nan,129.0864,1.1263,1.2275,1178.1188,0.6848,-534.3557,nan,nan,nan,nan,16333.8936,2.2852,1.1263,1.2686,86.6731,nan,nan,nan,-1095.6388,145.5974,nan,nan,nan
1178.2712,5078.1455,5078145.5,nan,137.8103,nan,nan,127.7044,1.15,1.2561,1178.2711,0.6544,-534.4301,nan,nan,nan,nan,16660.584,2.296,1.15,1.3225,86.6017,nan,nan,nan,-1095.7911,145.6059,nan,nan,nan
1178.4236,5187.7798,5187780.0,nan,135.6206,nan,nan,125.9256,1.1849,1.2947,1178.4236,0.6441,-534.5044,nan,nan,nan,nan,17020.2754,2.3083,1.1849,1.404,86.5744,nan,nan,nan,-1095.9436,145.6143,nan,nan,nan
1178.576,5239.1743,5239174.5,nan,134.1564,nan,nan,124.634,1.2189,1.3309,1178.5759,0.6439,-534.5787,nan,nan,nan,nan,17188.8926,2.306,1.2189,1.4857,86.5231,nan,nan,nan,-1096.0959,145.6228,nan,nan,nan
1178.7284,5233.4683,5233468.0,nan,134.0406,nan,nan,124.3195,1.2366,1.3505,1178.7284,0.6265,-534.653,nan,nan,nan,nan,17170.1719,2.3015,1.2366,1.5292,86.4825,nan,nan,nan,-1096.2484,145.6313,nan,nan,nan
1178.8808,5200.2026,5200202.5,nan,134.8453,nan,nan,124.6398,1.2379,1.3537,1178.8807,0.6388,-534.7274,nan,nan,nan,nan,17061.0312,2.3006,1.2379,1.5324,86.2649,nan,nan,nan,-1096.4008,145.6398,nan,nan,nan
1179.0332,5169.1162,5169116.5,nan,135.2258,nan,nan,124.9848,1.2348,1.3501,1179.0332,0.6566,-534.8017,nan,nan,nan,nan,16959.043,2.2933,1.2348,1.5247,86.0941,nan,nan,nan,-1096.5532,145.6483,nan,nan,nan
1179.1856,5152.9531,5152953.5,nan,135.1235,nan,nan,125.2733,1.2329,1.3489,1179.1855,0.6435,-534.876,nan,nan,nan,nan,16906.0156,2.2844,1.2329,1.52,85.8011,nan,nan,nan,-1096.7056,145.6568,nan,nan,nan
1179.338,5093.5884,5093588.5,nan,136.5308,nan,nan,125.6444,1.2227,1.3442,1179.338,0.6295,-534.9503,nan,nan,nan,nan,16711.248,2.2816,1.2227,1.495,85.5755,nan,nan,nan,-1096.858,145.6653,nan,nan,nan
1179.4904,4947.292,4947292.0,nan,139.8966,nan,nan,125.9427,1.1973,1.3165,1179.4904,0.6439,-535.0247,nan,nan,nan,nan,16231.2725,2.2707,1.1973,1.4335,85.4148,nan,nan,nan,-1097.0104,145.6738,nan,nan,nan
1179.6428,4797.1738,4797173.5,nan,142.6669,nan,nan,126.057,1.1632,1.2677,1179.6428,0.6587,-535.099,nan,nan,nan,nan,15738.7588,2.2454,1.1632,1.353,85.319,nan,nan,nan,-1097.1627,145.6822,nan,nan,nan
1179.7952,4754.7466,4754746.5,nan,142.8181,nan,nan,126.5303,1.1347,1.2247,1179.7952,0.6859,-535.1733,nan,nan,nan,nan,15599.5615,2.2279,1.1347,1.2875,85.3114,nan,nan,nan,-1097.3152,145.6907,nan,nan,nan
1179.9476,4757.1475,4757147.5,nan,141.9131,nan,nan,127.8337,1.1178,1.2026,1179.9476,0.6994,-535.2477,nan,nan,nan,nan,15607.4385,2.2149,1.1178,1.2495,85.2532,nan,nan,nan,-1097.4675,145.6992,nan,nan,nan
1180.1,4704.8389,4704839.0,nan,142.1628,nan,nan,129.2189,1.1088,1.1918,1180.1,0.7089,-535.322,nan,nan,nan,nan,15435.8232,2.1944,1.1088,1.2294,85.2102,nan,nan,nan,-1097.62,145.7077,nan,nan,nan
1180.2524,4722.084,4722084.0,nan,142.16,nan,nan,129.5733,1.1025,1.1854,1180.2523,0.6971,-535.3963,nan,nan,nan,nan,15492.4023,2.2024,1.1025,1.2155,85.0529,nan,nan,nan,-1097.7723,145.7162,nan,nan,nan
1180.4048,4789.1055,4789105.5,nan,141.5389,nan,nan,128.8741,1.1004,1.1883,1180.4048,0.6825,-535.4706,nan,nan,nan,nan,15712.2881,2.2239,1.1004,1.2109,84.9966,nan,nan,nan,-1097.9248,145.7247,nan,nan,nan
1180.5572,4803.0308,4803031.0,nan,141.4268,nan,nan,128.0488,1.1081,1.1987,1180.5571,0.6976,-535.545,nan,nan,nan,nan,15757.9746,2.2286,1.1081,1.2279,84.8698,nan,nan,nan,-1098.0771,145.7332,nan,nan,nan
1180.7096,4752.6504,4752650.5,nan,142.15,nan,nan,127.9611,1.1128,1.1963,1180.7096,0.6981,-535.6193,nan,nan,nan,nan,15592.6846,2.2165,1.1128,1.2383,84.8209,nan,nan,nan,-1098.2296,145.7416,nan,nan,nan
1180.862,4662.7666,4662766.5,nan,143.524,nan,nan,128.7359,1.1019,1.1818,1180.8619,0.7141,-535.6936,nan,nan,nan,nan,15297.79,2.1956,1.1019,1.2142,84.8283,nan,nan,nan,-1098.382,145.7501,nan,nan,nan
1181.0144,4544.29,4544290.5,nan,145.0927,nan,nan,129.9531,1.0848,1.167,1181.0144,0.697,-535.7679,nan,nan,nan,nan,14909.0889,2.1632,1.0848,1.1768,84.9481,nan,nan,nan,-1098.5344,145.7586,nan,nan,nan
1181.1668,4458.4404,4458440.0,nan,146.3962,nan,nan,131.0526,1.0742,1.1579,1181.1667,0.7035,-535.8423,nan,nan,nan,nan,14627.4287,2.1414,1.0742,1.1539,85.1388,nan,nan,nan,-1098.6868,145.7671,nan,nan,nan
1181.3192,4410.6147,4410615.0,nan,147.258,nan,nan,131.4877,1.0692,1.1525,1181.3192,0.7176,-535.9166,nan,nan,nan,nan,14470.5205,2.1309,1.0692,1.1432,85.3041,nan,nan,nan,-1098.8392,145.7756,nan,nan,nan
1181.4716,4352.0996,4352100.0,nan,147.9703,nan,nan,131.0792,1.0628,1.1454,1181.4716,0.7222,-535.9909,nan,nan,nan,nan,14278.543,2.1128,1.0628,1.1295,85.4364,nan,nan,nan,-1098.9916,145.7841,nan,nan,nan
1181.624,4306.1392,4306139.0,nan,148.679,nan,nan,130.1411,1.0532,1.131,1181.624,0.7148,-536.0652,nan,nan,nan,nan,14127.752,2.1005,1.0532,1.1092,85.399,nan,nan,nan,-1099.1439,145.7926,nan,nan,nan
1181.7764,4293.7607,4293760.5,nan,149.1715,nan,nan,129.015,1.0403,1.1136,1181.7764,0.7257,-536.1396,nan,nan,nan,nan,14087.1416,2.1014,1.0403,1.0822,85.2915,nan,nan,nan,-1099.2964,145.801,nan,nan,nan
1181.9288,4303.1909,4303191.0,nan,149.22,nan,nan,127.9101,1.0279,1.0996,1181.9288,0.7592,-536.2139,nan,nan,nan,nan,14118.0801,2.1067,1.0279,1.0566,85.0712,nan,nan,nan,-1099.4487,145.8095,nan,nan,nan
1182.0812,4324.0742,4324074.5,nan,148.7672,nan,nan,127.2616,1.0214,1.0935,1182.0812,0.7095,-536.2882,nan,nan,nan,nan,14186.5957,2.1105,1.0214,1.0433,85.0239,nan,nan,nan,-1099.6012,145.818,nan,nan,nan
1182.2336,4368.4463,4368446.0,nan,148.0585,nan,nan,127.4808,1.0218,1.0957,1182.2335,0.6962,-536.3625,nan,nan,nan,nan,14332.1729,2.122,1.0218,1.0441,85.004,nan,nan,nan,-1099.7535,145.8265,nan,nan,nan
1182.386,4395.0098,4395009.5,nan,147.6699,nan,nan,128.062,1.0288,1.1039,1182.386,0.75,-536.4369,nan,nan,nan,nan,14419.3232,2.1293,1.0288,1.0584,85.0825,nan,nan,nan,-1099.906,145.835,nan,nan,nan
1182.5384,4421.0029,4421003.0,nan,147.1395,nan,nan,127.8317,1.0434,1.1215,1182.5383,0.779,-536.5112,nan,nan,nan,nan,14504.6025,2.1342,1.0434,1.0887,85.2894,nan,nan,nan,-1100.0584,145.8435,nan,nan,nan
1182.6908,4504.4663,4504466.0,nan,145.4958,nan,nan,126.576,1.0616,1.1447,1182.6908,0.7827,-536.5856,nan,nan,nan,nan,14778.4326,2.1502,1.0616,1.127,85.5695,nan,nan,nan,-1100.2108,145.8519,nan,nan,nan
1182.8432,4599.2632,4599263.0,nan,143.0669,nan,nan,125.3859,1.0821,1.1708,1182.8431,0.7399,-536.6599,nan,nan,nan,nan,15089.4453,2.1588,1.0821,1.1709,85.7946,nan,nan,nan,-1100.3632,145.8604,nan,nan,nan
1182.9956,4630.4365,4630436.5,nan,141.3533,nan,nan,125.3097,1.1016,1.1926,1182.9956,0.7263,-536.7342,nan,nan,nan,nan,15191.7207,2.1474,1.1016,1.2135,85.9004,nan,nan,nan,-1100.5156,145.8689,nan,nan,nan
1183.148,4622.9912,4622991.0,nan,140.9744,nan,nan,126.2773,1.1097,1.1982,1183.1479,0.7115,-536.8085,nan,nan,nan,nan,15167.2939,2.1382,1.1097,1.2314,86.0255,nan,nan,nan,-1100.668,145.8774,nan,nan,nan
1183.3004,4608.3042,4608304.0,nan,141.2914,nan,nan,127.5218,1.1094,1.1975,1183.3004,0.7712,-536.8829,nan,nan,nan,nan,15119.1084,2.1362,1.1094,1.2308,85.9007,nan,nan,nan,-1100.8203,145.8859,nan,nan,nan
1183.4528,4551.7671,4551767.0,nan,142.6647,nan,nan,128.6353,1.1131,1.2068,1183.4528,0.7564,-536.9572,nan,nan,nan,nan,14933.6191,2.1305,1.1131,1.239,85.8049,nan,nan,nan,-1100.9728,145.8944,nan,nan,nan
1183.6052,4474.8071,4474807.0,nan,144.8254,nan,nan,129.6863,1.124,1.2211,1183.6052,0.7908,-537.0315,nan,nan,nan,nan,14681.125,2.1262,1.124,1.2634,85.7543,nan,nan,nan,-1101.1251,145.9029,nan,nan,nan
1183.7576,4427.3013,4427301.5,nan,146.2968,nan,nan,130.8457,1.1259,1.2181,1183.7576,0.7639,-537.1058,nan,nan,nan,nan,14525.2666,2.125,1.1259,1.2677,85.8185,nan,nan,nan,-1101.2776,145.9113,nan,nan,nan
1183.91,4400.3721,4400372.5,nan,146.4163,nan,nan,132.2822,1.1066,1.1943,1183.9099,0.7478,-537.1802,nan,nan,nan,nan,14436.917,2.1138,1.1066,1.2246,85.876,nan,nan,nan,-1101.4299,145.9198,nan,nan,nan
1184.0624,4363.96,4363960.0,nan,145.829,nan,nan,133.9654,1.0789,1.1619,1184.0624,0.6976,-537.2545,nan,nan,nan,nan,14317.4541,2.0879,1.0789,1.164,85.8909,nan,nan,nan,-1101.5824,145.9283,nan,nan,nan
1184.2148,4364.9199,4364920.0,nan,145.7271,nan,nan,135.4165,1.065,1.1435,1184.2147,0.6917,-537.3288,nan,nan,nan,nan,14320.6035,2.0869,1.065,1.1342,85.9112,nan,nan,nan,-1101.7347,145.9368,nan,nan,nan
1184.3672,4356.0308,4356030.5,nan,146.2064,nan,nan,136.047,1.0662,1.1429,1184.3672,0.6966,-537.4031,nan,nan,nan,nan,14291.4395,2.0895,1.0662,1.1368,85.8831,nan,nan,nan,-1101.8872,145.9453,nan,nan,nan
1184.5196,4342.1729,4342173.0,nan,146.2729,nan,nan,135.5918,1.0683,1.1472,1184.5195,0.6925,-537.4775,nan,nan,nan,nan,14245.9746,2.0838,1.0683,1.1413,85.9515,nan,nan,nan,-1102.0396,145.9538,nan,nan,nan
1184.672,4390.4824,4390482.5,nan,144.955,nan,nan,134.0315,1.0681,1.1492,1184.672,0.6776,-537.5518,nan,nan,nan,nan,14404.4707,2.088,1.0681,1.1408,86.0116,nan,nan,nan,-1102.192,145.9623,nan,nan,nan
1184.8244,4464.4414,4464441.5,nan,142.9701,nan,nan,131.7599,1.0704,1.1531,1184.8243,0.6786,-537.6261,nan,nan,nan,nan,14647.1182,2.0941,1.0704,1.1458,86.1968,nan,nan,nan,-1102.3444,145.9707,nan,nan,nan
1184.9768,4460.0146,4460015.0,nan,143.6519,nan,nan,129.6639,1.0746,1.1608,1184.9768,0.6709,-537.7004,nan,nan,nan,nan,14632.5947,2.102,1.0746,1.1548,86.3288,nan,nan,nan,-1102.4968,145.9792,nan,nan,nan
1185.1292,4313.3022,4313302.0,nan,148.743,nan,nan,128.6763,1.0783,1.1689,1185.1292,0.6697,-537.7748,nan,nan,nan,nan,14151.2539,2.1049,1.0783,1.1627,86.3723,nan,nan,nan,-1102.6492,145.9877,nan,nan,nan
1185.2816,4113.9951,4113995.0,nan,154.1635,nan,nan,128.8128,1.0827,1.1769,1185.2816,0.6946,-537.8491,nan,nan,nan,nan,13497.3584,2.0808,1.0827,1.1722,86.3802,nan,nan,nan,-1102.8015,145.9962,nan,nan,nan
1185.434,4005.5427,4005542.5,nan,155.2253,nan,nan,129.0618,1.0838,1.1778,1185.434,0.7061,-537.9235,nan,nan,nan,nan,13141.5439,2.0399,1.0838,1.1746,86.4033,nan,nan,nan,-1102.954,146.0047,nan,nan,nan
1185.5864,3990.1489,3990149.0,nan,153.3721,nan,nan,128.8494,1.0728,1.1615,1185.5864,0.7059,-537.9977,nan,nan,nan,nan,13091.04,2.0078,1.0728,1.1509,86.3622,nan,nan,nan,-1103.1063,146.0132,nan,nan,nan
1185.7388,4012.5906,4012590.5,nan,151.5724,nan,nan,128.8483,1.0514,1.134,1185.7388,0.6816,-538.0721,nan,nan,nan,nan,13164.667,1.9954,1.0514,1.1054,86.3404,nan,nan,nan,-1103.2588,146.0217,nan,nan,nan
1185.8912,4048.2102,4048210.25,nan,150.6754,nan,nan,129.8466,1.0344,1.1116,1185.8911,0.6883,-538.1464,nan,nan,nan,nan,13281.5293,2.0012,1.0344,1.07,86.4094,nan,nan,nan,-1103.4111,146.0302,nan,nan,nan
1186.0436,4101.1426,4101142.75,nan,150.7225,nan,nan,131.4106,1.0253,1.1004,1186.0436,0.6881,-538.2208,nan,nan,nan,nan,13455.1924,2.028,1.0253,1.0512,86.31,nan,nan,nan,-1103.5636,146.0386,nan,nan,nan
1186.196,4136.7217,4136721.75,nan,151.2903,nan,nan,132.4364,1.0201,1.1,1186.1959,0.6797,-538.295,nan,nan,nan,nan,13571.9219,2.0533,1.0201,1.0406,86.2058,nan,nan,nan,-1103.7159,146.0471,nan,nan,nan
1186.3484,4149.2524,4149252.25,nan,151.2962,nan,nan,132.4339,1.0229,1.1085,1186.3484,0.7027,-538.3694,nan,nan,nan,nan,13613.0322,2.0596,1.0229,1.0463,86.0095,nan,nan,nan,-1103.8684,146.0556,nan,nan,nan
1186.5008,4171.3433,4171343.25,nan,149.925,nan,nan,131.7037,1.0248,1.1085,1186.5007,0.7234,-538.4437,nan,nan,nan,nan,13685.5088,2.0518,1.0248,1.0502,85.9688,nan,nan,nan,-1104.0208,146.0641,nan,nan,nan
1186.6532,4224.2837,4224283.5,nan,147.3029,nan,nan,130.6099,1.0133,1.0921,1186.6532,0.7045,-538.5181,nan,nan,nan,nan,13859.1982,2.0415,1.0133,1.0268,85.9896,nan,nan,nan,-1104.1732,146.0726,nan,nan,nan
1186.8056,4278.4526,4278452.5,nan,144.754,nan,nan,129.7159,0.9977,1.0761,1186.8055,0.6748,-538.5924,nan,nan,nan,nan,14036.918,2.0319,0.9977,0.9954,86.0926,nan,nan,nan,-1104.3256,146.0811,nan,nan,nan
