DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,NPHI,DT,DT4P,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SPDH,SUWI,SUWI_MODELLING,TDVSS,TEMP,VCL,WATER_VOL,RHOB_1,ZLT
1189.1764,5084.7007,5084700.5,nan,10.8729,0.5354,134.2218,134.2218,nan,nan,83.7953,1.3298,1.366,1.4031,1189.1764,0.5354,5.5311,nan,nan,nan,nan,16682.0879,2.2391,nan,nan,nan,-61.4184,313.8893,nan,nan,-1070.5402,142.1884,nan,nan,2.2391,nan
1189.3288,5109.8271,5109827.0,nan,10.7797,0.5383,133.5618,133.5618,nan,nan,86.4363,1.3175,1.345,1.3787,1189.3287,0.5383,5.4559,nan,nan,nan,nan,16764.5234,2.2391,nan,nan,nan,-61.4159,313.8583,nan,nan,-1070.679,142.1961,nan,nan,2.2391,nan
1189.4812,5122.3687,5122368.5,nan,10.6925,0.5235,133.3895,133.3895,nan,nan,86.2583,1.3123,1.3319,1.3634,1189.4812,0.5235,5.3583,nan,nan,nan,nan,16805.6699,2.2417,nan,nan,nan,-61.3617,313.7912,nan,nan,-1070.8177,142.2039,nan,nan,2.2417,nan
1189.6336,5156.4771,5156477.0,nan,10.6626,0.4992,133.0628,133.0628,nan,nan,83.7571,1.3315,1.3448,1.3759,1189.6335,0.4992,5.255,nan,nan,nan,nan,16917.5762,2.2511,nan,nan,nan,-61.4575,313.5712,nan,nan,-1070.9565,142.2116,nan,nan,2.2511,nan
1189.786,5227.4766,5227476.5,nan,10.7163,0.4702,131.9494,131.9494,nan,nan,81.3749,1.3403,1.3486,1.3792,1189.7859,0.4702,5.2021,nan,nan,nan,nan,17150.5137,2.263,nan,nan,nan,-61.7008,313.2968,nan,nan,-1071.0953,142.2193,nan,nan,2.263,nan
1189.9384,5297.2578,5297258.0,nan,10.8032,0.4652,130.6888,130.6888,nan,nan,80.784,1.3269,1.3321,1.3615,1189.9384,0.4652,5.1719,nan,nan,nan,nan,17379.4551,2.2713,nan,nan,nan,-61.8338,313.1511,nan,nan,-1071.2341,142.227,nan,nan,2.2713,nan
1190.0908,5352.4478,5352447.5,nan,10.8541,0.4895,129.6146,129.6146,nan,nan,81.2296,1.3311,1.3351,1.3646,1190.0907,0.4895,5.1281,nan,nan,nan,nan,17560.5234,2.2761,nan,nan,nan,-61.6741,313.1474,nan,nan,-1071.3729,142.2347,nan,nan,2.2761,nan
1190.2432,5367.3071,5367307.5,nan,10.8589,0.5176,129.534,129.534,nan,nan,80.7379,1.3474,1.3513,1.3817,1190.2432,0.5176,5.241,nan,nan,nan,nan,17609.2754,2.281,nan,nan,nan,-61.4421,313.1115,nan,nan,-1071.5117,142.2424,nan,nan,2.281,nan
1190.3956,5271.6631,5271663.5,nan,10.8519,0.5239,132.0865,132.0865,nan,nan,78.7497,1.3374,1.3412,1.3714,1190.3955,0.5239,5.3413,nan,nan,nan,nan,17295.4824,2.2845,nan,nan,nan,-61.399,312.9909,nan,nan,-1071.6506,142.2501,nan,nan,2.2845,nan
1190.548,5300.6006,5300600.5,nan,10.8498,0.5118,131.1699,131.1699,nan,nan,78.3546,1.329,1.3327,1.3628,1190.548,0.5118,5.2946,nan,nan,nan,nan,17390.4219,2.2811,nan,nan,nan,-61.5398,312.7966,nan,nan,-1071.7894,142.2579,nan,nan,2.2811,nan
1190.7004,5205.5405,5205540.5,nan,10.8586,0.4996,132.9153,132.9153,nan,nan,81.2102,1.3538,1.3572,1.3884,1190.7003,0.4996,5.2921,nan,nan,nan,nan,17078.5449,2.27,nan,nan,nan,-61.654,312.5713,nan,nan,-1071.9282,142.2656,nan,nan,2.27,nan
1190.8528,5144.7632,5144763.5,nan,10.8777,0.5062,133.7153,133.7153,nan,nan,82.8141,1.3856,1.3878,1.4203,1190.8528,0.5062,5.2219,nan,nan,nan,nan,16879.1445,2.257,nan,nan,nan,-61.6465,312.4269,nan,nan,-1072.067,142.2733,nan,nan,2.257,nan
1191.0052,5156.2202,5156220.5,nan,10.8957,0.5369,133.0517,133.0517,nan,nan,81.1853,1.3913,1.391,1.4235,1191.0051,0.5369,5.2154,nan,nan,nan,nan,16916.7344,2.2508,nan,nan,nan,-61.5756,312.45,nan,nan,-1072.2058,142.281,nan,nan,2.2508,nan
1191.1576,5201.2163,5201216.5,nan,10.8857,0.567,132.0999,132.0999,nan,nan,79.843,1.368,1.3638,1.3951,1191.1576,0.567,5.2278,nan,nan,nan,nan,17064.3574,2.2542,nan,nan,nan,-61.4961,312.5471,nan,nan,-1072.3446,142.2887,nan,nan,2.2542,nan
1191.31,5248.085,5248085.0,nan,10.8467,0.5629,131.3209,131.3209,nan,nan,82.2822,1.3558,1.3468,1.3774,1191.3099,0.5629,5.2276,nan,nan,nan,nan,17218.127,2.2611,nan,nan,nan,-61.4236,312.598,nan,nan,-1072.4834,142.2964,nan,nan,2.2611,nan
1191.4624,5291.2993,5291299.5,nan,10.8116,0.5303,130.5537,130.5537,nan,nan,86.1926,1.3755,1.361,1.3927,1191.4624,0.5303,5.2034,nan,nan,nan,nan,17359.9062,2.2664,nan,nan,nan,-61.3331,312.5849,nan,nan,-1072.6222,142.3041,nan,nan,2.2664,nan
1191.6148,5234.1138,5234114.0,nan,10.7992,0.5003,132.114,132.114,nan,nan,86.3392,1.388,1.3692,1.4018,1191.6147,0.5003,5.2256,nan,nan,nan,nan,17172.2891,2.2687,nan,nan,nan,-61.1762,312.5471,nan,nan,-1072.761,142.3118,nan,nan,2.2687,nan
1191.7672,5224.7192,5224719.0,nan,10.8012,0.484,132.3924,132.3924,nan,nan,83.0145,1.3575,1.3383,1.3702,1191.7671,0.484,5.2491,nan,nan,nan,nan,17141.4668,2.2694,nan,nan,nan,-60.9417,312.5317,nan,nan,-1072.8998,142.3196,nan,nan,2.2694,nan
1191.9196,5212.7861,5212786.0,nan,10.8236,0.4793,132.7247,132.7247,nan,nan,81.0271,1.3138,1.2981,1.3289,1191.9196,0.4793,5.2492,nan,nan,nan,nan,17102.3164,2.2699,nan,nan,nan,-60.7743,312.5599,nan,nan,-1073.0387,142.3273,nan,nan,2.2699,nan
1192.072,5209.6792,5209679.5,nan,10.8727,0.4998,132.798,132.798,nan,nan,81.7434,1.2983,1.2892,1.3204,1192.0719,0.4998,5.2659,nan,nan,nan,nan,17092.123,2.2698,nan,nan,nan,-60.7959,312.609,nan,nan,-1073.1775,142.335,nan,nan,2.2698,nan
1192.2244,5228.7915,5228791.5,nan,10.9306,0.5304,132.3126,132.3126,nan,nan,83.7503,1.3086,1.3091,1.342,1192.2244,0.5304,5.2807,nan,nan,nan,nan,17154.8281,2.2698,nan,nan,nan,-60.8508,312.7886,nan,nan,-1073.3163,142.3427,nan,nan,2.2698,nan
1192.3768,5243.6631,5243663.0,nan,10.9745,0.5343,132.228,132.228,nan,nan,85.4644,1.3154,1.328,1.3619,1192.3767,0.5343,5.2807,nan,nan,nan,nan,17203.6191,2.2748,nan,nan,nan,-60.7649,313.3223,nan,nan,-1073.4551,142.3504,nan,nan,2.2748,nan
1192.5292,5289.6118,5289612.0,nan,10.9904,0.5055,131.4885,131.4885,nan,nan,84.6748,1.2939,1.318,1.3511,1192.5292,0.5055,5.2811,nan,nan,nan,nan,17354.3691,2.2819,nan,nan,nan,-60.7208,314.0368,nan,nan,-1073.5939,142.3581,nan,nan,2.2819,nan
1192.6816,5202.2017,5202202.0,nan,10.9829,0.4977,133.5162,133.5162,nan,nan,82.204,1.2631,1.2961,1.3275,1192.6815,0.4977,5.3001,nan,nan,nan,nan,17067.5918,2.2788,nan,nan,nan,-60.9,314.5529,nan,nan,-1073.7327,142.3658,nan,nan,2.2788,nan
1192.834,5259.3984,5259398.5,nan,10.9685,0.5368,131.1891,131.1891,nan,nan,80.618,1.2736,1.3144,1.3461,1192.834,0.5368,5.3266,nan,nan,nan,nan,17255.2441,2.2637,nan,nan,nan,-60.9975,314.8165,nan,nan,-1073.8715,142.3736,nan,nan,2.2637,nan
1192.9864,5255.3296,5255329.5,nan,10.9621,0.5686,130.4671,130.4671,nan,nan,80.2413,1.3146,1.3626,1.3967,1192.9863,0.5686,5.3305,nan,nan,nan,nan,17241.8945,2.2495,nan,nan,nan,-60.7203,314.9437,nan,nan,-1074.0103,142.3813,nan,nan,2.2495,nan
1193.1388,5248.3872,5248387.5,nan,10.957,0.5422,130.5874,130.5874,nan,nan,81.2593,1.3299,1.3797,1.4141,1193.1388,0.5422,5.3197,nan,nan,nan,nan,17219.1191,2.2486,nan,nan,nan,-60.2077,314.9487,nan,nan,-1074.149,142.389,nan,nan,2.2486,nan
1193.2912,5170.1016,5170101.5,nan,10.9224,0.5185,133.4078,133.4078,nan,nan,82.9131,1.3078,1.3555,1.3893,1193.2911,0.5185,5.3287,nan,nan,nan,nan,16962.2754,2.2629,nan,nan,nan,-59.786,314.8497,nan,nan,-1074.2878,142.3967,nan,nan,2.2629,nan
1193.4436,5127.6465,5127646.5,nan,10.8279,0.542,135.6715,135.6715,nan,nan,83.2201,1.2706,1.3156,1.3485,1193.4436,0.542,5.336,nan,nan,nan,nan,16822.9883,2.2824,nan,nan,nan,-59.4718,314.7469,nan,nan,-1074.4268,142.4044,nan,nan,2.2824,nan
1193.596,5138.1445,5138144.5,nan,10.7395,0.5802,135.8392,135.8392,nan,nan,81.0843,1.2311,1.2752,1.3074,1193.5959,0.5802,5.2867,nan,nan,nan,nan,16857.4297,2.2899,nan,nan,nan,-59.0947,314.766,nan,nan,-1074.5656,142.4121,nan,nan,2.2899,nan
1193.7484,5036.9512,5036951.5,nan,10.7679,0.5927,137.8663,137.8663,nan,nan,78.3984,1.1981,1.2439,1.2758,1193.7483,0.5927,5.3211,nan,nan,nan,nan,16525.4316,2.2783,nan,nan,nan,-58.7244,315.0287,nan,nan,-1074.7043,142.4198,nan,nan,2.2783,nan
1193.9008,4930.2642,4930264.0,nan,10.8801,0.5741,139.539,139.539,nan,nan,78.3962,1.1932,1.2449,1.2774,1193.9008,0.5741,5.5075,nan,nan,nan,nan,16175.4072,2.2571,nan,nan,nan,-58.6367,315.4012,nan,nan,-1074.8431,142.4276,nan,nan,2.2571,nan
1194.0532,4961.3447,4961345.0,nan,10.9462,0.5247,137.6143,137.6143,nan,nan,80.9085,1.2217,1.283,1.317,1194.0531,0.5247,5.7403,nan,nan,nan,nan,16277.3779,2.24,nan,nan,nan,-58.8544,315.6644,nan,nan,-1074.9819,142.4353,nan,nan,2.24,nan
1194.2056,4931.3721,4931372.0,nan,10.9383,0.483,137.9068,137.9068,nan,nan,82.1047,1.2327,1.3026,1.3377,1194.2056,0.483,5.8742,nan,nan,nan,nan,16179.043,2.2312,nan,nan,nan,-59.1135,315.8498,nan,nan,-1075.1207,142.443,nan,nan,2.2312,nan
1194.358,4971.5957,4971596.0,nan,10.8936,0.4877,136.5642,136.5642,nan,nan,82.0973,1.2176,1.2927,1.3279,1194.3579,0.4877,5.8633,nan,nan,nan,nan,16311.0098,2.2275,nan,nan,nan,-59.2139,315.9805,nan,nan,-1075.2595,142.4507,nan,nan,2.2275,nan
1194.5104,5008.1538,5008154.0,nan,10.8288,0.53,136.1455,136.1455,nan,nan,82.5279,1.2347,1.3131,1.3492,1194.5104,0.53,5.7563,nan,nan,nan,nan,16430.9512,2.237,nan,nan,nan,-59.2183,315.8312,nan,nan,-1075.3983,142.4584,nan,nan,2.237,nan
1194.6628,5077.9526,5077953.0,nan,10.7737,0.5434,135.9968,135.9968,nan,nan,81.0582,1.2626,1.3399,1.377,1194.6627,0.5434,5.5083,nan,nan,nan,nan,16659.9512,2.2657,nan,nan,nan,-59.363,315.3383,nan,nan,-1075.5371,142.4661,nan,nan,2.2657,nan
1194.8152,5137.8594,5137859.5,nan,10.7496,0.513,135.7459,135.7459,nan,nan,78.8733,1.2403,1.3084,1.3452,1194.8152,0.513,5.1812,nan,nan,nan,nan,16856.4941,2.2882,nan,nan,nan,-59.682,314.8796,nan,nan,-1075.6759,142.4738,nan,nan,2.2882,nan
1194.9676,5182.9473,5182947.5,nan,10.7425,0.4849,134.6003,134.6003,nan,nan,80.4502,1.1918,1.2466,1.2823,1194.9675,0.4849,5.0285,nan,nan,nan,nan,17004.4199,2.2888,nan,nan,nan,-59.9949,314.587,nan,nan,-1075.8148,142.4815,nan,nan,2.2888,nan
1195.12,5137.2236,5137224.0,nan,10.7672,0.4875,134.9914,134.9914,nan,nan,82.9176,1.1707,1.2119,1.2475,1195.12,0.4875,5.0188,nan,nan,nan,nan,16854.4082,2.2752,nan,nan,nan,-60.153,314.2981,nan,nan,-1075.9536,142.4893,nan,nan,2.2752,nan
1195.2724,5170.8687,5170869.0,nan,10.8207,0.5066,133.4057,133.4057,nan,nan,81.8452,1.1929,1.2248,1.2611,1195.2723,0.5066,4.9441,nan,nan,nan,nan,16964.793,2.2632,nan,nan,nan,-60.2005,314.0082,nan,nan,-1076.0924,142.497,nan,nan,2.2632,nan
1195.4248,5124.1289,5124129.0,nan,10.8363,0.5187,134.3787,134.3787,nan,nan,80.7891,1.2375,1.2622,1.3018,1195.4248,0.5187,4.877,nan,nan,nan,nan,16811.4473,2.2591,nan,nan,nan,-60.277,313.7797,nan,nan,-1076.2312,142.5047,nan,nan,2.2591,nan
1195.5772,5096.1162,5096116.0,nan,10.7917,0.5299,134.9738,134.9738,nan,nan,83.324,1.263,1.2808,1.322,1195.5771,0.5299,4.8453,nan,nan,nan,nan,16719.541,2.2567,nan,nan,nan,-60.4891,313.6802,nan,nan,-1076.37,142.5124,nan,nan,2.2567,nan
1195.7296,5066.3354,5066335.5,nan,10.7384,0.5311,135.2498,135.2498,nan,nan,86.9582,1.2625,1.2742,1.3147,1195.7295,0.5311,4.8176,nan,nan,nan,nan,16621.8359,2.2481,nan,nan,nan,-60.7819,313.8272,nan,nan,-1076.5088,142.5201,nan,nan,2.2481,nan
1195.882,5034.5352,5034535.0,nan,10.6859,0.5088,135.1536,135.1536,nan,nan,87.5212,1.295,1.3022,1.3435,1195.882,0.5088,4.8049,nan,nan,nan,nan,16517.5039,2.2324,nan,nan,nan,-61.0991,314.0312,nan,nan,-1076.6476,142.5278,nan,nan,2.2324,nan
1196.0344,4972.2505,4972250.5,nan,10.6345,0.4885,135.8903,135.8903,nan,nan,84.442,1.4021,1.4052,1.4519,1196.0343,0.4885,4.7939,nan,nan,nan,nan,16313.1582,2.2168,nan,nan,nan,-61.3912,314.0259,nan,nan,-1076.7864,142.5355,nan,nan,2.2168,nan
1196.1868,5052.3008,5052300.5,nan,10.6305,0.5067,133.2546,133.2546,nan,nan,81.7241,1.4767,1.4749,1.5249,1196.1868,0.5067,4.7757,nan,nan,nan,nan,16575.7891,2.2088,nan,nan,nan,-61.4882,313.9457,nan,nan,-1076.9252,142.5432,nan,nan,2.2088,nan
1196.3392,5042.2417,5042242.0,nan,10.6644,0.5267,133.6655,133.6655,nan,nan,82.8102,1.4033,1.3984,1.442,1196.3391,0.5267,4.8198,nan,nan,nan,nan,16542.7891,2.2112,nan,nan,nan,-61.3765,313.9058,nan,nan,-1077.064,142.551,nan,nan,2.2112,nan
1196.4916,5160.8179,5160817.5,nan,10.6706,0.4949,131.1318,131.1318,nan,nan,85.0215,1.2742,1.2682,1.3029,1196.4916,0.4949,4.9279,nan,nan,nan,nan,16931.8164,2.2203,nan,nan,nan,-61.2587,313.7277,nan,nan,-1077.2028,142.5587,nan,nan,2.2203,nan
1196.644,5201.3804,5201380.0,nan,10.6407,0.4459,130.9882,130.9882,nan,nan,85.1729,1.2091,1.2025,1.2323,1196.6439,0.4459,4.988,nan,nan,nan,nan,17064.8965,2.2353,nan,nan,nan,-61.0911,313.5587,nan,nan,-1077.3417,142.5664,nan,nan,2.2353,nan
1196.7964,5352.5674,5352567.5,nan,10.624,0.4344,128.3703,128.3703,nan,nan,84.6878,1.2214,1.2132,1.2415,1196.7964,0.4344,5.0185,nan,nan,nan,nan,17560.916,2.2543,nan,nan,nan,-60.7767,313.6119,nan,nan,-1077.4805,142.5741,nan,nan,2.2543,nan
1196.9488,5422.7393,5422739.0,nan,10.6413,0.4539,127.6197,127.6197,nan,nan,83.5923,1.2701,1.2589,1.2871,1196.9487,0.4539,5.0519,nan,nan,nan,nan,17791.1387,2.2705,nan,nan,nan,-60.545,313.6974,nan,nan,-1077.6193,142.5818,nan,nan,2.2705,nan
1197.1012,5418.1606,5418160.5,nan,10.6813,0.4699,128.3576,128.3576,nan,nan,80.3041,1.3142,1.2991,1.3265,1197.1012,0.4699,5.0735,nan,nan,nan,nan,17776.1172,2.2817,nan,nan,nan,-60.6668,313.5172,nan,nan,-1077.7581,142.5895,nan,nan,2.2817,nan
1197.2536,5437.7734,5437773.5,nan,10.7308,0.4772,128.2646,128.2646,nan,nan,77.4033,1.3688,1.3487,1.3757,1197.2535,0.4772,4.9942,nan,nan,nan,nan,17840.4648,2.2883,nan,nan,nan,-60.897,313.3277,nan,nan,-1077.8969,142.5972,nan,nan,2.2883,nan
1197.406,5561.0405,5561040.5,nan,10.763,0.4767,125.3502,125.3502,nan,nan,77.1546,1.4312,1.405,1.4319,1197.406,0.4767,4.8359,nan,nan,nan,nan,18244.8848,2.287,nan,nan,nan,-60.849,313.3988,nan,nan,-1078.0356,142.605,nan,nan,2.287,nan
1197.5584,5584.0361,5584036.0,nan,10.7469,0.4546,125.4126,125.4126,nan,nan,77.8637,1.4619,1.4301,1.456,1197.5583,0.4546,4.7846,nan,nan,nan,nan,18320.3281,2.2976,nan,nan,nan,-60.8073,313.3551,nan,nan,-1078.1744,142.6127,nan,nan,2.2976,nan
1197.7108,5635.5029,5635503.0,nan,10.709,0.4237,124.608,124.608,nan,nan,78.5314,1.4698,1.4328,1.4573,1197.7107,0.4237,4.7895,nan,nan,nan,nan,18489.1836,2.3039,nan,nan,nan,-61.2176,312.9337,nan,nan,-1078.3132,142.6204,nan,nan,2.3039,nan
1197.8632,5628.3125,5628312.5,nan,10.6951,0.4296,124.9838,124.9838,nan,nan,78.954,1.4872,1.4451,1.4693,1197.8632,0.4296,4.739,nan,nan,nan,nan,18465.5918,2.3079,nan,nan,nan,-61.7142,312.533,nan,nan,-1078.452,142.6281,nan,nan,2.3079,nan
1198.0156,5737.8335,5737833.5,nan,10.7005,0.4754,123.0922,123.0922,nan,nan,78.9087,1.5286,1.4816,1.5071,1198.0155,0.4754,4.5941,nan,nan,nan,nan,18824.9121,2.3172,nan,nan,nan,-61.7441,312.3905,nan,nan,-1078.5908,142.6358,nan,nan,2.3172,nan
1198.168,5764.5088,5764508.5,nan,10.6985,0.5093,123.0302,123.0302,nan,nan,79.2323,1.5481,1.5016,1.5285,1198.168,0.5093,4.5377,nan,nan,nan,nan,18912.4297,2.3268,nan,nan,nan,-61.5173,312.2182,nan,nan,-1078.7297,142.6435,nan,nan,2.3268,nan
1198.3204,5789.896,5789896.0,nan,10.6847,0.4913,122.9961,122.9961,nan,nan,77.1674,1.4724,1.4357,1.4613,1198.3203,0.4913,4.6269,nan,nan,nan,nan,18995.7227,2.3364,nan,nan,nan,-61.4133,311.9517,nan,nan,-1078.8685,142.6512,nan,nan,2.3364,nan
1198.4728,5820.8389,5820839.0,nan,10.675,0.4625,122.646,122.646,nan,nan,72.9242,1.3869,1.3622,1.3865,1198.4728,0.4625,4.7617,nan,nan,nan,nan,19097.2402,2.3422,nan,nan,nan,-61.4905,311.7701,nan,nan,-1079.0073,142.659,nan,nan,2.3422,nan
1198.6252,5819.0908,5819091.0,nan,10.6908,0.4545,122.9552,122.9552,nan,nan,70.3013,1.4167,1.3996,1.4264,1198.6251,0.4545,4.8933,nan,nan,nan,nan,19091.5059,2.3474,nan,nan,nan,-61.696,311.6921,nan,nan,-1079.1461,142.6667,nan,nan,2.3474,nan
1198.7776,5793.0527,5793053.0,nan,10.735,0.4631,124.0603,124.0603,nan,nan,70.5315,1.5365,1.5244,1.5574,1198.7776,0.4631,5.1259,nan,nan,nan,nan,19006.0781,2.3579,nan,nan,nan,-61.9053,311.6302,nan,nan,-1079.2849,142.6744,nan,nan,2.3579,nan
1198.93,5804.2627,5804262.5,nan,10.7814,0.4688,124.7502,124.7502,nan,nan,71.9154,1.6242,1.6154,1.6533,1198.9299,0.4688,5.3985,nan,nan,nan,nan,19042.8555,2.3756,nan,nan,nan,-61.9395,311.6619,nan,nan,-1079.4237,142.6821,nan,nan,2.3756,nan
1199.0824,5846.4043,5846404.0,nan,10.8046,0.4561,124.4036,124.4036,nan,nan,74.5506,1.6549,1.648,1.6887,1199.0824,0.4561,5.5191,nan,nan,nan,nan,19181.1152,2.3862,nan,nan,nan,-61.758,311.8243,nan,nan,-1079.5625,142.6898,nan,nan,2.3862,nan
1199.2348,5827.4819,5827482.0,nan,10.7982,0.4492,124.2636,124.2636,nan,nan,76.0251,1.6558,1.6507,1.6925,1199.2347,0.4492,5.4196,nan,nan,nan,nan,19119.0352,2.3758,nan,nan,nan,-61.4648,312.0439,nan,nan,-1079.7012,142.6975,nan,nan,2.3758,nan
1199.3872,5810.6938,5810694.0,nan,10.7833,0.4776,124.0561,124.0561,nan,nan,75.6567,1.5944,1.5939,1.6341,1199.3871,0.4776,5.2075,nan,nan,nan,nan,19063.9551,2.365,nan,nan,nan,-61.0632,312.233,nan,nan,-1079.8397,142.7052,nan,nan,2.365,nan
1199.5396,5868.1074,5868107.5,nan,10.7868,0.5264,123.0449,123.0449,nan,nan,76.2906,1.4907,1.4965,1.5333,1199.5396,0.5264,5.09,nan,nan,nan,nan,19252.3203,2.3689,nan,nan,nan,-60.5849,312.3953,nan,nan,-1079.9783,142.713,nan,nan,2.3689,nan
1199.692,5724.5034,5724503.5,nan,10.8187,0.5249,125.7216,125.7216,nan,nan,77.9122,1.393,1.4063,1.4403,1199.6919,0.5249,5.1916,nan,nan,nan,nan,18781.1797,2.3612,nan,nan,nan,-60.128,312.575,nan,nan,-1080.1168,142.7207,nan,nan,2.3612,nan
1199.8444,5688.8071,5688807.0,nan,10.8653,0.4771,126.4087,126.4087,nan,nan,77.775,1.3536,1.3765,1.4103,1199.8444,0.4771,5.3966,nan,nan,nan,nan,18664.0645,2.3593,nan,nan,nan,-59.9533,312.7279,nan,nan,-1080.2555,142.7284,nan,nan,2.3593,nan
1199.9968,5515.189,5515189.0,nan,10.9078,0.4414,129.7359,129.7359,nan,nan,76.8383,1.4047,1.444,1.4818,1199.9967,0.4414,5.5669,nan,nan,nan,nan,18094.4531,2.3475,nan,nan,nan,-60.1892,312.783,nan,nan,-1080.394,142.7361,nan,nan,2.3475,nan
1200.1492,5225.0596,5225059.5,nan,10.9377,0.4388,135.178,135.178,nan,nan,77.6584,1.4426,1.5042,1.5445,1200.1492,0.4388,5.6157,nan,nan,nan,nan,17142.584,2.3173,nan,nan,nan,-60.4122,312.8521,nan,nan,-1080.5326,142.7438,nan,nan,2.3173,nan
1200.3016,5067.1245,5067124.5,nan,10.9732,0.4583,136.907,136.907,nan,nan,80.322,1.3731,1.4522,1.4884,1200.3015,0.4583,5.5463,nan,nan,nan,nan,16624.4238,2.276,nan,nan,nan,-60.0961,313.1017,nan,nan,-1080.6711,142.7515,nan,nan,2.276,nan
1200.454,4869.062,4869062.0,nan,11.0537,0.4753,139.7968,139.7968,nan,nan,83.3546,1.2916,1.3867,1.418,1200.454,0.4753,5.3801,nan,nan,nan,nan,15974.6133,2.2332,nan,nan,nan,-59.2461,313.4761,nan,nan,-1080.8098,142.7592,nan,nan,2.2332,nan
1200.6064,4683.3906,4683391.0,nan,11.1981,0.4717,143.0091,143.0091,nan,nan,84.4371,1.2707,1.3903,1.4198,1200.6063,0.4717,5.2723,nan,nan,nan,nan,15365.4551,2.1974,nan,nan,nan,-58.3082,313.8992,nan,nan,-1080.9484,142.7669,nan,nan,2.1974,nan
1200.7588,4611.436,4611436.0,nan,11.3497,0.486,143.76,143.76,nan,nan,83.6215,1.2321,1.3716,1.3987,1200.7588,0.486,5.3396,nan,nan,nan,nan,15129.3828,2.175,nan,nan,nan,-57.7902,314.351,nan,nan,-1081.0869,142.7747,nan,nan,2.175,nan
