DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,NPHI,PEF,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,TEMP,VCL,WATER_VOL,ZLT
1338.98,4240.3677,4240367.5,nan,9.314,9.314,150.446,0.0,nan,73.9555,1.138,1.194,0.5518,3.871,nan,nan,0.1971,0.0265,0.0265,13911.9668,2.093,1.138,1.295,443.59,1.0,1.0,1.0,-1275.62,152.2513,85.306,0.0265,nan
1339.132,4255.8242,4255824.5,nan,9.315,9.315,149.828,0.0,nan,73.1797,1.15,1.205,0.5421,3.894,nan,nan,0.197,0.0276,0.0276,13962.6787,2.092,1.15,1.3225,443.61,1.0,1.0,1.0,-1275.7721,152.2595,84.718,0.0276,nan
1339.284,4304.4395,4304439.5,nan,9.285,9.285,148.065,0.0,nan,74.7365,1.163,1.22,0.5586,3.9,nan,nan,0.1965,0.0325,0.0325,14122.1768,2.091,1.163,1.3526,443.692,1.0,1.0,1.0,-1275.924,152.2677,82.007,0.0325,nan
1339.4361,4365.022,4365022.0,nan,9.272,9.272,146.01,0.0,nan,75.5895,1.17,1.231,0.5724,3.908,nan,nan,0.1959,0.0373,0.0373,14320.9385,2.091,1.17,1.3689,443.686,1.0,1.0,1.0,-1276.076,152.2759,79.311,0.0373,nan
1339.5881,4407.8071,4407807.5,nan,9.291,9.291,144.731,0.0,nan,74.1211,1.177,1.243,0.5618,3.918,nan,nan,0.1957,0.0391,0.0391,14461.3105,2.093,1.177,1.3853,443.558,1.0,1.0,1.0,-1276.228,152.2841,78.328,0.0391,nan
1339.7401,4399.1489,4399149.0,nan,9.323,9.323,145.293,0.0,nan,72.6795,1.189,1.261,0.5596,3.933,nan,nan,0.1958,0.0382,0.0382,14432.9043,2.097,1.189,1.4137,443.434,1.0,1.0,1.0,-1276.3801,152.2923,78.824,0.0382,nan
1339.892,4347.1919,4347192.0,nan,9.373,9.373,147.31,0.0,nan,72.6254,1.202,1.277,0.5638,3.929,nan,nan,0.1962,0.0352,0.0352,14262.4404,2.101,1.202,1.4448,443.373,1.0,1.0,1.0,-1276.532,152.3005,80.498,0.0352,nan
1340.044,4323.4771,4323477.0,nan,9.428,9.428,148.823,0.0,nan,72.626,1.212,1.288,0.552,3.921,nan,nan,0.1966,0.0311,0.0311,14184.6357,2.111,1.212,1.4689,443.404,1.0,1.0,1.0,-1276.6841,152.3087,82.781,0.0311,nan
1340.1961,4327.1504,4327150.5,nan,9.472,9.472,150.035,0.0,nan,72.9048,1.219,1.291,0.5245,3.951,nan,nan,0.1966,0.031,0.031,14196.6875,2.13,1.219,1.486,443.497,1.0,1.0,1.0,-1276.8361,152.3169,82.797,0.031,nan
1340.3481,4356.1743,4356174.5,nan,9.533,9.533,149.875,0.0,nan,74.487,1.208,1.273,0.4963,3.929,nan,nan,0.1962,0.0353,0.0353,14291.9111,2.142,1.208,1.4593,443.595,1.0,1.0,1.0,-1276.988,152.3251,80.435,0.0353,nan
1340.5001,4394.897,4394897.0,nan,9.639,9.639,148.069,0.0,nan,76.6617,1.182,1.24,0.489,3.807,nan,nan,0.1961,0.0358,0.0358,14418.9531,2.135,1.182,1.3971,443.666,1.0,1.0,1.0,-1277.14,152.3333,80.171,0.0358,nan
1340.652,4407.4619,4407462.0,nan,9.729,9.729,146.817,0.0,nan,77.7174,1.172,1.224,0.5268,3.781,nan,nan,0.196,0.0364,0.0364,14460.1777,2.123,1.172,1.3736,443.75,1.0,1.0,1.0,-1277.2921,152.3415,79.82,0.0364,nan
1340.804,4446.4502,4446450.5,nan,9.732,9.732,145.324,0.0,nan,76.8189,1.178,1.23,0.588,3.816,nan,nan,0.1958,0.0382,0.0382,14588.0918,2.12,1.178,1.3877,443.887,1.0,1.0,1.0,-1277.4441,152.3497,78.829,0.0382,nan
1340.9561,4527.5435,4527543.5,nan,9.669,9.669,143.327,0.0,nan,74.8403,1.174,1.226,0.6151,3.809,nan,nan,0.1959,0.0377,0.0377,14854.1445,2.129,1.174,1.3783,444.036,1.0,1.0,1.0,-1277.5959,152.3579,79.074,0.0377,nan
1341.1081,4574.8433,4574843.5,nan,9.608,9.608,142.578,0.0,nan,73.8948,1.158,1.212,0.5937,3.8,nan,nan,0.1955,0.041,0.041,15009.3291,2.14,1.158,1.341,444.174,1.0,1.0,1.0,-1277.748,152.3661,77.294,0.041,nan
1341.2601,4578.3394,4578339.0,nan,9.591,9.591,142.802,0.0,nan,75.0124,1.156,1.215,0.5495,3.815,nan,nan,0.1955,0.0415,0.0415,15020.7979,2.145,1.156,1.3363,444.325,1.0,1.0,1.0,-1277.9,152.3743,76.974,0.0415,nan
1341.412,4551.061,4551061.0,nan,9.614,9.614,143.457,0.0,nan,76.4528,1.168,1.234,0.5224,3.825,nan,nan,0.1958,0.0386,0.0386,14931.3027,2.142,1.168,1.3642,444.421,1.0,1.0,1.0,-1278.0521,152.3825,78.623,0.0386,nan
1341.564,4536.1875,4536187.5,nan,9.635,9.635,143.793,0.0,nan,76.2605,1.185,1.26,0.5254,3.832,nan,nan,0.1958,0.0389,0.0389,14882.5059,2.14,1.185,1.4042,444.385,1.0,1.0,1.0,-1278.204,152.3907,78.434,0.0389,nan
1341.716,4550.2695,4550269.5,nan,9.602,9.602,143.281,0.0,nan,75.1269,1.202,1.286,0.5438,3.854,nan,nan,0.1955,0.0412,0.0412,14928.7051,2.139,1.202,1.4448,444.389,1.0,1.0,1.0,-1278.3561,152.3989,77.134,0.0412,nan
1341.8681,4583.7808,4583781.0,nan,9.538,9.538,142.167,0.0,nan,74.9839,1.214,1.304,0.5411,3.891,nan,nan,0.1954,0.0419,0.0419,15038.6514,2.138,1.214,1.4738,444.499,1.0,1.0,1.0,-1278.5081,152.4071,76.758,0.0419,nan
1342.0201,4599.1919,4599191.5,nan,9.501,9.501,141.293,0.0,nan,76.1661,1.216,1.307,0.5124,3.922,nan,nan,0.1955,0.0411,0.0411,15089.2119,2.132,1.216,1.4787,444.597,1.0,1.0,1.0,-1278.66,152.4153,77.198,0.0411,nan
1342.172,4584.9038,4584904.0,nan,9.502,9.502,141.135,0.0,nan,76.9143,1.21,1.296,0.4941,3.942,nan,nan,0.1956,0.0404,0.0404,15042.335,2.123,1.21,1.4641,444.648,1.0,1.0,1.0,-1278.812,152.4235,77.622,0.0404,nan
1342.324,4569.4473,4569447.0,nan,9.509,9.509,141.479,0.0,nan,76.515,1.201,1.281,0.5084,3.976,nan,nan,0.1957,0.039,0.039,14991.624,2.121,1.201,1.4424,444.738,1.0,1.0,1.0,-1278.9641,152.4317,78.352,0.039,nan
1342.476,4549.8926,4549892.5,nan,9.512,9.512,142.422,0.0,nan,76.1339,1.197,1.27,0.5277,4.017,nan,nan,0.1959,0.038,0.038,14927.4688,2.126,1.197,1.4328,444.888,1.0,1.0,1.0,-1279.1161,152.4399,78.938,0.038,nan
1342.6281,4523.481,4523481.0,nan,9.495,9.495,143.86,0.0,nan,76.0917,1.199,1.267,0.534,4.021,nan,nan,0.1959,0.0378,0.0378,14840.8174,2.135,1.199,1.4376,445.062,1.0,1.0,1.0,-1279.2681,152.4481,79.053,0.0378,nan
1342.7801,4490.1558,4490155.5,nan,9.458,9.458,145.335,0.0,nan,75.4793,1.204,1.268,0.5529,3.989,nan,nan,0.1958,0.0384,0.0384,14731.4824,2.141,1.204,1.4496,445.127,1.0,1.0,1.0,-1279.42,152.4563,78.717,0.0384,nan
1342.932,4460.8848,4460884.5,nan,9.43,9.43,146.152,0.0,nan,75.1194,1.202,1.265,0.5709,3.928,nan,nan,0.1724,0.0233,0.0233,14635.4482,2.139,1.202,1.4448,445.009,1.0,1.0,1.0,-1279.572,152.4645,74.578,0.0233,nan
1343.084,4466.1562,4466156.0,nan,9.433,9.433,145.843,0.0,nan,76.0836,1.189,1.253,0.5549,3.916,nan,nan,0.1383,0.0025,0.01,14652.7432,2.137,1.189,1.4137,444.884,1.0,1.0,1.0,-1279.724,152.4727,67.938,0.0025,nan
1343.236,4512.3208,4512321.0,nan,9.458,9.458,144.486,0.0,nan,76.3467,1.181,1.247,0.5342,3.932,nan,nan,0.1249,0.0001,0.01,14804.2031,2.139,1.181,1.3948,444.867,1.0,1.0,1.0,-1279.876,152.4809,62.455,0.0001,nan
1343.3881,4574.5737,4574573.5,nan,9.486,9.486,142.12,3.0,nan,74.6999,1.201,1.273,0.5362,3.754,nan,nan,0.107,0.0001,0.01,15008.4434,2.133,1.201,1.4424,444.94,1.0,1.0,1.0,-1280.0281,152.4891,53.522,0.0001,nan
1343.5401,4444.7329,4444733.0,nan,9.503,9.503,140.237,3.0,nan,73.4676,1.279,1.364,0.5409,2.999,nan,nan,0.082,0.0001,0.01,14582.457,2.045,1.279,1.6358,445.038,1.0,1.0,1.0,-1280.1801,152.4973,40.997,0.0001,nan
1343.6921,3952.2373,3952237.25,nan,9.541,9.541,140.36,3.0,nan,72.0201,1.47,1.581,0.5507,2.166,nan,nan,0.0583,0.0001,0.01,12966.6572,1.82,1.47,2.1609,445.031,1.0,1.0,1.0,-1280.332,152.5055,29.131,0.0001,nan
1343.844,3457.0725,3457072.5,nan,9.631,9.631,140.891,3.0,nan,66.5579,1.831,1.983,0.6023,1.993,nan,nan,0.049,0.0001,0.01,11342.1016,1.598,1.831,3.3526,444.928,1.0,1.0,1.0,-1280.484,152.5137,24.519,0.0001,nan
1343.996,3221.4878,3221487.75,nan,9.649,9.649,143.152,3.0,nan,60.0881,2.039,2.175,0.655,2.359,nan,nan,0.0601,0.0001,0.01,10569.1855,1.513,2.039,4.1575,444.943,1.0,1.0,1.0,-1280.6361,152.5219,30.043,0.0001,nan
1344.1481,3278.9531,3278953.25,nan,9.485,9.485,147.429,3.0,nan,61.6475,1.664,1.689,0.6506,2.923,nan,nan,0.0848,0.0001,0.01,10757.7207,1.586,1.664,2.7689,445.212,1.0,1.0,1.0,-1280.7881,152.5301,42.382,0.0001,nan
1344.3001,3602.178,3602178.0,nan,9.269,9.269,149.854,3.0,nan,72.3189,1.157,1.149,0.6076,3.438,nan,nan,0.1126,0.0001,0.01,11818.1699,1.771,1.157,1.3386,445.779,1.0,1.0,1.0,-1280.9401,152.5383,56.282,0.0001,nan
1344.4521,3996.7156,3996715.75,nan,9.165,9.165,151.0,3.0,nan,83.7851,0.935,0.924,0.5739,3.737,nan,nan,0.136,0.0001,0.01,13112.584,1.98,0.935,0.8742,446.602,1.0,1.0,1.0,-1281.092,152.5465,68.018,0.0001,nan
1344.604,4310.2041,4310204.5,nan,9.137,9.137,149.847,3.0,nan,89.3127,0.905,0.901,0.5647,3.896,nan,nan,0.1504,0.0001,0.01,14141.0898,2.119,0.905,0.819,447.339,1.0,1.0,1.0,-1281.2441,152.5547,75.179,0.0001,nan
1344.756,4581.9312,4581931.0,nan,9.104,9.104,145.484,0.0,nan,89.5953,0.969,0.981,0.5722,4.099,nan,nan,0.1544,0.0001,0.01,15032.582,2.187,0.969,0.939,447.734,1.0,1.0,1.0,-1281.3961,152.5629,77.211,0.0001,0.0
1344.9081,4782.5425,4782542.5,nan,9.067,9.067,140.911,0.0,nan,87.416,1.035,1.069,0.5683,4.307,nan,nan,0.1699,0.0155,0.0155,15690.7559,2.211,1.035,1.0712,447.923,1.0,1.0,1.0,-1281.548,152.5711,77.22,0.0155,0.0
1345.0601,4952.519,4952519.0,nan,9.048,9.048,137.121,0.0,nan,83.9107,1.053,1.11,0.551,4.436,nan,nan,0.1919,0.0395,0.0395,16248.4219,2.228,1.053,1.1088,448.098,1.0,1.0,1.0,-1281.7001,152.5793,76.255,0.0395,0.0
1345.2121,5166.2173,5166217.0,nan,9.056,9.056,133.809,0.0,nan,80.7278,1.046,1.114,0.5458,4.577,nan,nan,0.1947,0.0485,0.0485,16949.5312,2.268,1.046,1.0941,448.343,1.0,1.0,1.0,-1281.8521,152.5875,73.113,0.0485,0.0
1345.364,5333.2388,5333238.5,nan,9.079,9.079,132.076,0.0,nan,79.7743,1.048,1.122,0.546,4.729,nan,nan,0.1941,0.0544,0.0544,17497.502,2.311,1.048,1.0983,448.585,1.0,1.0,1.0,-1282.004,152.5957,69.845,0.0544,0.0
1345.516,5442.8984,5442898.5,nan,9.129,9.129,130.255,0.0,nan,80.1867,1.078,1.155,0.546,4.636,nan,nan,0.1935,0.06,0.06,17857.2793,2.326,1.078,1.1621,448.683,1.0,1.0,1.0,-1282.156,152.6039,66.714,0.06,0.0
1345.668,5550.894,5550894.0,nan,9.223,9.223,127.611,0.0,nan,80.6131,1.113,1.196,0.541,4.391,nan,nan,0.193,0.0637,0.0637,18211.5957,2.324,1.113,1.2388,448.584,1.0,1.0,1.0,-1282.3081,152.6121,64.67,0.0637,0.0
1345.8201,5621.6787,5621678.5,nan,9.327,9.327,125.95,0.0,nan,81.7416,1.119,1.206,0.5206,4.307,nan,nan,0.1931,0.0636,0.0636,18443.8262,2.323,1.119,1.2522,448.418,1.0,1.0,1.0,-1282.4601,152.6203,64.735,0.0636,0.0
1345.9721,5661.1567,5661157.0,nan,9.393,9.393,124.964,0.0,nan,84.4553,1.103,1.189,0.4934,4.376,nan,nan,0.1933,0.0611,0.0611,18573.3496,2.321,1.103,1.2166,448.246,1.0,1.0,1.0,-1282.6121,152.6285,66.127,0.0611,0.0
1346.124,5676.1582,5676158.0,nan,9.434,9.434,125.654,0.0,nan,87.8559,1.08,1.163,0.4867,4.483,nan,nan,0.1936,0.0587,0.0587,18622.5664,2.34,1.08,1.1664,448.006,1.0,1.0,1.0,-1282.764,152.6367,67.449,0.0587,0.0
1346.276,5666.8149,5666814.5,nan,9.501,9.501,127.421,0.0,nan,89.617,1.05,1.126,0.4978,4.537,nan,nan,0.194,0.0552,0.0552,18591.9121,2.369,1.05,1.1025,447.723,1.0,1.0,1.0,-1282.9161,152.6449,69.413,0.0552,0.0
1346.428,5479.4365,5479436.5,nan,9.588,9.588,132.279,0.0,nan,89.3385,1.017,1.086,0.5042,4.494,nan,nan,0.1946,0.0492,0.0492,17977.1543,2.378,1.017,1.0343,447.51,1.0,1.0,1.0,-1283.068,152.6531,72.734,0.0492,0.0
1346.5801,5245.7251,5245725.0,nan,9.654,9.654,136.836,0.0,nan,89.6485,1.003,1.073,0.4975,4.448,nan,nan,0.1951,0.045,0.045,17210.3828,2.355,1.003,1.006,447.323,1.0,1.0,1.0,-1283.2201,152.6613,75.05,0.045,0.0
1346.7321,5129.9321,5129932.0,nan,9.678,9.678,138.261,0.0,nan,90.1307,1.033,1.112,0.4886,4.613,nan,nan,0.1952,0.044,0.044,16830.4863,2.327,1.033,1.0671,447.04,1.0,1.0,1.0,-1283.3721,152.6695,75.609,0.044,0.0
1346.884,5087.6226,5087622.5,nan,9.668,9.668,139.291,0.0,nan,87.4357,1.119,1.216,0.4969,4.927,nan,nan,0.1951,0.0454,0.0454,16691.6738,2.325,1.119,1.2522,446.696,1.0,1.0,1.0,-1283.524,152.6777,74.838,0.0454,0.0
1347.036,5260.9194,5260919.0,nan,9.643,9.643,135.34,0.0,nan,82.9776,1.209,1.317,0.506,5.029,nan,nan,0.1945,0.0505,0.0505,17260.2344,2.336,1.209,1.4617,446.419,1.0,1.0,1.0,-1283.676,152.6859,72.021,0.0505,0.0
1347.188,5392.8042,5392804.5,nan,9.63,9.63,131.578,0.0,nan,81.6741,1.203,1.292,0.4928,4.73,nan,nan,0.1942,0.0529,0.0529,17692.9277,2.328,1.203,1.4472,446.316,1.0,1.0,1.0,-1283.828,152.6941,70.656,0.0529,0.0
1347.3401,5286.3872,5286387.5,nan,9.649,9.649,132.497,0.0,nan,83.5427,1.107,1.164,0.4857,4.369,nan,nan,0.1947,0.049,0.049,17343.791,2.298,1.107,1.2254,446.351,1.0,1.0,1.0,-1283.9801,152.7023,72.846,0.049,0.0
1347.4921,5222.4443,5222444.5,nan,9.69,9.69,132.31,0.0,nan,85.5859,1.011,1.047,0.5052,4.237,nan,nan,0.1952,0.0439,0.0439,17134.0039,2.267,1.011,1.0221,446.397,1.0,1.0,1.0,-1284.1321,152.7105,75.669,0.0439,0.0
1347.6441,5127.5532,5127553.5,nan,9.722,9.722,133.748,0.0,nan,86.3853,0.956,0.984,0.5183,4.252,nan,nan,0.1956,0.04,0.04,16822.6816,2.25,0.956,0.9139,446.462,1.0,1.0,1.0,-1284.2841,152.7187,77.808,0.04,0.0
1347.796,5017.9917,5017992.0,nan,9.735,9.735,136.486,0.0,nan,86.0445,0.928,0.957,0.5109,4.283,nan,nan,0.1959,0.0375,0.0375,16463.2285,2.247,0.928,0.8612,446.561,1.0,1.0,1.0,-1284.436,152.7269,79.179,0.0375,0.0
1347.948,4982.0435,4982043.5,nan,9.741,9.741,137.532,0.0,nan,85.6487,0.912,0.949,0.5204,4.327,nan,nan,0.1963,0.0343,0.0343,16345.2861,2.248,0.912,0.8317,446.582,1.0,1.0,1.0,-1284.5881,152.7351,80.987,0.0343,0.0
1348.1001,4954.3071,4954307.5,nan,9.729,9.729,138.425,0.0,nan,86.9636,0.912,0.961,0.5398,4.383,nan,nan,0.1966,0.0314,0.0314,16254.2891,2.25,0.912,0.8317,446.541,1.0,1.0,1.0,-1284.74,152.7432,82.568,0.0314,0.0
1348.2521,4960.8647,4960865.0,nan,9.678,9.678,138.795,0.0,nan,91.1538,0.936,1.0,0.5321,4.42,nan,nan,0.1964,0.0331,0.0331,16275.8027,2.259,0.936,0.8761,446.609,1.0,1.0,1.0,-1284.8921,152.7515,81.624,0.0331,0.0
1348.4041,5081.5659,5081566.0,nan,9.602,9.602,136.218,0.0,nan,96.4435,0.972,1.052,0.5028,4.43,nan,nan,0.1958,0.0388,0.0388,16671.8047,2.271,0.972,0.9448,446.773,1.0,1.0,1.0,-1285.0441,152.7597,78.466,0.0388,0.0
1348.556,5206.7163,5206716.5,nan,9.539,9.539,133.178,0.0,nan,98.9716,0.994,1.086,0.4878,4.341,nan,nan,0.1953,0.0436,0.0436,17082.4023,2.275,0.994,0.988,446.831,1.0,1.0,1.0,-1285.196,152.7679,75.836,0.0436,0.0
1348.708,5193.0293,5193029.0,nan,9.488,9.488,133.529,0.0,nan,97.1941,0.988,1.087,0.4847,4.161,nan,nan,0.1949,0.0463,0.0463,17037.498,2.275,0.988,0.9761,446.746,1.0,1.0,1.0,-1285.348,152.7761,74.318,0.0463,0.0
1348.8601,5228.6626,5228662.5,nan,9.394,9.394,133.61,0.0,nan,91.9306,0.981,1.082,0.4771,4.127,nan,nan,0.1946,0.0496,0.0496,17154.4043,2.292,0.981,0.9624,446.667,1.0,1.0,1.0,-1285.5,152.7843,72.52,0.0496,0.0
1349.0121,5411.3462,5411346.0,nan,9.252,9.252,132.31,0.0,nan,84.0248,1.007,1.113,0.4787,4.272,nan,nan,0.1943,0.0525,0.0525,17753.7598,2.349,1.007,1.014,446.659,1.0,1.0,1.0,-1285.6521,152.7924,70.859,0.0525,0.0
1349.1641,5544.4717,5544472.0,nan,9.205,9.205,133.641,0.0,nan,74.6992,1.051,1.155,0.4956,4.287,nan,nan,0.1918,0.0487,0.0487,18190.5254,2.431,1.051,1.1046,446.657,1.0,1.0,1.0,-1285.8041,152.8006,71.529,0.0487,0.0
1349.316,5416.0835,5416083.5,nan,9.392,9.392,138.441,0.0,nan,68.1109,1.018,1.097,0.5057,4.027,nan,nan,0.191,0.0421,0.0421,17769.3027,2.46,1.018,1.0363,446.652,1.0,1.0,1.0,-1285.9561,152.8089,74.463,0.0421,0.0
1349.468,5086.2832,5086283.5,nan,9.728,9.728,143.103,0.0,nan,68.2084,0.896,0.94,0.5096,3.872,nan,nan,0.1949,0.0375,0.0375,16687.2812,2.388,0.896,0.8028,446.647,1.0,1.0,1.0,-1286.108,152.817,78.692,0.0375,0.0
1349.62,4761.2988,4761299.0,nan,9.954,9.954,146.725,0.0,nan,74.0791,0.789,0.813,0.5251,3.895,nan,nan,0.1966,0.0307,0.0307,15621.0596,2.292,0.789,0.6225,446.586,1.0,1.0,1.0,-1286.26,152.8252,82.958,0.0307,0.0
1349.7721,4673.4883,4673488.0,nan,9.963,9.963,145.96,0.0,nan,80.4706,0.743,0.761,0.5303,3.942,nan,nan,0.1968,0.0297,0.0297,15332.9668,2.238,0.743,0.552,446.569,1.0,1.0,1.0,-1286.412,152.8335,83.553,0.0297,0.0
