DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BIT,CALI,CALI_1,NPHI,DT,FACIES,FLD1,GR,M2R2,LLS,LLD,DEPTH_1,NPHI_1,PEF,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI_MODELLING,TDVSS,ZCOR,RHOB_1,ZLT
1243.508,5037.7109,5037711.0,nan,0.2159,9.0302,9.3302,0.5138,136.6052,nan,nan,80.7505,1.1422,1.1218,1.1236,1243.5081,0.5138,5.0524,nan,16527.9219,2.2578,1.1236,1.2625,192.5007,nan,-1162.788,0.0514,2.2578,nan
1243.6604,4948.5059,4948506.0,nan,0.2159,9.0603,9.3603,0.5238,138.113,nan,nan,81.4545,1.1034,1.0847,1.0868,1243.6604,0.5238,5.2003,nan,16235.2559,2.2423,1.0868,1.1811,192.7014,nan,-1162.9404,0.0759,2.2423,nan
1243.8128,4832.4341,4832434.0,nan,0.2159,9.0639,9.3639,0.5154,140.5852,nan,nan,80.9927,1.0688,1.0514,1.0538,1243.8129,0.5154,5.477,nan,15854.4414,2.2289,1.0538,1.1105,193.0714,nan,-1163.0928,0.0989,2.2289,nan
1243.9652,4788.6001,4788600.0,nan,0.2159,9.0612,9.3612,0.5074,141.4138,nan,nan,80.6575,1.052,1.0353,1.0382,1243.9652,0.5074,5.8197,nan,15710.6299,2.2217,1.0382,1.0779,193.432,nan,-1163.2452,0.1134,2.2217,nan
1244.1176,4833.3301,4833330.0,nan,0.2159,9.0819,9.3819,0.519,140.5087,nan,nan,80.5701,1.0529,1.0362,1.0399,1244.1177,0.519,5.8543,nan,15857.3818,2.2281,1.0399,1.0814,193.6384,nan,-1163.3976,0.1198,2.2281,nan
1244.27,4879.9429,4879943.0,nan,0.2159,9.1473,9.4473,0.5423,140.5032,nan,nan,80.4206,1.069,1.052,1.0566,1244.27,0.5423,5.4355,nan,16010.3115,2.2495,1.0566,1.1164,193.6718,nan,-1163.55,0.1057,2.2495,nan
1244.4224,4854.1807,4854181.0,nan,0.2159,9.2329,9.5329,0.5536,142.5612,nan,nan,80.8459,1.0896,1.073,1.0785,1244.4224,0.5536,5.0405,nan,15925.79,2.2704,1.0785,1.1632,193.6168,nan,-1163.7024,0.0721,2.2704,nan
1244.5748,4847.1846,4847184.5,nan,0.2159,9.2931,9.5931,0.5428,142.8739,nan,nan,82.4951,1.0931,1.0785,1.0847,1244.5748,0.5428,5.0474,nan,15902.8359,2.2721,1.0847,1.1766,193.5812,nan,-1163.8549,0.0511,2.2721,nan
1244.7272,4810.623,4810623.0,nan,0.2159,9.3168,9.6168,0.5251,142.8256,nan,nan,84.519,1.0724,1.0613,1.0681,1244.7272,0.5251,5.2757,nan,15782.8838,2.2542,1.0681,1.1408,193.6618,nan,-1164.0072,0.062,2.2542,nan
1244.8796,4759.3579,4759358.0,nan,0.2159,9.3216,9.6216,0.5259,142.6349,nan,nan,85.0263,1.0439,1.0366,1.0436,1244.8796,0.5259,5.4818,nan,15614.6914,2.2272,1.0436,1.0891,193.8217,nan,-1164.1597,0.0881,2.2272,nan
1245.032,4787.7124,4787712.5,nan,0.2159,9.3208,9.6208,0.5389,139.9885,nan,nan,83.4878,1.0242,1.0198,1.0272,1245.032,0.5389,5.5976,nan,15707.7178,2.1989,1.0272,1.0551,193.9,nan,-1164.312,0.1097,2.1989,nan
1245.1844,4796.4595,4796459.5,nan,0.2159,9.3204,9.6205,0.5437,138.4178,nan,nan,80.8649,1.0164,1.014,1.0219,1245.1844,0.5437,5.5495,nan,15736.415,2.1782,1.0219,1.0443,193.8628,nan,-1164.4644,0.1199,2.1782,nan
1245.3368,4784.6108,4784611.0,nan,0.2159,9.3218,9.6218,0.5331,138.3656,nan,nan,78.2643,1.0154,1.0139,1.0222,1245.3368,0.5331,5.5229,nan,15697.543,2.172,1.0222,1.0449,193.8108,nan,-1164.6168,0.1204,2.172,nan
1245.4892,4794.6255,4794625.0,nan,0.2159,9.3217,9.6217,0.5124,138.3309,nan,nan,77.0627,1.0167,1.0153,1.0241,1245.4893,0.5124,5.4666,nan,15730.3975,2.176,1.0241,1.0488,193.7925,nan,-1164.7692,0.1165,2.176,nan
1245.6416,4777.2095,4777209.5,nan,0.2159,9.3201,9.6201,0.495,139.1287,nan,nan,78.4048,1.0199,1.0181,1.0274,1245.6416,0.495,5.5489,nan,15673.2598,2.1806,1.0274,1.0556,193.7549,nan,-1164.9216,0.1091,2.1806,nan
1245.794,4740.6602,4740660.0,nan,0.2159,9.3205,9.6205,0.5018,140.4135,nan,nan,80.15,1.0234,1.0213,1.0312,1245.7941,0.5018,5.7097,nan,15553.3467,2.1839,1.0312,1.0634,193.6721,nan,-1165.074,0.0993,2.1839,nan
1245.9464,4720.1704,4720170.5,nan,0.2159,9.3215,9.6215,0.5329,141.3136,nan,nan,81.4094,1.0242,1.022,1.0324,1245.9464,0.5329,5.6626,nan,15486.123,2.1884,1.0324,1.0658,193.566,nan,-1165.2264,0.095,2.1884,nan
1246.0988,4718.9893,4718989.5,nan,0.2159,9.3179,9.6179,0.5551,141.6138,nan,nan,82.4668,1.0219,1.0198,1.0307,1246.0989,0.5551,5.5698,nan,15482.249,2.1925,1.0307,1.0623,193.5006,nan,-1165.3788,0.0921,2.1925,nan
1246.2512,4713.9629,4713963.0,nan,0.2159,9.3146,9.6146,0.5375,141.726,nan,nan,81.9574,1.0164,1.0145,1.0258,1246.2512,0.5375,5.5502,nan,15465.7578,2.1919,1.0258,1.0523,193.4818,nan,-1165.5312,0.0875,2.1919,nan
1246.4036,4694.8115,4694811.5,nan,0.2159,9.318,9.618,0.5158,141.7393,nan,nan,79.413,1.0073,1.0055,1.0173,1246.4036,0.5158,5.557,nan,15402.9248,2.1832,1.0173,1.0349,193.4744,nan,-1165.6836,0.0919,2.1832,nan
1246.556,4693.9531,4693953.0,nan,0.2159,9.3227,9.6227,0.5442,140.7133,nan,nan,77.7477,0.999,0.9973,1.0097,1246.556,0.5442,5.571,nan,15400.1084,2.167,1.0097,1.0195,193.4819,nan,-1165.8361,0.1084,2.167,nan
1246.7084,4694.1328,4694133.0,nan,0.2159,9.3226,9.6226,0.5996,139.5586,nan,nan,78.5446,0.9979,0.9964,1.0094,1246.7084,0.5996,5.6338,nan,15400.6992,2.1493,1.0094,1.0189,193.5123,nan,-1165.9884,0.1233,2.1493,nan
1246.8608,4691.1274,4691127.5,nan,0.2159,9.3235,9.6235,0.5949,138.9333,nan,nan,80.4141,1.0055,1.0047,1.0184,1246.8608,0.5949,5.614,nan,15390.8379,2.1383,1.0184,1.0371,193.5314,nan,-1166.1409,0.1294,2.1383,nan
1247.0132,4689.6294,4689629.0,nan,0.2159,9.3273,9.6273,0.5405,138.8932,nan,nan,81.3987,1.0164,1.0165,1.0309,1247.0132,0.5405,5.6006,nan,15385.9229,2.137,1.0309,1.0628,193.5341,nan,-1166.2932,0.1252,2.137,nan
1247.1656,4638.2334,4638233.5,nan,0.2159,9.3292,9.6292,0.5135,140.7017,nan,nan,80.9842,1.0192,1.0208,1.0355,1247.1656,0.5135,5.5822,nan,15217.3008,2.1411,1.0355,1.0723,193.5536,nan,-1166.4456,0.1145,2.1411,nan
1247.318,4572.6655,4572665.5,nan,0.2159,9.3263,9.6263,0.5396,142.9192,nan,nan,79.5732,1.009,1.0121,1.0267,1247.318,0.5396,5.5586,nan,15002.1836,2.1441,1.0267,1.0541,193.59,nan,-1166.598,0.105,2.1441,nan
1247.4704,4527.2983,4527298.0,nan,0.2159,9.3161,9.6161,0.586,144.4187,nan,nan,78.1568,0.9934,0.9975,1.0116,1247.4705,0.586,5.5327,nan,14853.3398,2.1451,1.0116,1.0233,193.6135,nan,-1166.7504,0.0944,2.1451,nan
1247.6228,4497.4019,4497402.0,nan,0.2159,9.3021,9.6021,0.5859,145.5549,nan,nan,77.5286,0.9819,0.9862,0.9996,1247.6228,0.5859,5.5437,nan,14755.2559,2.1477,0.9996,0.9992,193.6419,nan,-1166.9028,0.0863,2.1477,nan
1247.7752,4526.5527,4526553.0,nan,0.2159,9.2923,9.5923,0.5514,144.8465,nan,nan,77.1282,0.9745,0.9782,0.9904,1247.7753,0.5514,5.6037,nan,14850.8955,2.1511,0.9904,0.9809,193.7129,nan,-1167.0552,0.0908,2.1511,nan
1247.9276,4585.853,4585853.0,nan,0.2159,9.2699,9.5699,0.5394,143.0067,nan,nan,77.0556,0.9667,0.9689,0.9798,1247.9276,0.5394,5.7007,nan,15045.4502,2.1516,0.9798,0.96,193.8263,nan,-1167.2076,0.1016,2.1516,nan
1248.08,4646.4414,4646441.5,nan,0.2159,9.2025,9.5025,0.5382,141.0632,nan,nan,77.5695,0.9606,0.9612,0.9705,1248.08,0.5382,5.9657,nan,15244.2305,2.1504,0.9705,0.9419,193.981,nan,-1167.36,0.1107,2.1504,nan
1248.2324,4763.3555,4763355.5,nan,0.2159,9.1033,9.4033,0.5043,137.5305,nan,nan,77.8901,0.9648,0.9639,0.9714,1248.2324,0.5043,6.4559,nan,15627.8066,2.1493,0.9714,0.9436,194.1641,nan,-1167.5125,0.1137,2.1493,nan
1248.3848,4890.7725,4890772.5,nan,0.2159,9.0067,9.3067,0.4803,133.9537,nan,nan,77.0381,0.979,0.9769,0.9825,1248.3848,0.4803,7.0426,nan,16045.8418,2.1494,0.9825,0.9653,194.3076,nan,-1167.6648,0.1042,2.1494,nan
1248.5372,4879.5693,4879569.5,nan,0.2159,8.9083,9.2083,0.5121,134.0239,nan,nan,75.4164,0.9888,0.9859,0.9893,1248.5372,0.5121,7.3831,nan,16009.0859,2.1456,0.9893,0.9787,194.3449,nan,-1167.8173,0.0966,2.1456,nan
1248.6896,4741.3213,4741321.5,nan,0.2159,8.8049,9.1049,0.564,137.2182,nan,nan,73.8468,0.9862,0.9827,0.9838,1248.6896,0.564,7.1786,nan,15555.5166,2.1345,0.9838,0.9679,194.3155,nan,-1167.9696,0.1155,2.1345,nan
1248.842,4617.1411,4617141.0,nan,0.2159,8.7285,9.0286,0.5736,140.6447,nan,nan,73.2461,0.9833,0.9792,0.9778,1248.842,0.5736,6.6213,nan,15148.1006,2.1305,0.9778,0.9561,194.2948,nan,-1168.1221,0.1357,2.1305,nan
1248.9944,4579.7705,4579770.5,nan,0.2159,8.6964,8.9964,0.5481,142.8439,nan,nan,73.2615,0.9889,0.9838,0.9798,1248.9944,0.5481,6.0033,nan,15025.4932,2.1463,0.9798,0.96,194.2981,nan,-1168.2744,0.1259,2.1463,nan
1249.1468,4616.7163,4616716.0,nan,0.2159,8.6914,8.9914,0.5278,143.0476,nan,nan,73.8243,0.9947,0.988,0.9813,1249.1469,0.5278,5.4106,nan,15146.7061,2.1667,0.9813,0.9629,194.2656,nan,-1168.4268,0.0996,2.1667,nan
1249.2992,4697.8848,4697885.0,nan,0.2159,8.6928,8.9928,0.5168,141.2054,nan,nan,76.1426,0.9962,0.9873,0.9779,1249.2992,0.5168,4.974,nan,15413.0078,2.1764,0.9779,0.9563,194.1763,nan,-1168.5792,0.079,2.1764,nan
1249.4516,4767.0347,4767034.5,nan,0.2159,8.6925,8.9925,0.5169,139.3745,nan,nan,80.3415,1.0036,0.9919,0.9798,1249.4517,0.5169,4.841,nan,15639.877,2.1798,0.9798,0.96,194.0532,nan,-1168.7316,0.0636,2.1798,nan
1249.604,4800.1597,4800159.5,nan,0.2159,8.6976,8.9976,0.5269,138.8064,nan,nan,83.8124,1.0225,1.0073,0.9922,1249.604,0.5269,4.9273,nan,15748.5547,2.186,0.9922,0.9845,193.9329,nan,-1168.884,0.0518,2.186,nan
1249.7564,4843.0459,4843046.0,nan,0.2159,8.7135,9.0135,0.539,138.0744,nan,nan,84.0683,1.0446,1.0251,1.007,1249.7565,0.539,5.0231,nan,15889.2588,2.1939,1.007,1.014,193.8759,nan,-1169.0364,0.0484,2.1939,nan
1249.9088,4888.7876,4888788.0,nan,0.2159,8.7298,9.0298,0.5279,137.2439,nan,nan,82.2082,1.0669,1.0427,1.0215,1249.9088,0.5279,5.1257,nan,16039.3301,2.2013,1.0215,1.0435,193.8913,nan,-1169.1888,0.0551,2.2013,nan
1250.0612,4916.5264,4916526.5,nan,0.2159,8.7399,9.0399,0.5039,137.2259,nan,nan,80.6958,1.1037,1.0736,1.0488,1250.0612,0.5039,5.2782,nan,16130.3359,2.2135,1.0488,1.1,193.8701,nan,-1169.3412,0.0653,2.2135,nan
1250.2136,5028.4033,5028403.5,nan,0.2159,8.7452,9.0452,0.4896,135.6336,nan,nan,79.7614,1.168,1.1299,1.1003,1250.2136,0.4896,5.4829,nan,16497.3867,2.2376,1.1003,1.2107,193.7211,nan,-1169.4937,0.0743,2.2376,nan
1250.366,5243.5444,5243544.5,nan,0.2159,8.7233,9.0233,0.4795,131.8299,nan,nan,79.0027,1.2542,1.2059,1.1702,1250.366,0.4795,5.5904,nan,17203.2305,2.2679,1.1702,1.3694,193.4388,nan,-1169.646,0.0739,2.2679,nan
1250.5184,5405.4404,5405440.0,nan,0.2159,8.6455,8.9455,0.4635,128.8232,nan,nan,79.6234,1.3341,1.2754,1.2337,1250.5184,0.4635,5.5714,nan,17734.3848,2.2846,1.2337,1.522,192.919,nan,-1169.7985,0.0569,2.2846,nan
1250.6708,5420.3506,5420350.5,nan,0.2159,8.5496,8.8496,0.4614,128.1483,nan,nan,80.9199,1.3711,1.306,1.2611,1250.6708,0.4614,5.5267,nan,17783.3027,2.2789,1.2611,1.5904,192.1213,nan,-1169.9508,0.0388,2.2789,nan
1250.8232,5340.9287,5340928.5,nan,0.2159,8.4978,8.7978,0.4793,129.5403,nan,nan,81.1048,1.3644,1.2977,1.253,1250.8232,0.4793,5.5149,nan,17522.7305,2.2699,1.253,1.57,191.3517,nan,-1170.1033,0.0384,2.2699,nan
1250.9756,5275.2456,5275245.5,nan,0.2159,8.4879,8.7879,0.4972,131.4768,nan,nan,79.6585,1.3562,1.2886,1.2449,1250.9756,0.4972,5.5002,nan,17307.2363,2.2755,1.2449,1.5498,190.9697,nan,-1170.2556,0.0411,2.2755,nan
1251.128,5301.0308,5301031.0,nan,0.2159,8.4838,8.7838,0.5105,131.625,nan,nan,77.0295,1.3697,1.2996,1.2566,1251.1281,0.5105,5.4818,nan,17391.834,2.2892,1.2566,1.579,190.9088,nan,-1170.408,0.0366,2.2892,nan
1251.2804,5378.2646,5378264.5,nan,0.2159,8.4796,8.7796,0.5192,129.9785,nan,nan,74.4736,1.3869,1.3145,1.2736,1251.2804,0.5192,5.4888,nan,17645.2246,2.2935,1.2736,1.6221,190.8544,nan,-1170.5604,0.0358,2.2935,nan
1251.4328,5395.353,5395353.0,nan,0.2159,8.4783,8.7783,0.5167,129.3352,nan,nan,73.7161,1.3851,1.3133,1.2766,1251.4329,0.5167,5.4553,nan,17701.2891,2.2894,1.2766,1.6297,190.7251,nan,-1170.7128,0.044,2.2894,nan
1251.5852,5356.644,5356644.0,nan,0.2159,8.475,8.775,0.4996,130.2926,nan,nan,74.7004,1.369,1.3007,1.2694,1251.5852,0.4996,5.317,nan,17574.291,2.2898,1.2694,1.6114,190.7071,nan,-1170.8652,0.0555,2.2898,nan
1251.7376,5324.1836,5324183.5,nan,0.2159,8.4511,8.7511,0.4812,131.4877,nan,nan,75.6238,1.3634,1.2989,1.2731,1251.7377,0.4812,5.1841,nan,17467.7949,2.2968,1.2731,1.6208,190.8534,nan,-1171.0176,0.0632,2.2968,nan
1251.89,5303.7021,5303702.0,nan,0.2159,8.4029,8.7029,0.4812,132.2311,nan,nan,77.122,1.3757,1.3147,1.2939,1251.89,0.4812,5.1381,nan,17400.5977,2.3009,1.2939,1.6742,190.8911,nan,-1171.17,0.0608,2.3009,nan
1252.0424,5291.084,5291084.0,nan,0.2159,8.4012,8.7012,0.4945,132.2296,nan,nan,80.5249,1.3856,1.3289,1.3132,1252.0424,0.4945,5.1412,nan,17359.1992,2.2954,1.3132,1.7245,190.6557,nan,-1171.3224,0.0489,2.2954,nan
1252.1948,5265.4194,5265419.5,nan,0.2159,8.5167,8.8167,0.4875,132.0579,nan,nan,83.769,1.3787,1.3266,1.3161,1252.1948,0.4875,5.2804,nan,17274.998,2.2813,1.3161,1.7321,190.4062,nan,-1171.4749,0.0404,2.2813,nan
1252.3472,5196.3496,5196349.5,nan,0.2159,8.6803,8.9803,0.4764,132.9451,nan,nan,84.8496,1.3593,1.3105,1.3052,1252.3472,0.4764,5.5003,nan,17048.3906,2.2665,1.3052,1.7035,190.3843,nan,-1171.6272,0.0395,2.2665,nan
1252.4996,5088.0103,5088010.5,nan,0.2159,8.7764,9.0764,0.4919,134.8953,nan,nan,85.6383,1.328,1.281,1.2803,1252.4996,0.4919,5.5821,nan,16692.9473,2.2518,1.2803,1.6392,190.5416,nan,-1171.7797,0.0409,2.2518,nan
1252.652,4968.6226,4968622.5,nan,0.2159,8.796,9.096,0.5191,136.5355,nan,nan,87.588,1.2974,1.2503,1.2538,1252.652,0.5191,5.4159,nan,16301.2549,2.2257,1.2538,1.572,190.864,nan,-1171.932,0.0418,2.2257,nan
1252.8044,4847.5005,4847500.5,nan,0.2159,8.7993,9.0993,0.5447,137.6583,nan,nan,89.7404,1.2945,1.2453,1.2533,1252.8044,0.5447,5.1978,nan,15903.873,2.1893,1.2533,1.5708,191.3193,nan,-1172.0845,0.0395,2.1893,nan
1252.9568,4763.5728,4763573.0,nan,0.2159,8.8057,9.1057,0.5665,138.0425,nan,nan,91.3873,1.3124,1.2617,1.2752,1252.9568,0.5665,5.1148,nan,15628.5195,2.1574,1.2752,1.6261,191.6974,nan,-1172.2368,0.0355,2.1574,nan
1253.1092,4716.2163,4716216.5,nan,0.2159,8.8132,9.1131,0.5609,138.1296,nan,nan,94.021,1.2953,1.2503,1.2691,1253.1093,0.5609,5.139,nan,15473.1504,2.1373,1.2691,1.6106,191.9309,nan,-1172.3892,0.0361,2.1373,nan
1253.2616,4645.1431,4645143.0,nan,0.2159,8.809,9.109,0.5404,139.705,nan,nan,97.5755,1.1934,1.1665,1.1872,1253.2616,0.5404,5.2504,nan,15239.9707,2.1291,1.1872,1.4094,192.2588,nan,-1172.5416,0.0438,2.1291,nan
1253.414,4549.8066,4549806.5,nan,0.2159,8.7941,9.0941,0.5267,143.1683,nan,nan,99.3955,1.0158,1.0079,1.0243,1253.4141,0.5267,5.4717,nan,14927.1865,2.1371,1.0243,1.0492,192.8879,nan,-1172.694,0.0567,2.1371,nan
1253.5664,4500.5566,4500556.5,nan,0.2159,8.7819,9.0819,0.5108,146.3807,nan,nan,98.852,0.7964,0.7994,0.8121,1253.5664,0.5108,5.8039,nan,14765.6064,2.1614,0.8121,0.6595,193.7984,nan,-1172.8464,0.0725,2.1614,nan
1253.7188,4554.813,4554812.5,nan,0.2159,8.7794,9.0794,0.4957,146.9056,nan,nan,97.8838,0.5846,0.5908,0.5996,1253.7189,0.4957,6.1608,nan,14943.6113,2.1953,0.5996,0.3595,194.8899,nan,-1172.9988,0.0785,2.1953,nan
1253.8712,4654.293,4654293.0,nan,0.2159,8.7856,9.0856,0.4992,145.9726,nan,nan,96.62,0.4561,0.4634,0.4696,1253.8712,0.4992,6.2998,nan,15269.9902,2.229,0.4696,0.2205,196.0632,nan,-1173.1512,0.0736,2.229,nan
1254.0236,4729.0303,4729030.0,nan,0.2159,8.8273,9.1273,0.5312,144.4004,nan,nan,93.4767,0.4345,0.4414,0.4457,1254.0236,0.5312,6.0697,nan,15515.1904,2.2404,0.4457,0.1986,197.0741,nan,-1173.3036,0.075,2.2404,nan
1254.176,4726.4219,4726422.0,nan,0.2159,8.908,9.208,0.5741,143.4096,nan,nan,88.2541,0.5219,0.5263,0.5282,1254.176,0.5741,5.6399,nan,15506.6328,2.2238,0.5282,0.279,197.4837,nan,-1173.4561,0.0847,2.2238,nan
1254.3284,4623.7622,4623762.0,nan,0.2159,8.9631,9.2631,0.5743,144.7413,nan,nan,83.3932,0.715,0.7144,0.712,1254.3284,0.5743,5.1962,nan,15169.8232,2.1957,0.712,0.5069,197.1028,nan,-1173.6084,0.0943,2.1957,nan
1254.4808,4505.2593,4505259.0,nan,0.2159,8.9363,9.2363,0.5358,146.2144,nan,nan,80.8718,0.8802,0.8644,0.8507,1254.4808,0.5358,4.7544,nan,14781.0342,2.1612,0.8507,0.7237,196.2879,nan,-1173.7609,0.091,2.1612,nan
