DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,AZI1,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1186.586,4566.0859,4566086.0,nan,-639.25,14.0094,14.0094,-639.25,1.5185,147.6597,0.0,nan,44.6015,1.4109,1.4131,1186.5861,0.6214,-622.5118,nan,nan,0.0271,0.0271,14980.5967,2.212,1.4121,1.4121,1.9941,1.0,1.0,1.0,-1105.276,83.721,0.0271,nan
1186.7384,4551.958,4551958.0,nan,-639.25,13.9665,13.9665,-639.25,1.5174,148.1662,0.0,nan,45.5546,1.4224,1.4238,1186.7384,0.615,-622.5976,nan,nan,0.0286,0.0286,14934.2461,2.2127,1.4231,1.4231,2.0251,1.0,1.0,1.0,-1105.4285,82.848,0.0286,nan
1186.8908,4537.9336,4537933.5,nan,-639.25,13.9839,13.9839,-639.25,1.5126,148.8128,0.0,nan,47.0796,1.4286,1.4316,1186.8909,0.6175,-622.6834,nan,nan,0.0274,0.0274,14888.2334,2.2156,1.4287,1.4287,2.0413,1.0,1.0,1.0,-1105.5808,83.554,0.0274,nan
1187.0432,4540.0464,4540046.5,nan,-639.25,14.0038,14.0038,-639.25,1.5287,148.9423,0.0,nan,48.8024,1.43,1.4354,1187.0432,0.6318,-622.7693,nan,nan,0.023,0.023,14895.166,2.2185,1.4299,1.4299,2.0447,1.0,1.0,1.0,-1105.7333,86.195,0.023,nan
1187.1956,4568.3862,4568386.0,nan,-639.25,13.9784,13.9784,-639.25,1.5439,148.2819,0.0,nan,49.8583,1.4296,1.4365,1187.1957,0.6542,-622.8551,nan,nan,0.0172,0.0172,14988.1436,2.2225,1.4295,1.4295,2.0434,1.0,1.0,1.0,-1105.8856,90.011,0.0172,nan
1187.348,4607.6841,4607684.0,nan,-639.25,13.91,13.91,-639.25,1.5528,147.2044,0.0,nan,48.8832,1.4288,1.4359,1187.348,0.6765,-622.9409,nan,nan,0.015,0.015,15117.0732,2.2253,1.4286,1.4286,2.0409,1.0,1.0,1.0,-1106.0381,93.577,0.015,nan
1187.5004,4628.8994,4628899.5,nan,-639.25,13.8184,13.8184,-639.25,1.544,146.3869,0.0,nan,47.1405,1.4271,1.4354,1187.5005,0.6887,-623.0268,nan,nan,0.015,0.015,15186.6777,2.2231,1.4274,1.4274,2.0374,1.0,1.0,1.0,-1106.1904,95.272,0.015,nan
1187.6528,4621.9487,4621949.0,nan,-639.25,13.7237,13.7237,-639.25,1.5395,146.1645,0.0,nan,45.8926,1.4297,1.4397,1187.6528,0.6851,-623.1126,nan,nan,0.015,0.015,15163.874,2.2164,1.4304,1.4304,2.0462,1.0,1.0,1.0,-1106.3428,94.388,0.015,nan
1187.8052,4598.6152,4598615.5,nan,-639.25,13.652,13.652,-639.25,1.5643,146.5774,0.0,nan,45.0839,1.436,1.4477,1187.8052,0.6712,-623.1984,nan,nan,0.015,0.015,15087.3203,2.2115,1.4355,1.4355,2.0607,1.0,1.0,1.0,-1106.4952,92.099,0.015,nan
1187.9576,4566.3652,4566365.0,nan,-639.25,13.6359,13.6359,-639.25,1.5988,147.3075,0.0,nan,45.2574,1.4299,1.4448,1187.9576,0.6632,-623.2843,nan,nan,0.0153,0.0153,14981.5137,2.2069,1.4271,1.4271,2.0366,1.0,1.0,1.0,-1106.6476,91.006,0.0153,nan
1188.11,4538.4268,4538426.5,nan,-639.25,13.6582,13.6582,-639.25,1.5835,147.7208,0.0,nan,46.2292,1.4029,1.4196,1188.11,0.6706,-623.3701,nan,nan,0.015,0.015,14889.8506,2.1995,1.3986,1.3986,1.9561,1.0,1.0,1.0,-1106.8,92.329,0.015,nan
1188.2624,4530.2588,4530258.5,nan,-639.25,13.6391,13.6391,-639.25,1.5189,147.6937,0.0,nan,46.6502,1.3636,1.379,1188.2625,0.6843,-623.4559,nan,nan,0.015,0.015,14863.0537,2.1952,1.3602,1.3602,1.8502,1.0,1.0,1.0,-1106.9524,94.441,0.015,nan
1188.4148,4525.0952,4525095.0,nan,-639.25,13.5256,13.5256,-639.25,1.4672,147.9828,0.0,nan,46.2363,1.3333,1.3449,1188.4148,0.6905,-623.5417,nan,nan,0.015,0.015,14846.1123,2.197,1.3316,1.3316,1.7731,1.0,1.0,1.0,-1107.1049,95.198,0.015,nan
1188.5672,4502.501,4502501.0,nan,-639.25,13.3798,13.3798,-639.25,1.4515,149.2007,0.0,nan,45.7385,1.3183,1.3264,1188.5673,0.6838,-623.6276,nan,nan,0.015,0.015,14771.9844,2.204,1.3178,1.3178,1.7367,1.0,1.0,1.0,-1107.2572,93.912,0.015,nan
1188.7196,4477.5884,4477588.5,nan,-639.25,13.3149,13.3149,-639.25,1.4533,150.8837,0.0,nan,45.2246,1.3143,1.3198,1188.7196,0.6686,-623.7134,nan,nan,0.0155,0.0155,14690.251,2.2165,1.3148,1.3148,1.7286,1.0,1.0,1.0,-1107.4097,91.358,0.0155,nan
1188.872,4468.7368,4468737.0,nan,-639.25,13.358,13.358,-639.25,1.45,152.0516,0.0,nan,45.186,1.3191,1.323,1188.8721,0.6514,-623.7993,nan,nan,0.019,0.019,14661.2109,2.2293,1.3198,1.3198,1.7418,1.0,1.0,1.0,-1107.562,88.618,0.019,nan
1189.0244,4474.1919,4474192.0,nan,-639.25,13.3946,13.3946,-639.25,1.4682,152.2967,0.0,nan,45.7352,1.3256,1.3307,1189.0244,0.638,-623.8851,nan,nan,0.0225,0.0225,14679.1074,2.2356,1.3263,1.3263,1.7592,1.0,1.0,1.0,-1107.7145,86.531,0.0225,nan
1189.1768,4484.3755,4484375.5,nan,-639.25,13.351,13.351,-639.25,1.4803,152.0358,0.0,nan,46.0296,1.3322,1.3407,1189.1769,0.6313,-623.9709,nan,nan,0.024,0.024,14712.5176,2.2368,1.3333,1.3333,1.7777,1.0,1.0,1.0,-1107.8668,85.576,0.024,nan
1189.3292,4487.7173,4487717.5,nan,-639.25,13.2952,13.2952,-639.25,1.4926,151.8221,0.0,nan,46.8051,1.343,1.3552,1189.3292,0.633,-624.0568,nan,nan,0.0233,0.0233,14723.4814,2.2354,1.3447,1.3447,1.8083,1.0,1.0,1.0,-1108.0193,86.044,0.0233,nan
1189.4816,4478.7979,4478798.0,nan,-639.25,13.2814,13.2814,-639.25,1.5032,151.8182,0.0,nan,48.1166,1.3593,1.3751,1189.4817,0.6424,-624.1426,nan,nan,0.0205,0.0205,14694.2188,2.2308,1.3614,1.3614,1.8534,1.0,1.0,1.0,-1108.1716,87.693,0.0205,nan
1189.634,4470.5581,4470558.5,nan,-639.25,13.2886,13.2886,-639.25,1.534,151.8028,0.0,nan,48.5177,1.3783,1.3954,1189.634,0.6532,-624.2285,nan,nan,0.0177,0.0177,14667.1855,2.2265,1.3801,1.3801,1.9048,1.0,1.0,1.0,-1108.324,89.404,0.0177,nan
1189.7864,4470.4858,4470485.5,nan,-639.25,13.3082,13.3082,-639.25,1.5333,151.7125,0.0,nan,48.4461,1.3949,1.4108,1189.7864,0.6579,-624.3143,nan,nan,0.0163,0.0163,14666.9473,2.2252,1.3964,1.3964,1.9498,1.0,1.0,1.0,-1108.4764,90.195,0.0163,nan
1189.9388,4473.5674,4473567.5,nan,-639.25,13.3624,13.3624,-639.25,1.5316,151.6884,0.0,nan,48.1549,1.408,1.4203,1189.9388,0.6619,-624.4001,nan,nan,0.0154,0.0154,14677.0586,2.2263,1.409,1.409,1.9854,1.0,1.0,1.0,-1108.6288,91.029,0.0154,nan
1190.0912,4480.3042,4480304.0,nan,-639.25,13.4211,13.4211,-639.25,1.5347,151.642,0.0,nan,47.2402,1.4178,1.4252,1190.0912,0.6732,-624.486,nan,nan,0.015,0.015,14699.1611,2.229,1.4184,1.4184,2.0117,1.0,1.0,1.0,-1108.7812,92.91,0.015,nan
1190.2436,4496.2603,4496260.0,nan,-639.25,13.4406,13.4406,-639.25,1.5551,151.5133,0.0,nan,46.2328,1.4228,1.4259,1190.2437,0.6828,-624.5718,nan,nan,0.015,0.015,14751.5098,2.235,1.4228,1.4228,2.0244,1.0,1.0,1.0,-1108.9336,94.336,0.015,nan
1190.396,4528.2158,4528215.5,nan,-639.25,13.4352,13.4352,-639.25,1.5861,151.3575,0.0,nan,46.0729,1.423,1.4246,1190.396,0.6808,-624.6577,nan,nan,0.015,0.015,14856.3506,2.2486,1.423,1.423,2.025,1.0,1.0,1.0,-1109.0861,93.957,0.015,nan
1190.5484,4574.1196,4574119.5,nan,-639.25,13.438,13.438,-639.25,1.5804,150.6662,0.0,nan,46.3085,1.4237,1.428,1190.5485,0.6736,-624.7435,nan,nan,0.015,0.015,15006.9541,2.261,1.4246,1.4246,2.0293,1.0,1.0,1.0,-1109.2384,93.02,0.015,nan
1190.7008,4647.3154,4647315.5,nan,-639.25,13.4663,13.4663,-639.25,1.5951,148.3115,0.0,nan,45.4324,1.4324,1.442,1190.7008,0.6782,-624.8293,nan,nan,0.015,0.015,15247.0977,2.2613,1.4343,1.4343,2.0571,1.0,1.0,1.0,-1109.3909,94.127,0.015,nan
1190.8532,4740.6606,4740661.0,nan,-639.25,13.4892,13.4892,-639.25,1.6252,144.8164,0.0,nan,44.8471,1.449,1.4621,1190.8533,0.7019,-624.9151,nan,nan,0.015,0.015,15553.3496,2.2524,1.4502,1.4502,2.103,1.0,1.0,1.0,-1109.5432,97.756,0.015,nan
1191.0056,4816.4561,4816456.0,nan,-639.25,13.4573,13.4573,-639.25,1.6524,141.7091,0.0,nan,45.2598,1.4587,1.4706,1191.0056,0.7405,-625.001,nan,nan,0.015,0.015,15802.0205,2.2393,1.4575,1.4575,2.1242,1.0,1.0,1.0,-1109.6957,99.994,0.015,nan
1191.158,4845.8394,4845839.5,nan,-639.25,13.4262,13.4262,-639.25,1.6452,139.9472,0.0,nan,44.9281,1.4466,1.4572,1191.1581,0.777,-625.0868,nan,nan,0.015,0.015,15898.4229,2.2249,1.444,1.444,2.0851,1.0,1.0,1.0,-1109.848,99.994,0.015,nan
1191.3104,4810.4111,4810411.5,nan,-639.25,13.5077,13.5077,-639.25,1.6112,140.5293,0.0,nan,44.2189,1.4222,1.434,1191.3104,0.7911,-625.1726,nan,nan,0.015,0.015,15782.1895,2.2179,1.4197,1.4197,2.0156,1.0,1.0,1.0,-1110.0005,99.994,0.015,nan
1191.4628,4778.6104,4778610.5,nan,-639.25,13.6651,13.6651,-639.25,1.5664,142.3894,0.0,nan,43.4298,1.4006,1.4143,1191.4629,0.7705,-625.2585,nan,nan,0.015,0.015,15677.8564,2.2324,1.4002,1.4002,1.9606,1.0,1.0,1.0,-1110.1528,99.994,0.015,nan
1191.6152,4823.874,4823874.0,nan,-639.25,13.7919,13.7919,-639.25,1.5174,142.6898,0.0,nan,41.6613,1.3996,1.4144,1191.6152,0.723,-625.3443,nan,nan,0.015,0.015,15826.3584,2.2583,1.4042,1.4042,1.9718,1.0,1.0,1.0,-1110.3052,98.829,0.015,nan
1191.7676,4914.3677,4914367.5,nan,-639.25,13.8219,13.8219,-639.25,1.5042,141.103,0.0,nan,39.733,1.4443,1.4545,1191.7676,0.6711,-625.4301,nan,nan,0.0164,0.0164,16123.2539,2.275,1.4526,1.4526,2.1101,1.0,1.0,1.0,-1110.4576,91.713,0.0164,nan
1191.92,4992.2432,4992243.0,nan,-639.25,13.7989,13.7989,-639.25,1.5859,139.2286,0.0,nan,38.5321,1.5191,1.5168,1191.92,0.6301,-625.516,nan,nan,0.0247,0.0247,16378.75,2.2804,1.5237,1.5237,2.3215,1.0,1.0,1.0,-1110.61,85.188,0.0247,nan
1192.0724,5005.269,5005269.0,nan,-639.25,13.7753,13.7753,-639.25,1.7112,138.2719,0.0,nan,37.4255,1.5563,1.541,1192.0724,0.6059,-625.6018,nan,nan,0.0312,0.0312,16421.4863,2.2706,1.5514,1.5514,2.4069,1.0,1.0,1.0,-1110.7625,81.282,0.0312,nan
1192.2248,4905.5044,4905504.5,nan,-639.25,13.7113,13.7113,-639.25,1.7263,139.8823,0.0,nan,36.9956,1.5083,1.4882,1192.2249,0.5947,-625.6876,nan,nan,0.0344,0.0344,16094.1748,2.2513,1.4979,1.4979,2.2436,1.0,1.0,1.0,-1110.9148,79.363,0.0344,nan
1192.3772,4689.3804,4689380.0,nan,-639.25,13.5887,13.5887,-639.25,1.5942,145.1436,0.0,nan,37.2872,1.4131,1.3966,1192.3772,0.5914,-625.7735,nan,nan,0.0355,0.0355,15385.1055,2.2331,1.4051,1.4051,1.9742,1.0,1.0,1.0,-1111.0673,78.676,0.0355,nan
1192.5296,4443.6035,4443603.5,nan,-639.25,13.4965,13.4965,-639.25,1.4418,152.1502,0.0,nan,37.7961,1.3408,1.3291,1192.5297,0.5925,-625.8593,nan,nan,0.0354,0.0354,14578.752,2.2182,1.3372,1.3372,1.7881,1.0,1.0,1.0,-1111.2196,78.769,0.0354,nan
1192.682,4295.6841,4295684.0,nan,-639.25,13.5397,13.5397,-639.25,1.3892,157.1198,0.0,nan,39.0434,1.3082,1.2987,1192.682,0.5977,-625.9451,nan,nan,0.0338,0.0338,14093.4512,2.2144,1.3068,1.3068,1.7077,1.0,1.0,1.0,-1111.3721,79.746,0.0338,nan
1192.8344,4269.104,4269104.0,nan,-639.25,13.6821,13.6821,-639.25,1.3867,158.4122,0.0,nan,40.3982,1.2953,1.2867,1192.8345,0.6093,-626.031,nan,nan,0.0302,0.0302,14006.2471,2.2188,1.2942,1.2942,1.675,1.0,1.0,1.0,-1111.5244,81.85,0.0302,nan
1192.9868,4288.5532,4288553.5,nan,-639.25,13.8045,13.8045,-639.25,1.3867,157.634,0.0,nan,41.8754,1.2845,1.2738,1192.9868,0.6269,-626.1168,nan,nan,0.0251,0.0251,14070.0566,2.2179,1.2827,1.2827,1.6453,1.0,1.0,1.0,-1111.6769,84.943,0.0251,nan
1193.1392,4296.9438,4296944.0,nan,-639.25,13.8384,13.8384,-639.25,1.3839,157.2461,0.0,nan,43.6653,1.2671,1.254,1193.1393,0.6495,-626.2026,nan,nan,0.0189,0.0189,14097.585,2.2168,1.2649,1.2649,1.5999,1.0,1.0,1.0,-1111.8292,88.725,0.0189,nan
1193.2916,4286.3408,4286340.5,nan,-639.25,13.92,13.92,-639.25,1.3525,158.0034,0.0,nan,44.457,1.2471,1.2326,1193.2916,0.6686,-626.2885,nan,nan,0.015,0.015,14062.7979,2.222,1.2454,1.2454,1.5511,1.0,1.0,1.0,-1111.9817,91.677,0.015,nan
1193.444,4274.2148,4274214.5,nan,-639.25,14.2088,14.2088,-639.25,1.3467,158.6713,0.0,nan,43.9436,1.2326,1.2178,1193.4441,0.6722,-626.3743,nan,nan,0.0152,0.0152,14023.0137,2.225,1.2323,1.2323,1.5185,1.0,1.0,1.0,-1112.134,91.955,0.0152,nan
1193.5964,4303.0527,4303052.5,nan,-639.25,14.5046,14.5046,-639.25,1.3339,157.8544,0.0,nan,42.971,1.2314,1.2198,1193.5964,0.6586,-626.4601,nan,nan,0.0175,0.0175,14117.627,2.2285,1.2341,1.2341,1.523,1.0,1.0,1.0,-1112.2864,89.497,0.0175,nan
1193.7488,4400.0278,4400027.5,nan,-639.25,14.5124,14.5124,-639.25,1.3395,155.5412,0.0,nan,42.2771,1.2573,1.2513,1193.7488,0.6358,-626.546,nan,nan,0.0237,0.0237,14435.7861,2.2454,1.2627,1.2627,1.5943,1.0,1.0,1.0,-1112.4388,85.783,0.0237,nan
1193.9012,4524.9189,4524919.0,nan,-639.25,14.318,14.318,-639.25,1.3968,152.3448,0.0,nan,42.6357,1.3075,1.3067,1193.9012,0.6128,-626.6318,nan,nan,0.0298,0.0298,14845.5352,2.2616,1.3133,1.3133,1.7248,1.0,1.0,1.0,-1112.5912,82.117,0.0298,nan
1194.0536,4610.3672,4610367.0,nan,-639.25,14.175,14.175,-639.25,1.4869,149.1609,0.0,nan,43.8212,1.3603,1.363,1194.0536,0.5928,-626.7177,nan,nan,0.0351,0.0351,15125.876,2.2562,1.3637,1.3637,1.8597,1.0,1.0,1.0,-1112.7437,78.925,0.0351,nan
1194.206,4638.04,4638040.0,nan,-639.25,14.1756,14.1756,-639.25,1.5866,147.0835,0.0,nan,44.807,1.3896,1.3927,1194.2061,0.5793,-626.8035,nan,nan,0.0385,0.0385,15216.667,2.2381,1.389,1.389,1.9293,1.0,1.0,1.0,-1112.896,76.881,0.0385,nan
1194.3584,4633.5186,4633518.5,nan,-639.25,14.2632,14.2632,-639.25,1.5867,146.4501,0.0,nan,45.6877,1.3831,1.3849,1194.3584,0.5806,-626.8893,nan,nan,0.0377,0.0377,15201.833,2.2263,1.3809,1.3809,1.9068,1.0,1.0,1.0,-1113.0485,77.402,0.0377,nan
1194.5108,4614.8511,4614851.0,nan,-639.25,14.3473,14.3473,-639.25,1.5336,146.9659,0.0,nan,46.7913,1.3625,1.3635,1194.5109,0.6007,-626.9752,nan,nan,0.0316,0.0316,15140.5879,2.2251,1.361,1.361,1.8523,1.0,1.0,1.0,-1113.2008,81.048,0.0316,nan
1194.6632,4596.8311,4596831.0,nan,-639.25,14.3538,14.3538,-639.25,1.4835,147.9591,0.0,nan,47.2321,1.3492,1.3483,1194.6632,0.6335,-627.061,nan,nan,0.0224,0.0224,15081.4668,2.2314,1.3492,1.3492,1.8203,1.0,1.0,1.0,-1113.3533,86.535,0.0224,nan
1194.8156,4578.4829,4578483.0,nan,-639.25,14.3012,14.3012,-639.25,1.4677,148.9242,0.0,nan,46.8803,1.3495,1.3471,1194.8157,0.6616,-627.1469,nan,nan,0.0154,0.0154,15021.2695,2.237,1.3504,1.3504,1.8236,1.0,1.0,1.0,-1113.5056,90.902,0.0154,nan
1194.968,4549.1729,4549173.0,nan,-639.25,14.2638,14.2638,-639.25,1.4803,149.5306,0.0,nan,46.6013,1.3579,1.3549,1194.968,0.6682,-627.2327,nan,nan,0.0156,0.0156,14925.1084,2.2318,1.3585,1.3585,1.8456,1.0,1.0,1.0,-1113.6581,91.476,0.0156,nan
1195.1204,4520.0981,4520098.0,nan,-639.25,14.2489,14.2489,-639.25,1.4827,149.7223,0.0,nan,45.5666,1.3632,1.3594,1195.1205,0.6484,-627.3185,nan,nan,0.0203,0.0203,14829.7178,2.2203,1.3629,1.3629,1.8575,1.0,1.0,1.0,-1113.8104,87.793,0.0203,nan
1195.2728,4497.001,4497001.0,nan,-639.25,14.2294,14.2294,-639.25,1.4869,149.9335,0.0,nan,43.4891,1.3603,1.3554,1195.2728,0.6149,-627.4044,nan,nan,0.0299,0.0299,14753.9395,2.2121,1.3593,1.3593,1.8478,1.0,1.0,1.0,-1113.9629,82.078,0.0299,nan
1195.4252,4469.9082,4469908.5,nan,-639.25,14.2035,14.2035,-639.25,1.4721,150.4945,0.0,nan,43.0048,1.3511,1.3456,1195.4253,0.5842,-627.4902,nan,nan,0.0382,0.0382,14665.0537,2.207,1.3495,1.3495,1.8212,1.0,1.0,1.0,-1114.1152,77.054,0.0382,nan
1195.5776,4443.1768,4443177.0,nan,-639.25,14.1539,14.1539,-639.25,1.4649,151.1674,0.0,nan,43.9649,1.3363,1.3324,1195.5776,0.5638,-627.576,nan,nan,0.0438,0.0438,14577.3516,2.2036,1.3342,1.3342,1.7802,1.0,1.0,1.0,-1114.2676,73.735,0.0438,nan
1195.73,4424.5859,4424586.0,nan,-639.25,14.0943,14.0943,-639.25,1.4435,151.5635,0.0,nan,44.1718,1.3176,1.3178,1195.73,0.5511,-627.6618,nan,nan,0.0473,0.0473,14516.3584,2.2002,1.3156,1.3156,1.7308,1.0,1.0,1.0,-1114.42,71.62,0.0473,nan
1195.8824,4409.8872,4409887.5,nan,-639.25,14.0903,14.0903,-639.25,1.4219,151.6215,0.0,nan,44.1787,1.2995,1.3045,1195.8824,0.5421,-627.7477,nan,nan,0.0499,0.0499,14468.1338,2.1937,1.2983,1.2983,1.6857,1.0,1.0,1.0,-1114.5724,70.082,0.0499,nan
1196.0348,4399.6973,4399697.0,nan,-639.25,14.1264,14.1264,-639.25,1.3953,151.4572,0.0,nan,44.5264,1.2896,1.2982,1196.0348,0.5352,-627.8335,nan,nan,0.0518,0.0518,14434.7021,2.1862,1.2901,1.2901,1.6643,1.0,1.0,1.0,-1114.7249,68.921,0.0518,nan
1196.1872,4402.5581,4402558.0,nan,-639.25,14.1383,14.1383,-639.25,1.3778,151.1476,0.0,nan,44.1269,1.2956,1.3052,1196.1873,0.5311,-627.9193,nan,nan,0.0529,0.0529,14444.0879,2.1832,1.2987,1.2987,1.6865,1.0,1.0,1.0,-1114.8772,68.279,0.0529,nan
1196.3396,4404.7598,4404760.0,nan,-639.25,14.1223,14.1223,-639.25,1.3898,150.6597,0.0,nan,42.7946,1.3253,1.3333,1196.3396,0.5308,-628.0052,nan,nan,0.0529,0.0529,14451.3125,2.1772,1.3316,1.3316,1.7732,1.0,1.0,1.0,-1115.0297,68.293,0.0529,nan
1196.492,4408.1963,4408196.5,nan,-639.25,14.1001,14.1001,-639.25,1.4193,149.8625,0.0,nan,41.839,1.3863,1.391,1196.4921,0.535,-628.091,nan,nan,0.0515,0.0515,14462.5869,2.1674,1.397,1.397,1.9516,1.0,1.0,1.0,-1115.182,69.084,0.0515,nan
1196.6444,4439.9346,4439934.5,nan,-639.25,14.0789,14.0789,-639.25,1.4997,148.6958,0.0,nan,42.0103,1.4856,1.4824,1196.6444,0.5431,-628.1768,nan,nan,0.0488,0.0488,14566.7139,2.166,1.4973,1.4973,2.2419,1.0,1.0,1.0,-1115.3345,70.722,0.0488,nan
1196.7968,4497.3481,4497348.5,nan,-639.25,14.0949,14.0949,-639.25,1.6681,147.2035,0.0,nan,42.915,1.5901,1.576,1196.7969,0.5594,-628.2627,nan,nan,0.0435,0.0435,14755.0801,2.172,1.594,1.594,2.5407,1.0,1.0,1.0,-1115.4868,73.885,0.0435,nan
1196.9492,4563.7773,4563777.0,nan,-639.25,14.1493,14.1493,-639.25,1.8213,145.8122,0.0,nan,45.0414,1.6203,1.6047,1196.9492,0.5879,-628.3485,nan,nan,0.0349,0.0349,14973.0225,2.1832,1.6139,1.6139,2.6047,1.0,1.0,1.0,-1115.6393,79.033,0.0349,nan
1197.1016,4620.4028,4620403.0,nan,-639.25,14.1664,14.1664,-639.25,1.8084,145.1665,0.0,nan,48.229,1.5589,1.5548,1197.1017,0.6266,-628.4343,nan,nan,0.024,0.024,15158.8018,2.2006,1.5489,1.5489,2.399,1.0,1.0,1.0,-1115.7916,85.757,0.024,nan
1197.254,4656.5771,4656577.0,nan,-639.25,14.1447,14.1447,-639.25,1.6284,145.2707,0.0,nan,51.093,1.4672,1.4752,1197.254,0.6697,-628.5202,nan,nan,0.015,0.015,15277.4834,2.2194,1.4602,1.4602,2.1322,1.0,1.0,1.0,-1115.9441,93.05,0.015,nan
1197.4064,4673.5732,4673573.5,nan,-639.25,14.1118,14.1118,-639.25,1.5221,145.6215,0.0,nan,52.7134,1.4048,1.4172,1197.4065,0.7097,-628.606,nan,nan,0.015,0.015,15333.2451,2.2329,1.4018,1.4018,1.965,1.0,1.0,1.0,-1116.0964,98.993,0.015,nan
1197.5588,4682.1558,4682156.0,nan,-639.25,14.0633,14.0633,-639.25,1.4931,145.6201,0.0,nan,53.3333,1.3772,1.3885,1197.5588,0.7397,-628.6918,nan,nan,0.015,0.015,15361.4043,2.2369,1.3753,1.3753,1.8916,1.0,1.0,1.0,-1116.2488,99.994,0.015,nan
1197.7112,4695.4165,4695416.5,nan,-639.25,14.0173,14.0173,-639.25,1.4847,144.9992,0.0,nan,53.9532,1.3607,1.3711,1197.7112,0.7562,-628.7777,nan,nan,0.015,0.015,15404.9102,2.2337,1.3597,1.3597,1.8488,1.0,1.0,1.0,-1116.4012,99.994,0.015,nan
