DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,DEPTH_1,NPHI,ONE-WAYTIME1,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,SP,SUWI_MODELLING,TDVSS,ZLT
1277.0364,13190.4336,13190434.0,nan,9.9569,9.9569,50.0558,nan,nan,48.3665,0.6543,0.6665,1277.0364,0.5156,-576.1964,nan,43275.7031,2.1662,0.6543,7.9581,nan,-1194.2264,nan
1277.1888,13386.2207,13386221.0,nan,9.9196,9.9196,49.4216,nan,nan,46.8647,0.6687,0.6861,1277.1888,0.507,-576.2699,nan,43918.0469,2.1705,0.6687,7.9555,nan,-1194.3788,nan
1277.3412,13786.3984,13786399.0,nan,9.866,9.866,47.9804,nan,nan,45.7345,0.6806,0.7056,1277.3412,0.4913,-576.3434,nan,45230.9648,2.1702,0.6806,7.9561,nan,-1194.5311,nan
1277.4936,14247.165,14247165.0,nan,9.7958,9.7958,46.3324,nan,nan,45.5512,0.6926,0.7257,1277.4935,0.4696,-576.417,nan,46742.668,2.1657,0.6926,7.9577,nan,-1194.6836,nan
1277.646,14571.5547,14571554.0,nan,9.731,9.731,45.1378,nan,nan,45.9222,0.7049,0.7464,1277.646,0.457,-576.4905,nan,47806.9375,2.1579,0.7049,7.8925,nan,-1194.8359,nan
1277.7984,14511.1416,14511141.0,nan,9.7035,9.7035,45.2291,nan,nan,46.4844,0.7174,0.7676,1277.7983,0.4654,-576.564,nan,47608.7305,2.1533,0.7174,7.865,nan,-1194.9884,nan
1277.9508,14385.0879,14385088.0,nan,9.75,9.75,45.6106,nan,nan,49.6481,0.73,0.7793,1277.9508,0.4952,-576.6376,nan,47195.1719,2.1526,0.73,7.7295,nan,-1195.1407,nan
1278.1032,13976.6807,13976680.0,nan,9.8439,9.8439,46.9281,nan,nan,49.1879,0.7376,0.7729,1278.1031,0.5318,-576.7111,nan,45855.25,2.1519,0.7376,7.6251,nan,-1195.2932,nan
1278.2556,13609.7715,13609771.0,nan,9.9351,9.9351,48.1395,nan,nan,48.8164,0.7343,0.7687,1278.2556,0.5676,-576.7847,nan,44651.4805,2.1495,0.7343,7.5541,nan,-1195.4456,nan
1278.408,13333.3799,13333380.0,nan,10.0114,10.0114,49.0391,nan,nan,48.3772,0.7312,0.7541,1278.408,0.5885,-576.8582,nan,43744.6836,2.1452,0.7312,7.5555,nan,-1195.598,nan
1278.5604,13083.5723,13083572.0,nan,10.054,10.054,49.8403,nan,nan,47.8016,0.7282,0.7409,1278.5604,0.583,-576.9317,nan,42925.1055,2.1394,0.7282,7.6004,nan,-1195.7504,nan
1278.7128,12910.6699,12910670.0,nan,10.0498,10.0498,50.4275,nan,nan,46.7798,0.7251,0.728,1278.7128,0.5517,-577.0052,nan,42357.8398,2.136,0.7251,7.7542,nan,-1195.9028,nan
1278.8652,12854.6895,12854689.0,nan,9.974,9.974,50.7135,nan,nan,45.8406,0.7221,0.7153,1278.8652,0.5155,-577.0787,nan,42174.1758,2.1388,0.7221,7.8766,nan,-1196.0552,nan
1279.0176,12953.3691,12953369.0,nan,9.8206,9.8206,50.4354,nan,nan,45.5672,0.719,0.7108,1279.0176,0.4886,-577.1523,nan,42497.9297,2.1434,0.719,8.001,nan,-1196.2076,nan
1279.17,13171.0059,13171006.0,nan,9.6875,9.6875,49.7154,nan,nan,46.3617,0.716,0.7108,1279.1699,0.4685,-577.2258,nan,43211.9609,2.1483,0.716,8.1667,nan,-1196.36,nan
1279.3224,13417.0566,13417057.0,nan,9.6248,9.6248,48.9877,nan,nan,48.0481,0.7141,0.7125,1279.3224,0.453,-577.2994,nan,44019.2148,2.1564,0.7141,8.2559,nan,-1196.5123,nan
1279.4748,13625.3838,13625384.0,nan,9.567,9.567,48.5295,nan,nan,50.5384,0.7141,0.7141,1279.4747,0.4394,-577.3729,nan,44702.7031,2.1694,0.7141,8.2565,nan,-1196.6648,nan
1279.6272,13699.7344,13699735.0,nan,9.5058,9.5058,48.6755,nan,nan,52.6086,0.7141,0.7158,1279.6272,0.4294,-577.4464,nan,44946.6367,2.1878,0.7141,8.2613,nan,-1196.8171,nan
1279.7796,13795.792,13795792.0,nan,9.4514,9.4514,48.7652,nan,nan,52.9539,0.7141,0.7174,1279.7795,0.4288,-577.52,nan,45261.7852,2.2072,0.7141,8.2325,nan,-1196.9696,nan
1279.932,13899.9141,13899914.0,nan,9.4557,9.4557,48.7069,nan,nan,52.1131,0.7141,0.7298,1279.932,0.4416,-577.5935,nan,45603.3945,2.2212,0.7141,8.2181,nan,-1197.1219,nan
1280.0844,14017.6973,14017697.0,nan,9.5378,9.5378,48.4542,nan,nan,50.2807,0.7141,0.7418,1280.0844,0.4623,-577.667,nan,45989.8203,2.2284,0.7141,8.356,nan,-1197.2744,nan
1280.2368,14076.1748,14076175.0,nan,9.6483,9.6483,48.2659,nan,nan,48.3977,0.7141,0.7539,1280.2368,0.4858,-577.7405,nan,46181.6758,2.229,0.7141,8.4515,nan,-1197.4268,nan
1280.3892,13910.8643,13910864.0,nan,9.7425,9.7425,48.6839,nan,nan,46.8367,0.7141,0.7662,1280.3892,0.5126,-577.8141,nan,45639.3203,2.2219,0.7141,8.551,nan,-1197.5792,nan
1280.5416,13783.0205,13783020.0,nan,9.7834,9.7834,48.8325,nan,nan,46.1009,0.7141,0.7725,1280.5416,0.5339,-577.8876,nan,45219.8828,2.2082,0.7141,8.5609,nan,-1197.7316,nan
1280.694,13383.5957,13383595.0,nan,9.7686,9.7686,49.864,nan,nan,45.884,0.7142,0.7732,1280.694,0.5333,-577.9611,nan,43909.4336,2.1895,0.7142,8.4946,nan,-1197.884,nan
1280.8464,13267.7354,13267736.0,nan,9.7422,9.7422,49.9043,nan,nan,45.6784,0.7144,0.7739,1280.8464,0.5161,-578.0347,nan,43529.3164,2.1723,0.7144,8.4525,nan,-1198.0364,nan
1280.9988,13312.8672,13312867.0,nan,9.7303,9.7303,49.5222,nan,nan,45.4483,0.7147,0.7745,1280.9988,0.4997,-578.1082,nan,43677.3867,2.163,0.7147,8.3509,nan,-1198.1888,nan
1281.1512,13608.7227,13608723.0,nan,9.7275,9.7275,48.3851,nan,nan,45.6914,0.7149,0.7752,1281.1511,0.4913,-578.1817,nan,44648.043,2.1603,0.7149,8.2594,nan,-1198.3412,nan
1281.3036,13999.9805,13999980.0,nan,9.7361,9.7361,47.0982,nan,nan,46.3738,0.7151,0.7757,1281.3036,0.4865,-578.2552,nan,45931.6953,2.1633,0.7151,8.2623,nan,-1198.4935,nan
1281.456,14317.3145,14317315.0,nan,9.7709,9.7709,46.2608,nan,nan,46.3314,0.7154,0.772,1281.4559,0.4765,-578.3288,nan,46972.8164,2.173,0.7154,8.2978,nan,-1198.646,nan
1281.6084,14625.3594,14625360.0,nan,9.8436,9.8436,45.5657,nan,nan,46.4106,0.7156,0.7687,1281.6084,0.4575,-578.4023,nan,47983.4648,2.1864,0.7156,8.3645,nan,-1198.7983,nan
1281.7608,14704.5781,14704578.0,nan,9.9717,9.9717,45.6042,nan,nan,46.6772,0.7158,0.7654,1281.7607,0.4379,-578.4758,nan,48243.3633,2.2001,0.7158,8.3693,nan,-1198.9508,nan
1281.9132,14534.8154,14534815.0,nan,10.1296,10.1296,46.378,nan,nan,46.7218,0.7161,0.7621,1281.9132,0.4269,-578.5494,nan,47686.4023,2.2116,0.7161,8.4606,nan,-1199.1031,nan
1282.0656,14283.6279,14283628.0,nan,10.2041,10.2041,47.3579,nan,nan,46.9526,0.7163,0.7589,1282.0656,0.4255,-578.6229,nan,46862.2969,2.2193,0.7163,8.4568,nan,-1199.2556,nan
1282.218,14064.6807,14064681.0,nan,10.199,10.199,48.1298,nan,nan,47.7486,0.7165,0.7546,1282.218,0.4269,-578.6964,nan,46143.9648,2.2209,0.7165,8.5496,nan,-1199.408,nan
1282.3704,13893.8047,13893805.0,nan,10.1685,10.1685,48.5572,nan,nan,49.0549,0.7168,0.75,1282.3704,0.4297,-578.77,nan,45583.3516,2.2134,0.7168,8.559,nan,-1199.5604,nan
1282.5228,13876.1113,13876112.0,nan,10.1163,10.1163,48.3731,nan,nan,49.2742,0.717,0.7455,1282.5228,0.4391,-578.8435,nan,45525.3008,2.2022,0.717,8.5582,nan,-1199.7128,nan
1282.6752,13817.9355,13817936.0,nan,10.0619,10.0619,48.3275,nan,nan,49.268,0.7172,0.7409,1282.6752,0.4552,-578.9171,nan,45334.4336,2.1909,0.7172,8.5238,nan,-1199.8652,nan
1282.8276,13861.0635,13861063.0,nan,10.0751,10.0751,48.0342,nan,nan,49.4281,0.7179,0.7375,1282.8276,0.4749,-578.9905,nan,45475.9297,2.1844,0.7179,8.4482,nan,-1200.0176,nan
1282.98,13919.1943,13919194.0,nan,10.1994,10.1994,47.8971,nan,nan,49.5887,0.7191,0.7408,1282.98,0.4931,-579.0641,nan,45666.6484,2.1873,0.7191,8.3604,nan,-1200.1699,nan
1283.1324,14071.8154,14071816.0,nan,10.332,10.332,47.5379,nan,nan,50.8835,0.7203,0.7441,1283.1323,0.491,-579.1376,nan,46167.375,2.1947,0.7203,8.2019,nan,-1200.3224,nan
1283.2848,14172.6436,14172644.0,nan,10.4127,10.4127,47.3524,nan,nan,51.4519,0.7214,0.7475,1283.2848,0.4633,-579.2112,nan,46498.1758,2.2018,0.7214,8.1504,nan,-1200.4747,nan
1283.4372,14169.1973,14169198.0,nan,10.4627,10.4627,47.4349,nan,nan,51.3637,0.7226,0.7508,1283.4371,0.4437,-579.2847,nan,46486.8672,2.2051,0.7226,8.0572,nan,-1200.6272,nan
1283.5896,13925.7305,13925730.0,nan,10.4956,10.4956,48.2095,nan,nan,50.7143,0.7238,0.7542,1283.5896,0.4431,-579.3582,nan,45688.0898,2.2026,0.7238,7.9656,nan,-1200.7795,nan
1283.742,13576.0254,13576026.0,nan,10.525,10.525,49.3256,nan,nan,49.898,0.725,0.7575,1283.7419,0.4627,-579.4318,nan,44540.7656,2.197,0.725,7.9569,nan,-1200.932,nan
1283.8944,13418.7715,13418771.0,nan,10.5493,10.5493,49.7401,nan,nan,49.2045,0.7262,0.7635,1283.8944,0.4805,-579.5052,nan,44024.8398,2.1898,0.7262,7.9566,nan,-1201.0844,nan
1284.0468,13500.3262,13500326.0,nan,10.5548,10.5548,49.3019,nan,nan,49.0555,0.7274,0.7702,1284.0468,0.4978,-579.5788,nan,44292.4102,2.1837,0.7274,7.9568,nan,-1201.2368,nan
1284.1992,13393.6768,13393677.0,nan,10.5441,10.5441,49.7104,nan,nan,48.3891,0.7286,0.7769,1284.1992,0.5118,-579.6523,nan,43942.5078,2.1844,0.7286,7.9567,nan,-1201.3892,nan
1284.3516,13652.9297,13652930.0,nan,10.5047,10.5047,48.9339,nan,nan,48.1534,0.7297,0.7829,1284.3516,0.5159,-579.7259,nan,44793.0742,2.1919,0.7297,7.9571,nan,-1201.5416,nan
1284.504,13873.5312,13873531.0,nan,10.4759,10.4759,48.3074,nan,nan,49.1996,0.7309,0.7819,1284.504,0.5068,-579.7994,nan,45516.8359,2.1988,0.7309,7.96,nan,-1201.694,nan
1284.6564,14036.3203,14036321.0,nan,10.5194,10.5194,47.9643,nan,nan,49.6329,0.7321,0.7809,1284.6564,0.4875,-579.8729,nan,46050.9219,2.2088,0.7321,7.9943,nan,-1201.8464,nan
1284.8088,14193.3633,14193363.0,nan,10.6064,10.6064,47.6419,nan,nan,50.267,0.7333,0.7795,1284.8088,0.4705,-579.9465,nan,46566.1523,2.2185,0.7333,8.024,nan,-1201.9988,nan
1284.9612,14379.8955,14379895.0,nan,10.6501,10.6501,47.0557,nan,nan,50.8357,0.7378,0.7815,1284.9612,0.4641,-580.02,nan,47178.1328,2.22,0.7378,8.0435,nan,-1202.1511,nan
1285.1136,14689.877,14689877.0,nan,10.6031,10.6031,45.9922,nan,nan,51.0667,0.7476,0.787,1285.1135,0.4732,-580.0935,nan,48195.1328,2.2166,0.7476,8.2022,nan,-1202.3036,nan
1285.266,15029.2686,15029268.0,nan,10.5233,10.5233,44.9394,nan,nan,50.8702,0.7575,0.7926,1285.266,0.4915,-580.1671,nan,49308.625,2.2159,0.7575,8.2485,nan,-1202.4559,nan
1285.4184,15226.7959,15226796.0,nan,10.4593,10.4593,44.4305,nan,nan,50.5698,0.7675,0.7981,1285.4183,0.5038,-580.2406,nan,49956.6797,2.2196,0.7675,8.2716,nan,-1202.6084,nan
1285.5708,15397.0488,15397049.0,nan,10.4245,10.4245,44.0461,nan,nan,50.0656,0.7777,0.8049,1285.5708,0.4988,-580.3141,nan,50515.2539,2.225,0.7777,8.3447,nan,-1202.7607,nan
1285.7232,15537.2363,15537236.0,nan,10.4103,10.4103,43.7507,nan,nan,49.8137,0.788,0.8123,1285.7231,0.4927,-580.3876,nan,50975.1836,2.2302,0.788,8.3166,nan,-1202.9132,nan
1285.8756,15587.1875,15587188.0,nan,10.4226,10.4226,43.6496,nan,nan,49.4052,0.7985,0.8319,1285.8756,0.491,-580.4612,nan,51139.0664,2.2322,0.7985,8.2569,nan,-1203.0656,nan
1286.028,15947.4443,15947445.0,nan,10.449,10.449,42.6043,nan,nan,49.2586,0.8091,0.8524,1286.028,0.4961,-580.5347,nan,52321.0117,2.2291,0.8091,8.1182,nan,-1203.218,nan
1286.1804,16476.9336,16476935.0,nan,10.4582,10.4582,41.1945,nan,nan,48.684,0.8198,0.8664,1286.1804,0.5026,-580.6082,nan,54058.1836,2.2269,0.8198,8.0413,nan,-1203.3704,nan
1286.3328,16914.5293,16914530.0,nan,10.4342,10.4342,40.2549,nan,nan,48.9185,0.8282,0.8464,1286.3328,0.5104,-580.6818,nan,55493.8633,2.2339,0.8282,7.913,nan,-1203.5228,nan
1286.4852,16627.8418,16627842.0,nan,10.4237,10.4237,41.1176,nan,nan,50.29,0.8308,0.8288,1286.4852,0.5202,-580.7553,nan,54553.2852,2.2431,0.8308,7.8619,nan,-1203.6752,nan
1286.6376,16175.4014,16175401.0,nan,10.4122,10.4122,42.3148,nan,nan,51.7956,0.8335,0.8116,1286.6376,0.5306,-580.8289,nan,53068.9023,2.2456,0.8335,7.8845,nan,-1203.8276,nan
1286.79,14996.2402,14996240.0,nan,10.3764,10.3764,45.6522,nan,nan,52.5885,0.8361,0.8064,1286.79,0.5407,-580.9023,nan,49200.2617,2.2461,0.8361,7.9939,nan,-1203.98,nan
1286.9424,14194.4873,14194488.0,nan,10.3324,10.3324,48.1814,nan,nan,51.842,0.8388,0.8052,1286.9424,0.5476,-580.9759,nan,46569.8398,2.2438,0.8388,8.1053,nan,-1204.1323,nan
1287.0948,14081.9873,14081987.0,nan,10.3164,10.3164,48.5425,nan,nan,50.4034,0.8415,0.8195,1287.0947,0.5424,-581.0494,nan,46200.7461,2.2427,0.8415,8.2403,nan,-1204.2848,nan
1287.2472,16394.3105,16394310.0,nan,10.3245,10.3245,41.945,nan,nan,48.8061,0.8442,0.8406,1287.2472,0.5184,-581.1229,nan,53787.1055,2.2561,0.8442,8.3041,nan,-1204.4371,nan
1287.3996,17258.3203,17258322.0,nan,10.3405,10.3405,40.3237,nan,nan,46.9002,0.8468,0.8597,1287.3995,0.476,-581.1965,nan,56621.7891,2.2832,0.8468,8.2904,nan,-1204.5896,nan
1287.552,23653.1992,23653200.0,nan,10.3586,10.3586,29.7143,nan,nan,46.1912,0.8496,0.8791,1287.552,0.4242,-581.27,nan,77602.3594,2.3059,0.8496,8.1634,nan,-1204.7419,nan
1287.7044,24662.7812,24662782.0,nan,10.3885,10.3885,28.6104,nan,nan,47.2,0.8545,0.8974,1287.7043,0.3952,-581.3436,nan,80914.6328,2.315,0.8545,8.0919,nan,-1204.8944,nan
1287.8568,20606.9961,20606996.0,nan,10.4779,10.4779,34.0136,nan,nan,49.6082,0.8765,0.9139,1287.8568,0.4061,-581.4171,nan,67608.2578,2.2996,0.8765,7.9995,nan,-1205.0468,nan
1288.0092,16976.6094,16976610.0,nan,10.6674,10.6674,40.693,nan,nan,51.7791,0.8999,0.9283,1288.0092,0.4375,-581.4906,nan,55697.5391,2.2665,0.8999,7.8557,nan,-1205.1992,nan
1288.1616,14583.2627,14583263.0,nan,10.8474,10.8474,46.5667,nan,nan,52.3604,0.9114,0.9283,1288.1616,0.465,-581.5641,nan,47845.3516,2.228,0.9114,7.766,nan,-1205.3516,nan
1288.314,13910.9268,13910927.0,nan,10.8426,10.8426,48.114,nan,nan,51.9367,0.9089,0.9283,1288.314,0.478,-581.6377,nan,45639.5234,2.1959,0.9089,7.7561,nan,-1205.504,nan
1288.4664,14415.3096,14415309.0,nan,10.7074,10.7074,46.2952,nan,nan,51.4293,0.9061,0.9283,1288.4664,0.4696,-581.7112,nan,47294.3203,2.1895,0.9061,7.7554,nan,-1205.6564,nan
1288.6188,16086.5283,16086528.0,nan,10.5887,10.5887,41.8551,nan,nan,51.7844,0.9033,0.9283,1288.6188,0.4463,-581.7847,nan,52777.3242,2.209,0.9033,7.7571,nan,-1205.8088,nan
1288.7712,17631.6094,17631608.0,nan,10.4782,10.4782,38.6281,nan,nan,52.1484,0.9005,0.9283,1288.7712,0.4249,-581.8583,nan,57846.4844,2.2345,0.9005,7.6893,nan,-1205.9612,nan
1288.9236,19771.5059,19771506.0,nan,10.3676,10.3676,34.8204,nan,nan,52.1637,0.8977,0.9284,1288.9236,0.4153,-581.9318,nan,64867.1445,2.2587,0.8977,7.6219,nan,-1206.1135,nan
1289.076,19718.707,19718706.0,nan,10.2805,10.2805,35.1826,nan,nan,51.5513,0.8946,0.9281,1289.0759,0.4272,-582.0053,nan,64693.918,2.2761,0.8946,7.5543,nan,-1206.266,nan
1289.2284,18456.123,18456124.0,nan,10.2651,10.2651,37.6588,nan,nan,50.284,0.8861,0.9283,1289.2284,0.4523,-582.0789,nan,60551.5859,2.2803,0.8861,7.5566,nan,-1206.4183,nan
1289.3808,17381.5898,17381590.0,nan,10.298,10.298,39.8536,nan,nan,49.6937,0.8769,0.9156,1289.3807,0.4777,-582.1524,nan,57026.2109,2.2727,0.8769,7.5566,nan,-1206.5708,nan
1289.5332,15512.8398,15512839.0,nan,10.2968,10.2968,44.4286,nan,nan,49.3704,0.8678,0.907,1289.5332,0.5007,-582.2259,nan,50895.1445,2.2612,0.8678,7.6485,nan,-1206.7231,nan
1289.6856,14819.542,14819542.0,nan,10.2295,10.2295,46.2829,nan,nan,49.6333,0.8588,0.897,1289.6855,0.5221,-582.2994,nan,48620.5469,2.2503,0.8588,7.7528,nan,-1206.8756,nan
1289.838,14624.2803,14624280.0,nan,10.1306,10.1306,46.6591,nan,nan,50.4322,0.8499,0.8871,1289.838,0.538,-582.373,nan,47979.9219,2.2387,0.8499,7.7636,nan,-1207.028,nan
1289.9904,14419.3896,14419390.0,nan,10.0315,10.0315,47.0325,nan,nan,50.6461,0.8411,0.8792,1289.9904,0.5373,-582.4465,nan,47307.7109,2.225,0.8411,8.0955,nan,-1207.1804,nan
1290.1428,14279.1748,14279175.0,nan,9.9454,9.9454,47.1955,nan,nan,50.2774,0.8323,0.8695,1290.1428,0.5194,-582.52,nan,46847.6875,2.211,0.8323,7.9712,nan,-1207.3328,nan
1290.2952,14065.3887,14065388.0,nan,9.9148,9.9148,47.6528,nan,nan,50.7944,0.8237,0.8599,1290.2952,0.4925,-582.5936,nan,46146.2891,2.199,0.8237,8.0007,nan,-1207.4852,nan
1290.4476,13855.8672,13855868.0,nan,9.9483,9.9483,48.1402,nan,nan,51.3348,0.8151,0.8584,1290.4476,0.4693,-582.6671,nan,45458.8828,2.1884,0.8151,7.9072,nan,-1207.6376,nan
1290.6,13824.7412,13824741.0,nan,9.9446,9.9446,48.0678,nan,nan,51.5035,0.8067,0.8584,1290.6,0.4648,-582.7406,nan,45356.7617,2.1802,0.8067,7.7768,nan,-1207.79,nan
1290.7524,13923.1162,13923116.0,nan,9.8548,9.8548,47.7435,nan,nan,51.7,0.8049,0.8584,1290.7524,0.4777,-582.8141,nan,45679.5156,2.1809,0.8049,7.6317,nan,-1207.9424,nan
1290.9048,14110.873,14110873.0,nan,9.8329,9.8329,47.4128,nan,nan,51.8454,0.8049,0.8584,1290.9048,0.4978,-582.8877,nan,46295.5156,2.195,0.8049,7.4768,nan,-1208.0947,nan
1291.0572,14181.6602,14181660.0,nan,9.9734,9.9734,47.4319,nan,nan,51.8959,0.8049,0.8584,1291.0571,0.5192,-582.9612,nan,46527.7578,2.2069,0.8049,7.3108,nan,-1208.2472,nan
1291.2096,14149.0908,14149091.0,nan,10.183,10.183,47.4463,nan,nan,51.7007,0.8049,0.8584,1291.2096,0.5395,-583.0347,nan,46420.9023,2.2025,0.8049,7.1589,nan,-1208.3995,nan
1291.362,14065.7373,14065737.0,nan,10.3639,10.3639,47.4696,nan,nan,51.3489,0.8049,0.8584,1291.3619,0.5575,-583.1083,nan,46147.4336,2.1906,0.8049,7.0131,nan,-1208.552,nan
1291.5144,14149.375,14149375.0,nan,10.4541,10.4541,46.9542,nan,nan,50.6717,0.8049,0.8584,1291.5144,0.5737,-583.1818,nan,46421.832,2.1797,0.8049,6.9214,nan,-1208.7043,nan
1291.6668,14327.2568,14327257.0,nan,10.4843,10.4843,46.2755,nan,nan,50.0497,0.8049,0.8584,1291.6667,0.586,-583.2554,nan,47005.4375,2.1752,0.8049,6.856,nan,-1208.8568,nan
1291.8192,14409.1836,14409184.0,nan,10.4809,10.4809,46.097,nan,nan,49.7518,0.8049,0.8584,1291.8192,0.592,-583.3289,nan,47274.2227,2.1792,0.8049,6.8493,nan,-1209.0092,nan
1291.9716,14429.8223,14429822.0,nan,10.4366,10.4366,46.2761,nan,nan,49.7625,0.8049,0.8584,1291.9716,0.5954,-583.4024,nan,47341.9336,2.1908,0.8049,6.9027,nan,-1209.1616,nan
1292.124,14256.3447,14256344.0,nan,10.3614,10.3614,47.1877,nan,nan,49.7774,0.8049,0.8584,1292.124,0.5967,-583.476,nan,46772.7812,2.2071,0.8049,6.9607,nan,-1209.314,nan
1292.2764,14254.6475,14254647.0,nan,10.303,10.303,47.4606,nan,nan,50.2991,0.8024,0.8584,1292.2764,0.5943,-583.5494,nan,46767.2148,2.2196,0.8024,7.207,nan,-1209.4664,nan
1292.4288,14330.1211,14330121.0,nan,10.2979,10.2979,47.2234,nan,nan,51.3408,0.7995,0.8584,1292.4288,0.5844,-583.623,nan,47014.832,2.2202,0.7995,7.4591,nan,-1209.6188,nan
1292.5812,14412.7129,14412713.0,nan,10.3182,10.3182,46.6842,nan,nan,52.7054,0.7967,0.8583,1292.5812,0.5643,-583.6965,nan,47285.8047,2.2075,0.7967,7.7147,nan,-1209.7712,nan
1292.7336,14221.6934,14221694.0,nan,10.3415,10.3415,46.8033,nan,nan,53.9009,0.7939,0.8523,1292.7336,0.5476,-583.7701,nan,46659.1016,2.1838,0.7939,7.8864,nan,-1209.9236,nan
1292.886,13838.8613,13838862.0,nan,10.3647,10.3647,47.6113,nan,nan,53.4651,0.791,0.835,1292.886,0.5389,-583.8436,nan,45403.0898,2.1617,0.791,7.9124,nan,-1210.0759,nan
1293.0384,13641.9531,13641953.0,nan,10.3869,10.3869,48.017,nan,nan,51.6684,0.7902,0.8159,1293.0383,0.5318,-583.9171,nan,44757.0664,2.1491,0.7902,7.8632,nan,-1210.2284,nan
1293.1908,13791.917,13791917.0,nan,10.3251,10.3251,47.4728,nan,nan,49.3606,0.7979,0.82,1293.1908,0.5248,-583.9907,nan,45249.0703,2.1481,0.7979,7.7454,nan,-1210.3807,nan
1293.3432,14585.0254,14585025.0,nan,10.1454,10.1454,45.0982,nan,nan,47.1794,0.805,0.8364,1293.3431,0.5172,-584.0642,nan,47851.1328,2.158,0.805,7.5545,nan,-1210.5332,nan
1293.4956,15954.333,15954333.0,nan,10.1211,10.1211,41.4339,nan,nan,46.3062,0.8122,0.8529,1293.4956,0.5087,-584.1377,nan,52343.6133,2.1688,0.8122,7.3595,nan,-1210.6855,nan
1293.648,16719.0664,16719067.0,nan,10.295,10.295,39.5934,nan,nan,47.0036,0.8195,0.8698,1293.6479,0.5021,-584.2112,nan,54852.582,2.1718,0.8195,7.2608,nan,-1210.838,nan
1293.8004,17983.1855,17983186.0,nan,10.4824,10.4824,36.7424,nan,nan,48.1049,0.8268,0.887,1293.8004,0.4989,-584.2848,nan,58999.9531,2.1678,0.8268,7.1618,nan,-1210.9904,nan
1293.9528,16746.5195,16746520.0,nan,10.6708,10.6708,39.3483,nan,nan,49.7798,0.8342,0.9045,1293.9528,0.4955,-584.3583,nan,54942.6523,2.1619,0.8342,7.1464,nan,-1211.1428,nan
