DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BS,CALI,CALI[DERIVED]1,CALI1,DEVI,DFL,DT,DT1,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1300.941,5128.0396,5128039.5,nan,8.5,8.7875,8.7875,8.7959,0.9448,1.2424,134.9022,134.5961,0.0,nan,53.2469,0.9312,0.9493,1300.9409,0.5694,nan,nan,0.0271,0.0271,16824.2773,2.2696,1.2424,1.5619,282.013,1.0,1.0,-1224.781,70.2176,0.0271,nan
1301.0668,5059.9155,5060778.0,nan,8.5,8.8521,8.8521,8.852,0.9944,0.9477,137.2032,137.203,0.0,nan,54.4762,0.8752,0.8901,1301.0668,0.5628,nan,nan,0.0275,0.0275,16603.6016,2.2777,0.9477,0.8982,281.5581,1.0,1.0,-1224.9067,69.804,0.0275,nan
1301.0934,5046.5557,5046555.5,nan,8.5,8.8657,8.8657,8.8715,1.0049,0.9304,137.6898,137.2481,0.0,nan,54.4698,0.8739,0.8891,1301.0934,0.5619,nan,nan,0.0275,0.0275,16556.9414,2.2797,0.9304,0.8671,281.4518,1.0,1.0,-1224.9334,69.7176,0.0275,nan
1301.2192,5076.3589,5076349.5,nan,8.5,8.9637,8.9637,8.9637,1.0931,0.8487,137.4613,137.4613,0.0,nan,54.4399,0.868,0.8845,1301.2191,0.5577,nan,nan,0.0279,0.0279,16654.6914,2.2894,0.8487,0.7202,280.9488,1.0,1.0,-1225.0592,69.309,0.0279,nan
1301.2458,5082.6499,5082649.5,nan,8.5,8.9844,8.9844,8.9852,1.1117,0.8482,137.413,137.1795,0.0,nan,54.3235,0.8756,0.8928,1301.2457,0.5574,nan,nan,0.028,0.028,16675.3594,2.2914,0.8482,0.7195,280.8873,1.0,1.0,-1225.0858,69.1502,0.028,nan
1301.3716,5162.8179,5168542.0,nan,8.5,9.0868,9.0868,9.0868,1.1423,0.8461,135.8465,135.8467,0.0,nan,53.7729,0.9113,0.9323,1301.3716,0.556,nan,nan,0.0287,0.0287,16957.1582,2.301,0.8461,0.716,280.5965,1.0,1.0,-1225.2115,68.399,0.0287,nan
1301.3982,5186.7036,5186703.5,nan,8.5,9.1084,9.1084,9.1095,1.1488,0.8743,135.5153,135.4282,0.0,nan,53.5054,0.9263,0.9482,1301.3982,0.5551,nan,nan,0.0287,0.0287,17016.7441,2.306,0.8743,0.7681,280.5461,1.0,1.0,-1225.2382,68.1698,0.0287,nan
1301.524,5321.1201,5329142.0,nan,8.5,9.2173,9.2173,9.2173,1.0026,1.0073,133.4491,133.4493,0.0,nan,52.2403,0.9976,1.0232,1301.5239,0.5507,nan,nan,0.0286,0.0286,17484.0605,2.3297,1.0073,1.0148,280.3075,1.0,1.0,-1225.364,67.086,0.0286,nan
1301.5506,5359.2598,5359260.0,nan,8.5,9.2403,9.2403,9.2381,0.9717,1.0515,133.0122,133.0368,0.0,nan,51.8335,1.0144,1.0401,1301.5505,0.5487,nan,nan,0.0275,0.0275,17582.873,2.3387,1.0515,1.115,280.3007,1.0,1.0,-1225.3906,66.9951,0.0275,nan
1301.6764,5537.1641,5538652.5,nan,8.5,9.3365,9.3365,9.3365,1.1169,1.2605,131.086,131.0862,0.0,nan,49.9097,1.094,1.12,1301.6764,0.539,nan,nan,0.0223,0.0223,18171.4316,2.3814,1.2605,1.5888,280.2686,1.0,1.0,-1225.5164,66.565,0.0223,nan
1301.703,5576.5845,5576584.5,nan,8.5,9.3569,9.3569,9.3503,1.1476,1.2794,130.6787,131.341,0.0,nan,49.5034,1.1118,1.1378,1301.703,0.5372,nan,nan,0.0215,0.0215,18295.8809,2.3909,1.2794,1.6385,280.2199,1.0,1.0,-1225.543,66.6223,0.0215,nan
1301.8288,5601.3481,5591225.5,nan,8.5,9.4152,9.4152,9.4152,0.9991,1.3688,132.5463,132.5461,0.0,nan,47.5822,1.1962,1.2218,1301.8287,0.5284,nan,nan,0.0182,0.0182,18343.918,2.4358,1.3688,1.8736,279.9894,1.0,1.0,-1225.6687,66.893,0.0182,nan
1301.8554,5594.3218,5594321.5,nan,8.5,9.4275,9.4275,9.4124,0.9677,1.4054,132.9412,133.602,0.0,nan,47.3334,1.2201,1.2464,1301.8553,0.5288,nan,nan,0.0193,0.0193,18354.0742,2.44,1.4054,1.9814,279.9558,1.0,1.0,-1225.6953,67.0421,0.0193,nan
1301.9812,5409.6582,5391701.5,nan,8.5,9.3993,9.3993,9.3993,1.0483,1.5783,138.5964,138.5959,0.0,nan,46.1566,1.3333,1.3628,1301.9812,0.5308,nan,nan,0.0246,0.0246,17689.3086,2.4598,1.5783,2.4912,279.7973,1.0,1.0,-1225.8212,67.747,0.0246,nan
1302.0078,5348.8579,5348858.0,nan,8.5,9.3933,9.3933,9.3703,1.0654,1.7284,139.7922,139.1578,0.0,nan,46.2153,1.3512,1.3812,1302.0078,0.5343,nan,nan,0.025,0.025,17548.7461,2.4532,1.7284,3.0937,279.7221,1.0,1.0,-1225.8478,68.1741,0.025,nan
1302.1336,5204.8179,5191099.0,nan,8.5,9.2335,9.2335,9.2335,1.1735,2.4379,141.8157,141.8155,0.0,nan,46.4928,1.4361,1.4684,1302.1335,0.5507,nan,nan,0.0271,0.0271,17031.1641,2.4217,2.4379,5.9435,279.3665,1.0,1.0,-1225.9735,70.194,0.0271,nan
1302.1602,5157.7412,5157741.5,nan,8.5,9.1997,9.1997,9.1971,1.1963,2.5567,142.2436,141.5567,0.0,nan,46.8103,1.4241,1.455,1302.1602,0.5558,nan,nan,0.0266,0.0266,16921.7227,2.407,2.5567,6.6036,279.3221,1.0,1.0,-1226.0001,70.7541,0.0266,nan
1302.286,5077.3579,5083876.5,nan,8.5,9.0246,9.0246,9.0246,1.2005,3.1185,140.3326,140.3328,0.0,nan,48.3116,1.3672,1.3911,1302.286,0.5796,nan,nan,0.0242,0.0242,16679.3848,2.3377,3.1185,9.7252,279.1119,1.0,1.0,-1226.126,73.403,0.0242,nan
1302.3126,5068.2578,5068258.0,nan,8.5,8.9876,8.9876,9.0021,1.2014,2.99,139.9285,140.507,0.0,nan,48.8019,1.3373,1.3595,1302.3126,0.5838,nan,nan,0.0237,0.0237,16628.1426,2.3268,2.99,9.0182,279.1667,1.0,1.0,-1226.1526,73.91,0.0237,nan
1302.4384,4906.6953,4923002.0,nan,8.5,8.8953,8.8953,8.8953,1.2702,2.3822,141.3311,141.331,0.0,nan,51.1203,1.1958,1.2102,1302.4384,0.6036,nan,nan,0.0215,0.0215,16151.5811,2.2752,2.3822,5.6749,279.4259,1.0,1.0,-1226.2783,76.308,0.0215,nan
1302.465,4892.2881,4892288.0,nan,8.5,8.8758,8.8758,8.8928,1.2848,2.2317,141.6277,142.1831,0.0,nan,51.6569,1.1615,1.175,1302.465,0.6064,nan,nan,0.0211,0.0211,16050.8135,2.2732,2.2317,5.0876,279.4756,1.0,1.0,-1226.3049,76.7681,0.0211,nan
1302.5908,4719.9185,4728056.5,nan,8.5,8.8809,8.8809,8.8809,1.2887,1.52,146.2135,146.2131,0.0,nan,54.1942,0.9992,1.0089,1302.5907,0.6195,nan,nan,0.0191,0.0191,15511.9961,2.2642,1.52,2.3103,279.7105,1.0,1.0,-1226.4308,78.944,0.0191,nan
1302.6174,4693.3301,4693330.0,nan,8.5,8.882,8.882,8.8825,1.2895,1.4456,147.1832,146.7289,0.0,nan,54.6211,0.9707,0.9802,1302.6173,0.6218,nan,nan,0.0188,0.0188,15398.0654,2.2663,1.4456,2.1159,279.7903,1.0,1.0,-1226.4574,79.3137,0.0188,nan
1302.7432,4651.9067,4649774.0,nan,8.5,8.89,8.89,8.89,1.2923,1.094,149.1683,149.1681,0.0,nan,56.6402,0.8357,0.8447,1302.7432,0.6323,nan,nan,0.0172,0.0172,15255.1631,2.2766,1.094,1.1969,280.1673,1.0,1.0,-1226.5831,81.062,0.0172,nan
1302.7698,4640.564,4640564.0,nan,8.5,8.8917,8.8917,8.8948,1.2929,1.055,149.588,149.2016,0.0,nan,56.8275,0.816,0.8252,1302.7698,0.6342,nan,nan,0.0172,0.0172,15224.9473,2.2775,1.055,1.1202,280.1892,1.0,1.0,-1226.6097,80.6386,0.0172,nan
1302.8956,4655.7476,4652585.0,nan,8.5,8.9174,8.9174,8.9174,1.4341,0.8703,149.3601,149.3601,0.0,nan,57.7135,0.7231,0.733,1302.8955,0.643,nan,nan,0.0172,0.0172,15264.3867,2.2814,0.8703,0.7575,280.2929,1.0,1.0,-1226.7356,78.636,0.0172,nan
1302.9222,4655.127,4655127.0,nan,8.5,8.9228,8.9228,8.9211,1.464,0.84,149.3119,149.0234,0.0,nan,57.6982,0.714,0.7237,1302.9221,0.6439,nan,nan,0.0181,0.0181,15272.7256,2.2804,0.84,0.7099,280.3047,1.0,1.0,-1226.7622,75.4325,0.0181,nan
1303.048,4704.3608,4703257.5,nan,8.5,8.9386,8.9386,8.9387,1.598,0.6963,147.4305,147.4307,0.0,nan,57.626,0.6708,0.6802,1303.048,0.6482,nan,nan,0.0223,0.0223,15430.6338,2.2755,0.6963,0.4848,280.3606,1.0,1.0,-1226.8879,60.282,0.0223,nan
1303.0746,4713.4346,4713434.5,nan,8.5,8.942,8.942,8.9289,1.6263,0.6862,147.0327,146.9534,0.0,nan,57.5481,0.6706,0.6797,1303.0746,0.6473,nan,nan,0.023,0.023,15464.0234,2.2737,0.6862,0.4713,280.4379,1.0,1.0,-1226.9146,57.9315,0.023,nan
1303.2004,4771.9868,4769478.0,nan,8.5,8.8829,8.8829,8.8829,1.5624,0.6384,144.6961,144.6963,0.0,nan,57.1797,0.6694,0.6776,1303.2003,0.643,nan,nan,0.0266,0.0266,15647.8926,2.2654,0.6384,0.4076,280.8037,1.0,1.0,-1227.0404,46.815,0.0266,nan
1303.227,4781.3281,4781328.0,nan,8.5,8.8704,8.8704,8.8688,1.5489,0.6573,144.202,144.2558,0.0,nan,57.0462,0.6734,0.6815,1303.2269,0.6403,nan,nan,0.0269,0.0269,15686.7715,2.2621,0.6573,0.4338,280.8948,1.0,1.0,-1227.067,46.1765,0.0269,nan
1303.3528,4815.9585,4815534.0,nan,8.5,8.8023,8.8023,8.8023,1.4985,0.7468,142.1724,142.1726,0.0,nan,56.4148,0.6926,0.7,1303.3528,0.6276,nan,nan,0.0284,0.0284,15798.9951,2.2464,0.7468,0.5577,281.3256,1.0,1.0,-1227.1927,43.157,0.0284,nan
1303.3794,4822.7666,4822766.5,nan,8.5,8.7879,8.7879,8.7979,1.4879,0.7628,141.7433,141.9624,0.0,nan,56.2634,0.6967,0.704,1303.3794,0.6241,nan,nan,0.0286,0.0286,15822.7246,2.2428,0.7628,0.583,281.4984,1.0,1.0,-1227.2194,42.7421,0.0286,nan
1303.5052,4812.3208,4816784.0,nan,8.5,8.7771,8.7771,8.7771,1.3841,0.8383,140.9682,140.9683,0.0,nan,55.5474,0.7161,0.7232,1303.5051,0.6079,nan,nan,0.0296,0.0296,15803.0977,2.2257,0.8383,0.7028,282.3157,1.0,1.0,-1227.3452,40.78,0.0296,nan
1303.5318,4815.519,4815519.0,nan,8.5,8.7748,8.7748,8.7797,1.3622,0.8453,140.8043,140.9527,0.0,nan,55.5123,0.7204,0.7273,1303.5317,0.6052,nan,nan,0.0297,0.0297,15798.9473,2.2246,0.8453,0.7148,282.4686,1.0,1.0,-1227.3718,40.669,0.0297,nan
1303.6576,4801.6104,4803853.0,nan,8.5,8.792,8.792,8.792,1.311,0.8784,140.8789,140.8789,0.0,nan,55.346,0.7406,0.747,1303.6576,0.5927,nan,nan,0.0299,0.0299,15760.6729,2.2193,0.8784,0.7716,283.1919,1.0,1.0,-1227.4976,40.144,0.0299,nan
1303.6842,4801.3862,4801386.5,nan,8.5,8.7956,8.7956,8.7915,1.3002,0.884,140.8947,140.9674,0.0,nan,55.4208,0.7464,0.7529,1303.6842,0.5918,nan,nan,0.0299,0.0299,15752.5801,2.2195,0.884,0.7817,283.2619,1.0,1.0,-1227.5242,40.1917,0.0299,nan
1303.81,4786.1758,4784572.5,nan,8.5,8.7893,8.7893,8.7893,1.2802,0.9106,141.3861,141.386,0.0,nan,55.7747,0.7734,0.7806,1303.8099,0.5879,nan,nan,0.0298,0.0298,15697.417,2.2201,0.9106,0.8291,283.5934,1.0,1.0,-1227.6499,40.417,0.0298,nan
1303.8366,4781.0176,4781017.5,nan,8.5,8.788,8.788,8.7808,1.276,0.9257,141.49,141.5392,0.0,nan,55.9468,0.7782,0.7858,1303.8365,0.5887,nan,nan,0.0297,0.0297,15685.7529,2.2194,0.9257,0.858,283.6172,1.0,1.0,-1227.6765,40.5104,0.0297,nan
1303.9624,4747.2876,4746459.5,nan,8.5,8.7404,8.7404,8.7404,1.3471,0.9974,142.2637,142.2636,0.0,nan,56.7608,0.801,0.8104,1303.9624,0.5925,nan,nan,0.0295,0.0295,15572.375,2.2158,0.9974,0.9948,283.7299,1.0,1.0,-1227.8024,40.952,0.0295,nan
1303.989,4739.1528,4739152.5,nan,8.5,8.7303,8.7303,8.7384,1.3621,1.0071,142.4273,142.4091,0.0,nan,57.1825,0.8021,0.8118,1303.989,0.5939,nan,nan,0.0295,0.0295,15548.4014,2.2145,1.0071,1.0148,283.7181,1.0,1.0,-1227.829,41.0401,0.0295,nan
1304.1148,4704.3462,4704203.0,nan,8.5,8.7289,8.7289,8.7289,1.4862,1.0531,143.0971,143.097,0.0,nan,59.1765,0.8072,0.8186,1304.1147,0.6005,nan,nan,0.0293,0.0293,15433.7363,2.2086,1.0531,1.1089,283.6621,1.0,1.0,-1227.9547,41.457,0.0293,nan
1304.1414,4696.813,4696813.0,nan,8.5,8.7286,8.7286,8.7422,1.5124,1.046,143.2387,143.155,0.0,nan,59.7357,0.8055,0.8175,1304.1414,0.6016,nan,nan,0.0293,0.0293,15409.4912,2.2072,1.046,1.0943,283.6555,1.0,1.0,-1227.9813,41.4837,0.0293,nan
1304.2672,4676.9673,4676608.5,nan,8.5,8.8052,8.8052,8.8052,1.5479,1.0126,143.429,143.429,0.0,nan,62.3805,0.7976,0.812,1304.2672,0.607,nan,nan,0.0292,0.0292,15343.2041,2.2008,1.0126,1.0253,283.6241,1.0,1.0,-1228.1072,41.61,0.0292,nan
1304.2938,4672.3364,4672336.5,nan,8.5,8.8214,8.8214,8.8205,1.5554,1.0039,143.4693,143.3961,0.0,nan,62.8768,0.7957,0.8106,1304.2938,0.6076,nan,nan,0.0292,0.0292,15329.1885,2.1993,1.0039,1.0082,283.6023,1.0,1.0,-1228.1338,41.5721,0.0292,nan
1304.4196,4664.0742,4664921.5,nan,8.5,8.8931,8.8931,8.893,1.6287,0.9628,143.2406,143.2407,0.0,nan,65.2242,0.787,0.8044,1304.4196,0.6107,nan,nan,0.0293,0.0293,15304.8604,2.1919,0.9628,0.9271,283.4995,1.0,1.0,-1228.2595,41.393,0.0293,nan
1304.4462,4663.3535,4663353.5,nan,8.5,8.9082,8.9082,8.8964,1.6442,0.9577,143.1923,143.2022,0.0,nan,65.6087,0.7857,0.8034,1304.4462,0.6107,nan,nan,0.0294,0.0294,15299.7158,2.1908,0.9577,0.9174,283.5242,1.0,1.0,-1228.2861,41.224,0.0294,nan
1304.572,4658.085,4658538.0,nan,8.5,8.9123,8.9123,8.9123,1.6889,0.9336,143.0204,143.0205,0.0,nan,67.4271,0.7793,0.7989,1304.5719,0.6109,nan,nan,0.0298,0.0298,15283.918,2.1857,0.9336,0.8716,283.6407,1.0,1.0,-1228.412,40.425,0.0298,nan
1304.5986,4657.52,4657520.0,nan,8.5,8.9132,8.9132,8.908,1.6983,0.9309,142.9841,143.0455,0.0,nan,67.467,0.7786,0.7982,1304.5985,0.6099,nan,nan,0.03,0.03,15280.5771,2.1849,0.9309,0.8667,283.6779,1.0,1.0,-1228.4386,40.0482,0.03,nan
1304.7244,4643.4141,4642075.0,nan,8.5,8.8874,8.8874,8.8875,1.6423,0.9182,143.1638,143.1638,0.0,nan,67.6554,0.7751,0.7947,1304.7244,0.6055,nan,nan,0.0309,0.0309,15229.9043,2.181,0.9182,0.8431,283.8535,1.0,1.0,-1228.5643,38.266,0.0309,nan
1304.751,4638.8086,4638809.0,nan,8.5,8.882,8.882,8.881,1.6304,0.9129,143.2018,143.241,0.0,nan,67.3386,0.7753,0.7947,1304.751,0.6033,nan,nan,0.0311,0.0311,15219.1895,2.1794,0.9129,0.8335,283.8982,1.0,1.0,-1228.5909,37.8122,0.0311,nan
1304.8768,4609.8291,4609816.5,nan,8.5,8.8507,8.8507,8.8507,1.4627,0.8877,143.6064,143.6064,0.0,nan,65.8399,0.7759,0.7949,1304.8767,0.5932,nan,nan,0.0322,0.0322,15124.0693,2.1719,0.8877,0.788,284.1098,1.0,1.0,-1228.7168,35.666,0.0322,nan
1304.9034,4603.6855,4603686.0,nan,8.5,8.8441,8.8441,8.8496,1.4273,0.8869,143.692,143.6942,0.0,nan,65.499,0.7774,0.7962,1304.9033,0.5907,nan,nan,0.0323,0.0323,15103.9561,2.1703,0.8869,0.7866,284.1808,1.0,1.0,-1228.7434,35.3241,0.0323,nan
1305.0292,4574.3125,4574921.5,nan,8.5,8.8443,8.8443,8.8443,1.3673,0.8832,144.1098,144.1097,0.0,nan,63.8867,0.7847,0.802,1305.0292,0.5786,nan,nan,0.0331,0.0331,15009.585,2.1627,0.8832,0.78,284.5166,1.0,1.0,-1228.8691,33.707,0.0331,nan
1305.0558,4568.8394,4568839.5,nan,8.5,8.8444,8.8444,8.8468,1.3546,0.8878,144.1981,144.1846,0.0,nan,63.6617,0.7867,0.8038,1305.0558,0.5768,nan,nan,0.0332,0.0332,14989.6309,2.1615,0.8878,0.7883,284.5306,1.0,1.0,-1228.8958,33.5419,0.0332,nan
1305.1816,4545.4712,4545099.5,nan,8.5,8.8581,8.8581,8.8581,1.248,0.9097,144.5387,144.5387,0.0,nan,62.5975,0.7962,0.8123,1305.1815,0.5684,nan,nan,0.0336,0.0336,14911.7441,2.1555,0.9097,0.8275,284.5966,1.0,1.0,-1229.0216,32.761,0.0336,nan
1305.2082,4540.0801,4540080.0,nan,8.5,8.861,8.861,8.8547,1.2254,0.9167,144.6107,144.5923,0.0,nan,62.374,0.7969,0.8129,1305.2081,0.5684,nan,nan,0.0336,0.0336,14895.2754,2.154,0.9167,0.8405,284.6359,1.0,1.0,-1229.0482,32.8165,0.0336,nan
1305.334,4517.9365,4518317.0,nan,8.5,8.8384,8.8384,8.8384,1.2061,0.9498,144.8461,144.8461,0.0,nan,61.3171,0.7999,0.8155,1305.334,0.568,nan,nan,0.0335,0.0335,14823.875,2.147,0.9498,0.9021,284.8217,1.0,1.0,-1229.174,33.079,0.0335,nan
1305.3606,4513.7153,4513715.5,nan,8.5,8.8336,8.8336,8.8282,1.202,0.9518,144.8959,144.8926,0.0,nan,61.2268,0.7987,0.8145,1305.3606,0.5698,nan,nan,0.0333,0.0333,14808.7773,2.1457,0.9518,0.906,284.8229,1.0,1.0,-1229.2006,33.3642,0.0333,nan
1305.4864,4494.373,4495220.5,nan,8.5,8.7801,8.7801,8.7801,1.2837,0.9615,145.1125,145.1125,0.0,nan,60.7997,0.7934,0.8094,1305.4863,0.5784,nan,nan,0.0327,0.0327,14748.0977,2.1397,0.9615,0.9244,284.8285,1.0,1.0,-1229.3263,34.713,0.0327,nan
1305.513,4491.3096,4491309.5,nan,8.5,8.7688,8.7688,8.7652,1.301,0.9565,145.1583,145.1407,0.0,nan,60.9276,0.7916,0.8079,1305.5129,0.5819,nan,nan,0.0324,0.0324,14735.2676,2.1389,0.9565,0.9151,284.8344,1.0,1.0,-1229.3529,35.1122,0.0324,nan
1305.6388,4479.9556,4481250.5,nan,8.5,8.6947,8.6947,8.6947,1.4372,0.9333,145.274,145.274,0.0,nan,61.5323,0.783,0.8003,1305.6388,0.5986,nan,nan,0.0315,0.0315,14702.2666,2.1352,0.9333,0.871,284.8623,1.0,1.0,-1229.4788,37.0,0.0315,nan
1305.6654,4479.1235,4479123.5,nan,8.5,8.679,8.679,8.6832,1.466,0.9296,145.2985,145.2509,0.0,nan,61.5843,0.782,0.7995,1305.6654,0.6027,nan,nan,0.0313,0.0313,14695.2881,2.1352,0.9296,0.8642,284.9216,1.0,1.0,-1229.5054,37.3088,0.0313,nan
1305.7912,4483.5977,4484373.0,nan,8.5,8.629,8.629,8.629,1.437,0.9122,145.1417,145.1418,0.0,nan,61.83,0.7772,0.7958,1305.7911,0.6221,nan,nan,0.0306,0.0306,14712.5098,2.135,0.9122,0.8322,285.202,1.0,1.0,-1229.6311,38.769,0.0306,nan
1305.8178,4485.4829,4485483.0,nan,8.5,8.6184,8.6184,8.6221,1.4309,0.9163,145.1086,145.063,0.0,nan,61.7189,0.7777,0.7961,1305.8177,0.6248,nan,nan,0.0306,0.0306,14716.1514,2.1354,0.9163,0.8397,285.2304,1.0,1.0,-1229.6577,38.8844,0.0306,nan
1305.9436,4502.5327,4502710.5,nan,8.5,8.5897,8.5897,8.5897,1.7147,0.9357,144.6904,144.6905,0.0,nan,61.1936,0.78,0.7976,1305.9436,0.6376,nan,nan,0.0303,0.0303,14772.6709,2.1374,0.9357,0.8755,285.3652,1.0,1.0,-1229.7836,39.43,0.0303,nan
1305.9702,4506.353,4506353.0,nan,8.5,8.5836,8.5836,8.5923,1.7747,0.9356,144.602,144.6127,0.0,nan,61.1007,0.7818,0.7994,1305.9702,0.6382,nan,nan,0.0303,0.0303,14784.6221,2.1379,0.9356,0.8753,285.3736,1.0,1.0,-1229.8102,39.4628,0.0303,nan
1306.096,4522.5679,4525034.5,nan,8.5,8.6046,8.6046,8.6046,1.809,0.9349,144.2449,144.2449,0.0,nan,60.6614,0.7902,0.8078,1306.0959,0.6407,nan,nan,0.0302,0.0302,14845.9121,2.1403,0.9349,0.8741,285.4135,1.0,1.0,-1229.9359,39.618,0.0302,nan
1306.1226,4528.9844,4528984.5,nan,8.5,8.6091,8.6091,8.6106,1.8162,0.9342,144.1694,144.2738,0.0,nan,60.5184,0.794,0.8117,1306.1226,0.6397,nan,nan,0.0302,0.0302,14858.8721,2.1422,0.9342,0.8728,285.3644,1.0,1.0,-1229.9625,39.5555,0.0302,nan
1306.2484,4540.5449,4540662.5,nan,8.5,8.6387,8.6387,8.6387,1.8231,0.9309,144.4102,144.4102,0.0,nan,59.8424,0.8117,0.83,1306.2484,0.6351,nan,nan,0.0304,0.0304,14897.1875,2.1512,0.9309,0.8665,285.1325,1.0,1.0,-1230.0884,39.26,0.0304,nan
1306.275,4543.1318,4543132.0,nan,8.5,8.645,8.645,8.6355,1.8246,0.95,144.4611,144.5201,0.0,nan,59.5706,0.8158,0.8343,1306.275,0.6331,nan,nan,0.0305,0.0305,14905.2891,2.1532,0.95,0.9041,285.0808,1.0,1.0,-1230.115,39.0914,0.0305,nan
