DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,BIT,CALI,NPHI,DT,DTDS,FACIES,FLD1,GR,M2R1,LLD,NPHI_1,PEF,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD_1,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,TEMP,TH,U,VCL,WATER_VOL,RHOB_1,ZLT
1236.8784,4783.8374,4783837.5,nan,0.2159,8.8923,0.5142,141.4399,141.4399,nan,nan,72.9442,0.832,0.8122,0.5142,4.1206,nan,nan,0.8271,nan,nan,15695.0049,2.2199,nan,nan,nan,247.4828,nan,nan,-1156.3784,143.5067,0.0,0.0,nan,nan,2.2199,nan
1237.0308,4825.2485,4825248.5,nan,0.2159,8.8893,0.4926,141.1925,141.1925,nan,nan,74.4199,0.8366,0.8154,0.4926,4.1208,nan,nan,0.8284,nan,nan,15830.8682,2.2352,nan,nan,nan,247.542,nan,nan,-1156.5308,143.5145,0.0,0.0,nan,nan,2.2352,nan
1237.1832,4855.9189,4855919.0,nan,0.2159,8.8851,0.4934,140.9598,140.9598,nan,nan,77.1049,0.84,0.8181,0.4934,4.0756,nan,nan,0.8287,nan,nan,15931.4922,2.2457,nan,nan,nan,247.6064,nan,nan,-1156.6832,143.5223,0.0,0.0,nan,nan,2.2457,nan
1237.3356,4856.3892,4856389.0,nan,0.2159,8.8843,0.5105,141.0403,141.0403,nan,nan,78.3512,0.8429,0.821,0.5105,4.1348,nan,nan,0.8299,nan,nan,15933.0352,2.2472,nan,nan,nan,247.6378,nan,nan,-1156.8356,143.5301,0.0,0.0,nan,nan,2.2472,nan
1237.488,4832.1255,4832125.5,nan,0.2159,8.8834,0.5071,141.5088,141.5088,nan,nan,76.8547,0.8454,0.8239,0.5071,4.3256,nan,nan,0.8337,nan,nan,15853.4297,2.2434,nan,nan,nan,247.6227,nan,nan,-1156.988,143.538,0.0,0.0,nan,nan,2.2434,nan
1237.6404,4809.4849,4809485.0,nan,0.2159,8.8847,0.4937,141.7947,141.7947,nan,nan,75.1441,0.8471,0.8259,0.4937,4.4268,nan,nan,0.8351,nan,nan,15779.1504,2.2374,nan,nan,nan,247.5953,nan,nan,-1157.1404,143.5458,0.0,0.0,nan,nan,2.2374,nan
1237.7928,4793.7661,4793766.5,nan,0.2159,8.8872,0.5139,141.6874,141.6874,nan,nan,75.7222,0.8498,0.8286,0.5139,4.4469,nan,nan,0.8317,nan,nan,15727.5791,2.2284,nan,nan,nan,247.59,nan,nan,-1157.2928,143.5536,0.0,0.0,nan,nan,2.2284,nan
1237.9452,4784.0562,4784067.5,nan,0.2159,8.8845,0.5582,141.3442,141.3442,nan,nan,76.1751,0.8559,0.8342,0.5582,4.4455,nan,nan,0.8257,nan,nan,15695.7578,2.2185,nan,nan,nan,247.5983,nan,nan,-1157.4452,143.5614,0.0,0.0,nan,nan,2.2185,nan
1238.0976,4790.7739,4790774.0,nan,0.2159,8.881,0.5663,141.0188,141.0188,nan,nan,73.9912,0.8633,0.8407,0.5663,4.4337,nan,nan,0.8219,nan,nan,15717.7627,2.2165,nan,nan,nan,247.5762,nan,nan,-1157.5977,143.5693,0.0,0.0,nan,nan,2.2165,nan
1238.25,4813.4492,4813449.0,nan,0.2159,8.884,0.5372,140.9054,140.9054,nan,nan,72.3455,0.8683,0.8448,0.5372,4.4108,nan,nan,0.823,nan,nan,15792.1553,2.2252,nan,nan,nan,247.5019,nan,nan,-1157.75,143.5771,0.0,0.0,nan,nan,2.2252,nan
1238.4024,4850.2773,4850277.5,nan,0.2159,8.8943,0.5054,140.709,140.709,nan,nan,73.3589,0.8719,0.8473,0.5054,4.381,nan,nan,0.8245,nan,nan,15912.9834,2.2391,nan,nan,nan,247.3972,nan,nan,-1157.9023,143.5849,0.0,0.0,nan,nan,2.2391,nan
1238.5548,4874.6694,4874669.5,nan,0.2159,8.9114,0.4849,140.6552,140.6552,nan,nan,74.7608,0.8741,0.8481,0.4849,4.3868,nan,nan,0.8266,nan,nan,15993.0107,2.2495,nan,nan,nan,247.3195,nan,nan,-1158.0548,143.5927,0.0,0.0,nan,nan,2.2495,nan
1238.7072,4875.1538,4875153.5,nan,0.2159,8.9307,0.4817,140.685,140.685,nan,nan,75.6319,0.8713,0.8433,0.4817,4.3885,nan,nan,0.8271,nan,nan,15994.5986,2.2502,nan,nan,nan,247.2994,nan,nan,-1158.2072,143.6006,0.0,0.0,nan,nan,2.2502,nan
1238.8596,4843.3613,4843361.0,nan,0.2159,8.9398,0.4998,141.0232,141.0232,nan,nan,77.0291,0.8676,0.8361,0.4998,4.2406,nan,nan,0.8282,nan,nan,15890.293,2.2409,nan,nan,nan,247.3219,nan,nan,-1158.3596,143.6084,0.0,0.0,nan,nan,2.2409,nan
1239.012,4817.603,4817603.0,nan,0.2159,8.9365,0.524,141.0686,141.0686,nan,nan,78.8608,0.8721,0.8351,0.524,4.0532,nan,nan,0.8258,nan,nan,15805.7842,2.2297,nan,nan,nan,247.3324,nan,nan,-1158.512,143.6162,0.0,0.0,nan,nan,2.2297,nan
1239.1644,4822.0146,4822015.0,nan,0.2159,8.9311,0.5301,140.6235,140.6235,nan,nan,80.3097,0.8853,0.841,0.5301,3.9959,nan,nan,0.82,nan,nan,15820.2588,2.2247,nan,nan,nan,247.3244,nan,nan,-1158.6644,143.624,0.0,0.0,nan,nan,2.2247,nan
1239.3168,4835.7578,4835758.0,nan,0.2159,8.9293,0.5214,140.3625,140.3625,nan,nan,80.5825,0.8977,0.8456,0.5214,4.043,nan,nan,0.8179,nan,nan,15865.3477,2.2269,nan,nan,nan,247.332,nan,nan,-1158.8168,143.6319,0.0,0.0,nan,nan,2.2269,nan
1239.4692,4849.5322,4849532.0,nan,0.2159,8.9295,0.5188,140.1964,140.1964,nan,nan,80.7284,0.9017,0.8432,0.5188,4.1524,nan,nan,0.8172,nan,nan,15910.5381,2.2306,nan,nan,nan,247.3541,nan,nan,-1158.9692,143.6397,0.0,0.0,nan,nan,2.2306,nan
1239.6216,4833.709,4833709.0,nan,0.2159,8.9331,0.5197,140.6301,140.6301,nan,nan,81.4451,0.8999,0.8368,0.5197,4.2673,nan,nan,0.8215,nan,nan,15858.626,2.2302,nan,nan,nan,247.3681,nan,nan,-1159.1216,143.6475,0.0,0.0,nan,nan,2.2302,nan
1239.774,4827.7729,4827773.0,nan,0.2159,8.9412,0.5138,140.702,140.702,nan,nan,82.6647,0.9005,0.8339,0.5138,4.3084,nan,nan,0.8218,nan,nan,15839.1504,2.2286,nan,nan,nan,247.3752,nan,nan,-1159.274,143.6553,0.0,0.0,nan,nan,2.2286,nan
1239.9264,4858.4819,4858487.5,nan,0.2159,8.9477,0.5313,140.0636,140.0636,nan,nan,83.1135,0.9082,0.84,0.5313,4.324,nan,nan,0.8163,nan,nan,15939.9199,2.2326,nan,nan,nan,247.3986,nan,nan,-1159.4264,143.6632,0.0,0.0,nan,nan,2.2326,nan
1240.0788,4909.2134,4909213.5,nan,0.2159,8.9475,0.5829,139.1129,139.1129,nan,nan,81.0157,0.9138,0.8482,0.5829,4.3361,nan,nan,0.8087,nan,nan,16106.3428,2.2406,nan,nan,nan,247.5117,nan,nan,-1159.5789,143.671,0.0,0.0,nan,nan,2.2406,nan
1240.2312,4954.9312,4954931.5,nan,0.2159,8.9448,0.6051,138.2907,138.2907,nan,nan,76.4171,0.8906,0.8349,0.6051,4.4642,nan,nan,0.8023,nan,nan,16256.3359,2.2481,nan,nan,nan,247.8239,nan,nan,-1159.7312,143.6788,0.0,0.0,nan,nan,2.2481,nan
1240.3836,4964.936,4964936.0,nan,0.2159,8.9434,0.5771,138.6996,138.6996,nan,nan,72.661,0.8325,0.7896,0.5771,4.6955,nan,nan,0.8093,nan,nan,16289.1602,2.2593,nan,nan,nan,248.3837,nan,nan,-1159.8835,143.6866,0.0,0.0,nan,nan,2.2593,nan
1240.536,4978.6089,4978609.0,nan,0.2159,8.9442,0.5574,139.3717,139.3717,nan,nan,71.9523,0.7894,0.754,0.5574,4.7293,nan,nan,0.8205,nan,nan,16334.0186,2.2765,nan,nan,nan,249.018,nan,nan,-1160.036,143.6945,0.0,0.0,nan,nan,2.2765,nan
1240.6884,4972.6128,4972612.5,nan,0.2159,8.9447,0.5685,139.9811,139.9811,nan,nan,74.0911,0.8038,0.7676,0.5685,4.389,nan,nan,0.8285,nan,nan,16314.3457,2.2837,nan,nan,nan,249.3064,nan,nan,-1160.1884,143.7023,0.0,0.0,nan,nan,2.2837,nan
1240.8408,4900.3467,4900346.5,nan,0.2159,8.9419,0.5902,141.044,141.044,nan,nan,78.1115,0.8583,0.8167,0.5902,4.0544,nan,nan,0.8351,nan,nan,16077.252,2.2676,nan,nan,nan,249.0075,nan,nan,-1160.3408,143.7101,0.0,0.0,nan,nan,2.2676,nan
1240.9932,4859.7329,4859733.0,nan,0.2159,8.9391,0.5929,140.9119,140.9119,nan,nan,81.3754,0.9013,0.8573,0.5929,4.078,nan,nan,0.8285,nan,nan,15944.0059,2.2467,nan,nan,nan,248.4305,nan,nan,-1160.4932,143.7179,0.0,0.0,nan,nan,2.2467,nan
1241.1456,4916.5347,4916534.5,nan,0.2159,8.9418,0.5644,139.3459,139.3459,nan,nan,81.8316,0.9222,0.8831,0.5644,4.3359,nan,nan,0.8129,nan,nan,16130.3633,2.2477,nan,nan,nan,248.0269,nan,nan,-1160.6456,143.7258,0.0,0.0,nan,nan,2.2477,nan
1241.298,5022.9922,5022992.0,nan,0.2159,8.9486,0.5339,137.9157,137.9157,nan,nan,78.75,0.9415,0.9154,0.5339,4.5916,nan,nan,0.8048,nan,nan,16479.6328,2.2728,nan,nan,nan,247.8694,nan,nan,-1160.798,143.7336,0.0,0.0,nan,nan,2.2728,nan
1241.4504,5129.4873,5129487.5,nan,0.2159,8.9551,0.5172,136.6508,136.6508,nan,nan,74.8648,0.9528,0.9466,0.5172,4.7313,nan,nan,0.7988,nan,nan,16829.0273,2.2997,nan,nan,nan,247.7709,nan,nan,-1160.9504,143.7414,0.0,0.0,nan,nan,2.2997,nan
1241.6028,5146.4941,5146494.0,nan,0.2159,8.9587,0.4961,136.5309,136.5309,nan,nan,72.8562,0.9372,0.9534,0.4961,4.7691,nan,nan,0.799,nan,nan,16884.8223,2.3053,nan,nan,nan,247.617,nan,nan,-1161.1028,143.7492,0.0,0.0,nan,nan,2.3053,nan
1241.7552,5064.7324,5064732.5,nan,0.2159,8.9593,0.4695,137.7841,137.7841,nan,nan,71.5828,0.8955,0.9294,0.4695,4.7814,nan,nan,0.8077,nan,nan,16616.5762,2.2895,nan,nan,nan,247.413,nan,nan,-1161.2552,143.757,0.0,0.0,nan,nan,2.2895,nan
1241.9076,5015.6992,5015725.5,nan,0.2159,8.9593,0.4692,138.256,138.256,nan,nan,69.9446,0.84,0.8813,0.4692,4.7967,nan,nan,0.8088,nan,nan,16455.793,2.2751,nan,nan,nan,247.1678,nan,nan,-1161.4076,143.7649,0.0,0.0,nan,nan,2.2751,nan
1242.06,5014.3779,5014378.0,nan,0.2159,8.959,0.4937,138.5234,138.5234,nan,nan,69.2248,0.7967,0.8342,0.4937,4.8277,nan,nan,0.8125,nan,nan,16451.3711,2.2789,nan,nan,nan,246.8665,nan,nan,-1161.5601,143.7727,0.0,0.0,nan,nan,2.2789,nan
1242.2124,4980.3975,4980397.5,nan,0.2159,8.9565,0.506,139.9459,139.9459,nan,nan,69.4462,0.7984,0.8236,0.506,4.8026,nan,nan,0.8288,nan,nan,16339.8867,2.2867,nan,nan,nan,246.591,nan,nan,-1161.7124,143.7805,0.0,0.0,nan,nan,2.2867,nan
1242.3648,4897.4199,4897420.0,nan,0.2159,8.9538,0.5016,141.3959,141.3959,nan,nan,70.3462,0.8507,0.8561,0.5016,4.5985,nan,nan,0.8398,nan,nan,16067.6504,2.2719,nan,nan,nan,246.4808,nan,nan,-1161.8647,143.7884,0.0,0.0,nan,nan,2.2719,nan
1242.5172,4797.0806,4797080.5,nan,0.2159,8.9537,0.5171,142.3774,142.3774,nan,nan,71.3471,0.9209,0.9002,0.5171,4.4107,nan,nan,0.8418,nan,nan,15738.4531,2.2408,nan,nan,nan,246.501,nan,nan,-1162.0172,143.7962,0.0,0.0,nan,nan,2.2408,nan
1242.6696,4764.6025,4764602.5,nan,0.2159,8.9604,0.5395,142.0173,142.0173,nan,nan,71.6482,0.9732,0.9267,0.5395,4.3944,nan,nan,0.8329,nan,nan,15631.8984,2.22,nan,nan,nan,246.5032,nan,nan,-1162.1696,143.804,0.0,0.0,nan,nan,2.22,nan
1242.822,4842.6279,4842628.0,nan,0.2159,8.9785,0.5331,139.4018,139.4018,nan,nan,71.2032,0.9976,0.9274,0.5331,4.4904,nan,nan,0.8051,nan,nan,15887.8867,2.2148,nan,nan,nan,246.4323,nan,nan,-1162.322,143.8118,0.0,0.0,nan,nan,2.2148,nan
1242.9744,4901.9697,4901970.0,nan,0.2159,9.002,0.5208,137.565,137.565,nan,nan,71.9145,0.9783,0.8875,0.5208,4.6483,nan,nan,0.7859,nan,nan,16082.5781,2.2124,nan,nan,nan,246.3506,nan,nan,-1162.4744,143.8197,0.0,0.0,nan,nan,2.2124,nan
1243.1268,4837.9941,4837994.0,nan,0.2159,9.016,0.5166,138.9557,138.9557,nan,nan,74.0089,0.8676,0.7663,0.5166,4.7935,nan,nan,0.7983,nan,nan,15872.6846,2.2056,nan,nan,nan,246.2869,nan,nan,-1162.6268,143.8275,0.0,0.0,nan,nan,2.2056,nan
1243.2792,4756.1758,4756175.5,nan,0.2159,9.0157,0.5012,141.0449,141.0449,nan,nan,75.2932,0.6483,0.5693,0.5012,4.9373,nan,nan,0.8183,nan,nan,15604.251,2.2009,nan,nan,nan,246.1487,nan,nan,-1162.7792,143.8353,0.0,0.0,nan,nan,2.2009,nan
1243.4316,4750.8838,4750883.5,nan,0.2159,9.0099,0.4936,141.9334,141.9334,nan,nan,73.8575,0.4163,0.3726,0.4936,5.1952,nan,nan,0.8301,nan,nan,15586.8887,2.2123,nan,nan,nan,245.6715,nan,nan,-1162.9316,143.8431,0.0,0.0,nan,nan,2.2123,nan
1243.584,4844.5356,4844536.0,nan,0.2159,9.0084,0.5015,141.9705,141.9705,nan,nan,69.9189,0.2588,0.2354,0.5015,5.6762,nan,nan,0.8417,nan,nan,15894.1465,2.2565,nan,nan,nan,244.597,nan,nan,-1163.084,143.851,0.0,0.0,nan,nan,2.2565,nan
1243.7364,5097.0732,5097103.0,nan,0.2159,9.0133,0.4947,139.9237,139.9237,nan,nan,65.6002,0.1778,0.1628,0.4947,6.3956,nan,nan,0.8421,nan,nan,16722.7793,2.3399,nan,nan,nan,243.0837,nan,nan,-1163.2365,143.8588,0.0,0.0,nan,nan,2.3399,nan
1243.8888,5422.1934,5422138.5,nan,0.2159,9.023,0.4884,137.29,137.29,nan,nan,63.2373,0.1467,0.1337,0.4884,6.9503,nan,nan,0.8413,nan,nan,17789.1699,2.4423,nan,nan,nan,241.7743,nan,nan,-1163.3888,143.8666,0.0,0.0,nan,nan,2.4423,nan
1244.0412,5573.6328,5573632.5,nan,0.2159,9.0326,0.5229,136.9667,136.9667,nan,nan,64.4337,0.1492,0.1326,0.5229,6.5565,nan,nan,0.8538,nan,nan,18286.1953,2.5046,nan,nan,nan,241.2294,nan,nan,-1163.5413,143.8744,0.0,0.0,nan,nan,2.5046,nan
1244.1936,5454.1064,5454106.5,nan,0.2159,9.0356,0.5744,137.9956,137.9956,nan,nan,67.4955,0.1934,0.1618,0.5744,5.4737,nan,nan,0.8553,nan,nan,17894.0508,2.4693,nan,nan,nan,241.7466,nan,nan,-1163.6936,143.8822,0.0,0.0,nan,nan,2.4693,nan
1244.346,5215.897,5215897.0,nan,0.2159,9.0289,0.599,138.1269,138.1269,nan,nan,70.6228,0.3192,0.2377,0.599,4.7622,nan,nan,0.8299,nan,nan,17112.5234,2.3637,nan,nan,nan,243.2288,nan,nan,-1163.8459,143.8901,0.0,0.0,nan,nan,2.3637,nan
1244.4984,5014.1079,5014108.0,nan,0.2159,9.0218,0.6103,137.8622,137.8622,nan,nan,73.5821,0.5023,0.3301,0.6103,4.6078,nan,nan,0.803,nan,nan,16450.4844,2.2679,nan,nan,nan,244.9445,nan,nan,-1163.9984,143.8979,0.0,0.0,nan,nan,2.2679,nan
1244.6508,4893.1509,4893151.0,nan,0.2159,9.0235,0.624,138.3362,138.3362,nan,nan,74.9658,0.4896,0.3456,0.624,4.8001,nan,nan,0.7959,nan,nan,16053.6445,2.2208,nan,nan,nan,246.023,nan,nan,-1164.1508,143.9057,0.0,0.0,nan,nan,2.2208,nan
1244.8032,4912.2607,4912261.0,nan,0.2159,9.0292,0.6296,138.1517,138.1517,nan,nan,72.5994,0.3078,0.2621,0.6296,5.3326,nan,nan,0.7954,nan,nan,16116.3418,2.2265,nan,nan,nan,246.186,nan,nan,-1164.3032,143.9136,0.0,0.0,nan,nan,2.2265,nan
1244.9556,5017.644,5017644.0,nan,0.2159,9.0324,0.6094,138.7309,138.7309,nan,nan,68.0912,0.1928,0.1805,0.6094,6.0333,nan,nan,0.8158,nan,nan,16462.0879,2.2838,nan,nan,nan,245.4405,nan,nan,-1164.4556,143.9214,0.0,0.0,nan,nan,2.2838,nan
1245.108,5140.7344,5140734.5,nan,0.2159,9.0344,0.5899,140.1761,140.1761,nan,nan,65.138,0.162,0.1565,0.5899,6.0972,nan,nan,0.8508,nan,nan,16865.9277,2.3642,nan,nan,nan,244.2398,nan,nan,-1164.608,143.9292,0.0,0.0,nan,nan,2.3642,nan
1245.2604,5225.0171,5225017.0,nan,0.2159,9.0377,0.603,139.5542,139.5542,nan,nan,65.6828,0.1928,0.184,0.603,5.2183,nan,nan,0.8516,nan,nan,17142.4453,2.3923,nan,nan,nan,243.7919,nan,nan,-1164.7604,143.937,0.0,0.0,nan,nan,2.3923,nan
1245.4128,5161.8862,5161886.0,nan,0.2159,9.0405,0.627,138.0015,138.0015,nan,nan,69.1775,0.3308,0.2996,0.627,4.4635,nan,nan,0.8219,nan,nan,16935.3223,2.3371,nan,nan,nan,244.6107,nan,nan,-1164.9128,143.9449,0.0,0.0,nan,nan,2.3371,nan
1245.5652,5013.3647,5013364.5,nan,0.2159,9.0413,0.6174,137.2625,137.2625,nan,nan,73.8676,0.6524,0.5209,0.6174,4.3235,nan,nan,0.7943,nan,nan,16448.0469,2.2577,nan,nan,nan,245.8027,nan,nan,-1165.0652,143.9527,0.0,0.0,nan,nan,2.2577,nan
1245.7176,4904.4683,4904519.0,nan,0.2159,9.0419,0.5872,137.0723,137.0723,nan,nan,78.2529,1.0411,0.7292,0.5872,4.371,nan,nan,0.7792,nan,nan,16090.9404,2.2056,nan,nan,nan,246.4888,nan,nan,-1165.2177,143.9605,0.0,0.0,nan,nan,2.2056,nan
1245.87,4825.4243,4825424.0,nan,0.2159,9.0435,0.5573,138.2186,138.2186,nan,nan,81.5132,1.1248,0.8204,0.5573,4.3735,nan,nan,0.7864,nan,nan,15831.4443,2.1882,nan,nan,nan,246.715,nan,nan,-1165.37,143.9683,0.0,0.0,nan,nan,2.1882,nan
1246.0224,4788.6909,4788691.0,nan,0.2159,9.0478,0.5383,139.578,139.578,nan,nan,83.172,1.0811,0.8754,0.5383,4.2942,nan,nan,0.8014,nan,nan,15710.9277,2.1929,nan,nan,nan,246.7495,nan,nan,-1165.5225,143.9762,0.0,0.0,nan,nan,2.1929,nan
1246.1748,4780.106,4780106.0,nan,0.2159,9.0539,0.525,140.3898,140.3898,nan,nan,83.4482,1.0182,0.9243,0.525,4.2572,nan,nan,0.8118,nan,nan,15682.7627,2.2017,nan,nan,nan,246.7061,nan,nan,-1165.6748,143.984,0.0,0.0,nan,nan,2.2017,nan
1246.3272,4747.2959,4747296.0,nan,0.2159,9.0578,0.5025,141.084,141.084,nan,nan,82.7908,0.9293,0.92,0.5025,4.2762,nan,nan,0.8178,nan,nan,15575.1172,2.1974,nan,nan,nan,246.5552,nan,nan,-1165.8271,143.9918,0.0,0.0,nan,nan,2.1974,nan
1246.4796,4701.5459,4701545.5,nan,0.2159,9.0581,0.492,141.3418,141.3418,nan,nan,81.9722,0.8833,0.9161,0.492,4.2699,nan,nan,0.816,nan,nan,15425.0186,2.1802,nan,nan,nan,246.3567,nan,nan,-1165.9796,143.9996,0.0,0.0,nan,nan,2.1802,nan
1246.632,4657.3467,4657346.5,nan,0.2159,9.0587,0.5181,141.9109,141.9109,nan,nan,82.7997,0.9106,0.9618,0.5181,4.2585,nan,nan,0.8188,nan,nan,15280.0088,2.1684,nan,nan,nan,246.3336,nan,nan,-1166.132,144.0074,0.0,0.0,nan,nan,2.1684,nan
1246.7844,4661.439,4661439.0,nan,0.2159,9.0578,0.5548,141.9367,141.9367,nan,nan,83.1035,0.982,1.0501,0.5548,4.2913,nan,nan,0.8196,nan,nan,15293.4355,2.1707,nan,nan,nan,246.5594,nan,nan,-1166.2844,144.0153,0.0,0.0,nan,nan,2.1707,nan
1246.9368,4730.8018,4730802.0,nan,0.2159,9.0529,0.5717,140.9445,140.9445,nan,nan,80.785,1.0433,1.1303,0.5717,4.3905,nan,nan,0.8139,nan,nan,15521.0039,2.1876,nan,nan,nan,246.8302,nan,nan,-1166.4368,144.0231,0.0,0.0,nan,nan,2.1876,nan
1247.0892,4825.2671,4825267.0,nan,0.2159,9.0487,0.5863,139.1264,139.1264,nan,nan,78.7669,1.0716,1.1844,0.5863,4.4644,nan,nan,0.7992,nan,nan,15830.9277,2.2025,nan,nan,nan,247.0044,nan,nan,-1166.5892,144.0309,0.0,0.0,nan,nan,2.2025,nan
1247.2416,4950.3174,4950317.5,nan,0.2159,9.0495,0.6051,135.8705,135.8705,nan,nan,77.7846,1.0777,1.2132,0.6051,4.405,nan,nan,0.7673,nan,nan,16241.1992,2.2067,nan,nan,nan,247.1202,nan,nan,-1166.7416,144.0388,0.0,0.0,nan,nan,2.2067,nan
1247.394,5015.9961,5015996.5,nan,0.2159,9.0542,0.6007,134.0246,134.0246,nan,nan,75.9366,1.0735,1.2249,0.6007,4.2177,nan,nan,0.7484,nan,nan,16456.6816,2.2056,nan,nan,nan,247.2177,nan,nan,-1166.894,144.0466,0.0,0.0,nan,nan,2.2056,nan
1247.5464,5000.2695,5000269.5,nan,0.2159,9.0593,0.5597,134.4888,134.4888,nan,nan,73.6345,1.0618,1.2129,0.5597,3.9988,nan,nan,0.7533,nan,nan,16405.084,2.2063,nan,nan,nan,247.2718,nan,nan,-1167.0464,144.0544,0.0,0.0,nan,nan,2.2063,nan
1247.6988,4963.9058,4963900.0,nan,0.2159,9.0601,0.5188,135.5477,135.5477,nan,nan,72.847,1.0499,1.1852,0.5188,3.8696,nan,nan,0.7643,nan,nan,16285.7617,2.2075,nan,nan,nan,247.2618,nan,nan,-1167.1989,144.0622,0.0,0.0,nan,nan,2.2075,nan
1247.8512,4881.501,4881501.0,nan,0.2159,9.0555,0.5143,137.6673,137.6673,nan,nan,73.6619,1.0492,1.1563,0.5143,3.8883,nan,nan,0.785,nan,nan,16015.4238,2.2048,nan,nan,nan,247.2361,nan,nan,-1167.3512,144.0701,0.0,0.0,nan,nan,2.2048,nan
1248.0036,4837.418,4837418.0,nan,0.2159,9.0532,0.5366,138.6005,138.6005,nan,nan,76.4326,1.0629,1.1363,0.5366,3.9521,nan,nan,0.7932,nan,nan,15870.7939,2.1997,nan,nan,nan,247.2515,nan,nan,-1167.5035,144.0779,0.0,0.0,nan,nan,2.1997,nan
1248.156,4847.0952,4847095.5,nan,0.2159,9.0551,0.5668,138.1603,138.1603,nan,nan,79.2131,1.082,1.1202,0.5668,4.0079,nan,nan,0.7881,nan,nan,15902.5439,2.1971,nan,nan,nan,247.2636,nan,nan,-1167.656,144.0857,0.0,0.0,nan,nan,2.1971,nan
1248.3084,4839.2222,4839222.0,nan,0.2159,9.0554,0.5933,138.2654,138.2654,nan,nan,78.8446,1.0952,1.1009,0.5933,4.1115,nan,nan,0.7887,nan,nan,15876.7129,2.1952,nan,nan,nan,247.1701,nan,nan,-1167.8084,144.0935,0.0,0.0,nan,nan,2.1952,nan
